,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,SA20I0176,"Tamizaje de retinopatía diabética, y enfermedad cardiovascular mediante pupilometría: validación de una novedosa y sencilla herramienta para el manejo del paciente con diabetes mellitus tipo 2",01/04/2020,01/04/2020,"A. Gajardo / V. Ulloa, M. Moral, G. López, D. Sandoval, M. Llancaqueo",Departamento de Medicina,CONICYT/MINSAL,FONIS-Proyectos I&D
1,1120323,Zinc supplementation in type-2 diabetes: a randomized clonical trial and molecular studies of the mechanisms involved,01/03/2012,01/03/2016,"M. Ruz / G. López, F. Pérez, P. Rojas, F. Carrasco, M. Arredondo",Departamento de Nutrición,FONDECYT,Regular
2,HJJA-9,Asociación entre Hemoglobina Glicosilada A1c y Enfermedad Coronaria en adultos no diabéticos,01/12/2010,01/12/2011,"P. Gómez / G. López, G. Dussaillant",Servicio de Endocrinología,Hospital Clinico,Investigación Clínica 
3,1090086,Análisis de polimorfismos genéticos de los genes eNOS (NOS3) y nefrina (NPHS1) y su asociación con nefropatía diabética en diabetes mellitus tipo 2.,01/03/2009,01/03/2009,"G. López, M. Alvo",Departamento de Bioquímica y Biología Molecular,FONDECYT,Regular
4,P2,Programa Domeyko en Salud: Diabetes,01/03/2007,01/03/2010,"A. Araya / L. García, G. López",Servicio de Endocrinología,Fondo Central de Investigación,Programa Domeyko
5,1930781,"Estudio comparativo de la incidencia de Diabetes Mellitus insulino-dependiente y características inmunogenéticas entre la población de Santiago, Chile y Madrid, España",01/03/1993,01/03/1996,G. López,Departamento de Medicina Interna Occidente,FONDECYT,Regular
6,1110997,Molecular epidemiology and mechanisms of carbapenem resistance in enterobacteria strains isolated from chilean hospitals,01/03/2011,01/03/2011,M. Pinto,UCO. Depto. de Microbiología,FONDECYT,Regular
7,HJJA-1,Detección de serinocarbapenemasas de clase A en enterobacterias con susceptibilidad disminuida a carbapenémicos en cepas de origen clínicos,01/12/2010,01/12/2011,F. Silva / M. Pinto,Servicio Laboratorio Clínico,Hospital Clinico,Investigación Clínica 
8,1100947,Emergence of Enterobacteriaceae with decreased susceptibility to carbapenems in Chilean hospitals: Epidemiology and molecular characterization of this important resistance threat,01/03/2010,01/03/2010,M. Pinto,UCO. Depto. de Microbiología,FONDECYT,Regular
9,1981071,"Aspectos clínicos, bacteriológicos, virológicos e inmunológicos de la parotiditis crónica recurrente infantil",01/03/1998,01/03/2001,"M. Pinto / M. Martínez, M. Landaeta",Programa de Microbiología y Micología,FONDECYT,Regular
