,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Aguirre M.M., Maldonado F., Fuenzalida P., González R., Moreno N., Lalanne I., Bisbal P., Cifuentes M., Gonzáles F., Phillips D., Lazo M., Escobar J., Estuardo N.",Experience of transforming a clinical surgical-anesthetic unit into a COVID-19 critical patient one in a teaching hospital,2021,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/revchilanestv5007061117,10.25237/revchilanestv5007061117
1,María Mercedes Aguirre C.,A new setting: Cardiorespiratory arrest (PCR) and cardiopulmonary resuscitation (CPR) in COVID19,2020,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/REVCHILANESTV49N03.017,10.25237/REVCHILANESTV49N03.017
2,"María Mercedes Aguirre C., Carlos Izquierdo A.",Future projection of anesthesia out of the operating room,2019,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/revchileanestv48n05.04,10.25237/revchileanestv48n05.04
3,"Aguirre, MM; Mayanz, S; Blanch, A; Aranibar, H; Salazar, A; Roizen, G; Alvarez, MG; Izquierdo, C; Penna, A",Registry of perioperative cardiac arrests in a clinical hospital in the period 2006-2017,2019,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872019000100034,10.4067/s0034-98872019000100034
4,"Aguirre, MM",Registry of Perioperative cardiac arrest in a clinical hospital in the period 2006-2017 Reply,2019,REVISTA MEDICA DE CHILE,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872019000300398,10.4067/S0034-98872019000300398
5,Nicolas Arriaza H; Maria Mercedes Aguirre C.,Monitoring the quality of cardiopulmonary resuscitation,2012,Revista Chilena de Anestesia,SCOPUS/UCH/VID,,
6,Coeditora M.M.A.C.,Cardiopulmonary resuscitation and anesthesiology,2012,Revista Chilena de Anestesia,SCOPUS/UCH/VID,,
7,Sebastian Mayanz S; Aguirre M.M.C; Montana R.A.R; Victor Illanes R; Hector Cid S; Paulina Lagos R.,The Chilean Society of Anesthesiology clinical recommendations for adult perianesthetic cardiopulmonary resuscitation in 2012,2012,Revista Chilena de Anestesia,SCOPUS/UCH/VID,,
8,Aguirre M.M.C.,Perioperative cardiopulmonary arrest,2012,Revista Chilena de Anestesia,SCOPUS/UCH/VID,,
9,Aguirre C. M.M.,"Commentaries on the Articulo ""Clinical case: Use of transesophageal echocardiography in the management of intraoperative cardiac arrest""",2009,Revista Chilena de Anestesia,SCOPUS/UCH/VID,,
10,"Pinto, E; Vargas, C; Gomez, P; Durruty, P; Lopez, G",Autoimmune pancreatitis associated with diabetes mellitus. Report of one case,2019,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872019000500668,10.4067/S0034-98872019000500668
11,"Lopez, G; Valdes, G; Roessler, E; Valdivieso, V","Declaration of the Chilean Academy of Medicine of Law 20.850 ""On clinical trials of pharmaceutical products and medical devices"" and of the bylaw that will regulate its application",2017,REVISTA CHILENA DE INFECTOLOGIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-10182017000200009,10.4067/S0716-10182017000200009
12,"Lopez, SG; Valdes, SG; Roessler, BE; Valdivieso, DV","Declaration of the Chilean Academy of Medicine of Law 20.850 ""On clinical trials of pharmaceutical products and medical devices"" and of the bylaw that will regulate its application",2017,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872017000300013,10.4067/S0034-98872017000300013
13,S. G.L.,TREATMENT OF DIABETES IN PREGNANCY: SOMETHING NEW?,2016,REVISTA MEDICA CLINICA LAS CONDES,/UCH/VID,http://dx.doi.org/10.1016/j.rmclc.2016.04.014,10.1016/j.rmclc.2016.04.014
14,"LÓPEZ S, GLORIA; VALDÉS S, GLORIA; ROESSLER B, EMILIO; VALDIVIESO D, VICENTE","Declaración de la Academia Chilena de Medicina sobre el Título V de la Ley 20.850 (Ley Ricarte Soto) y su proyecto de reglamento ""De los ensayos clínicos de productos farmacéuticos y elementos de uso médico""",2016,REVISTA CHILENA DE ENFERMEDADES RESPIRATORIAS,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-73482016000400005,10.4067/S0717-73482016000400005
15,"Rivas, MM; Belmar, ZP; Durruty, AP; Sanhueza, ML; Lopez, SG",Normoglycemic diabetic ketoacidosis in pregnancy. Report of one case,2016,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872016001000018,10.4067/S0034-98872016001000018
16,"Pollak, F; Araya, V; Lanas, A; Sapunar, J; Arrese, M; Aylwin, CG; Bezanilla, CG; Carrasco, E; Carrasco, F; Codner, E; Diaz, E; Durruty, P; Galgani, J; Garcia, H; Lahsen, R; Liberman, C; Lopez, G; Maiz, A; Mujica, V; Poniachik, J; Sir, T; Soto, N; Valderas, J; Villaseca, P; Zavala, C",Second Consensus of the Chilean Society of Endocrinology and Diabetes about insulin resistance,2015,REVISTA MEDICA DE CHILE,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872015000500012,10.4067/S0034-98872015000500012
17,"Agarwal, MM;Boulvain, M;Coetzee, E;Colagiuri, S;Falavigna, M;Hod, M;Meltzer, S;Metzger, B;Omori, Y;Rasa, I;Schmidt, MI;Seshiah, V;Simmons, D;Sobngwi, E;Torloni, MR;Yang, HX;Balaji, V;Mendis, SPB;Roglic, G;Merialdi, M;Betran, AP;Jenum, AK;Lao, T;Stewart, GL;Mikhailov, A;Moses, R;Samad, N;WHO Guideline Steering Grp",Diagnostic criteria and classification of hyperglycaemia first detected in pregnancy: A World Health Organization Guideline,2014,DIABETES RESEARCH AND CLINICAL PRACTICE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.diabres.2013.10.012,10.1016/j.diabres.2013.10.012
18,"Ruz, M;Carrasco, F;Rojas, P;Codoceo, J;Inostroza, J;Basfi-fer, K;Valencia, A;Vasquez, K;Galgani, J;Perez, A;Lopez, G;Arredondo, M;Perez-Bravo, F",Zinc as a potential coadjuvant in therapy for type 2 diabetes,2013,FOOD AND NUTRITION BULLETIN,ISI/SCOPUS/UCH/VID,,
19,"Seelenfreund, D;Lobos, SR;Quesada, A;Saavedra, JM;Wolff, C;Lopez-Stewart, G;Araya, AV;Durruty, P",Association of the intronic polymorphism rs891512 (G24943A) of the endothelial nitric oxide synthase gene with hypertension in Chilean type 2 diabetes patients,2012,DIABETES RESEARCH AND CLINICAL PRACTICE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.diabres.2012.01.029,10.1016/j.diabres.2012.01.029
20,"Lopez, GS","Masters of Internal Medicine, in Chile",2011,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872011000300017,10.4067/S0034-98872011000300017
21,"Sanhueza, ME; Cotera, A; Elgueta, L; Lopez, G; Loncon, P; Macan, F; Perez, F; Cavada, G; Alvo, M ",Assessment and follow up of diabetic patients in hemodialysis,2008,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872008000300001,10.4067/S0034-98872008000300001
22,"Stewart, GL ; Tambascia, M ; Guzman, JR ; Etchegoyen, F ; Carrion, JO ; Artemenko, S",Control of type 2 diabetes mellitus among general practitioners in private practice in nine countries of Latin America,2007,REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,ISI/SCIELO-otros paises /SCOPUS/UCH/VID,,
