,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1231275,Unwinding the replicative cycle of the respiratory syncytial virus,01/03/2023,01/03/2027,"M. Acevedo / L. Tapia, F. Valiente, R. Soto",Instituto de Ciencias Biomédicas,FONDECYT,Regular
1,1221516,"Genetic variants affecting the human respiratory syncytial virus F protein expression are critical pathogenic factors during primary infection in children, independently from the G gene-based genotype classification",01/10/2021,01/10/2021,"L. Tapia / M. Acevedo, F. Valiente, J. Torres, P. Clement",Instituto de Ciencias Biomédicas,FONDECYT,Regular
2,1221183,Epitranscriptomic regulation of human respiratory syncytial virus replication,01/09/2021,01/09/2021,"M. Acevedo / F. Valiente, L. Tapia",Instituto de Ciencias Biomédicas,FONDECYT,Regular
3,1210983,Epitranscriptomic regulation of human respiratory syncytial virus replication,01/08/2020,01/08/2020,M. Acevedo / R. Soto,Instituto de Ciencias Biomédicas,FONDECYT,Regular
4,1190156,m6A switches as drivers of retroviral genomic RNA selection for packaging,01/04/2019,01/04/2023,"R. Soto / F. Valiente, M. Acevedo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
5,1190490,Mechanism of regulation of N6-methyladenosine on gene expression and inclusion bodies dynamics during human respiratory syncytial virus infection,01/08/2018,01/08/2018,"M. Acevedo / R. Soto, L. Tapia",Instituto de Ciencias Biomédicas,FONDECYT,Regular
6,114-156,Infectious pancreatic necrosis virus: Characterization of the receptors and virus entry pathways,01/03/2014,01/03/2014,"A. Gaggero, R. Soto, M. Acevedo",Programa de Virología,FONDECYT,Regular
7,EQM-13041,Proyecto Equipamiento para la separación y purificación de componentes macromoleculares de interés Biológico,01/12/2013,01/12/2013,"F. Aguayo / J. Aguillón, C. Larrañaga, N. Lagos, A. Gaggero, R. Vidal, J. Antonelli, R. Lagos, M. González, J. Segura, O. Monasterio, S. Ampuero, J. Salazar, L. Saenz, L. Tapia, M. Farfán, R. Soto, J. Chnaiderman, O. Orellana, M. Acevedo, V. Luchsinger, E. Maldonado",Programa de Virología,FONDEQUIP,Concurso de Equipamiento Científico
8,11121411,Integration requirements and preferences of retroviral vectors derived from murine leukemia virus with different integrase enzymes,01/10/2012,01/10/2015,M. Acevedo,Programa de Virología,FONDECYT,Iniciación en Investigación
9,1110283,"MoMLV integrase: integration and postintegration events. Role of histidine 208, the amino terminal domain and RAD51 in integration.",01/03/2011,01/03/2011,M. Acevedo,Programa de Virología,FONDECYT,Regular
10,U-INICIA 11/08,Caracterización del complejo de preintegración del pseudotipo del virus de la leucemia murina en un modelo celular humano,01/10/2011,01/10/2013,M. Acevedo,Programa de Virología,Fondo Central de Investigación,U-INICIA
11,07CN13B-15,Evaluación y desarrollo biotecnológico de un sistema detector de variantes genéticas involucradas en respuestas anómalas a drogas antiepilépticas: orientado hacia la obtención de un kit farmacogenómico,01/12/2007,01/12/2007,M. Acuña,Instituto de Ciencias Biomédicas,INNOVA,Innova-interés público y precompetitivo
12,1070433,Origen bioantropológico de la hemocromatosis hereditaria en población chilena,01/03/2007,01/03/2007,M. Acuña / L. Cifuentes,Programa de Genética Humana,FONDECYT,Regular
13,1060932,"Origen bioantropologico de la hemocromatosis hereditaria en población chilena
",01/03/2006,01/03/2006,M. Acuña / L. Cifuentes,Programa de Genética Humana,FONDECYT,Regular
14,1050426,"Estudio de los genes msh2 y mlh1 en pacientes jóvenes con cáncer de colon no polipósico
",01/06/2005,01/06/2005,"L. Cifuentes / M. Acuña, G. Bannura",Programa de Genética Humana,FONDECYT,Regular
15,1050386,Valor pronóstico de la región polimorfica del promotor(tser) del gen timidilato sintasa al tratamiento con 5-fluoruracilo (5-fu) en pacientes chilenos con cáncer colorrectal,01/03/2005,01/03/2005,M. Acuña / L. Cifuentes,Programa de Genética Humana,FONDECYT,Regular
16,1020083,Estudio del gen de la distrofia miotonica (DM1) en población chilena,01/06/2002,01/06/2002,L. Cifuentes / M. Acuña,Programa de Genética Humana,FONDECYT,Regular
17,SAL 02/3-2,Estudio del gen de la Distrofia Miotónica (DM1) en población chilena,01/03/2002,01/03/2002,L. Cifuentes / M. Acuña,Programa de Genética Humana,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN SALUD
18,SAL-01/18-2,Estudio del gen de la Distrofia Miotónica (DM1) en población chilena,01/03/2001,01/03/2001,L. Cifuentes / M. Acuña,Programa de Genética Humana,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN SALUD
19,1000678,"Polimorfismos genéticos que provocan respuestas anómalas a fármacos y/o a químicos ambientales en población chilena.
",01/03/2000,01/03/2000,M. Acuña / L. Cifuentes,Programa de Genética Humana,FONDECYT,Regular
20,1000663,"Contribución asimétrica de los génomas ancestrales a la formación de la población mixta chilena.
",01/03/2000,01/03/2000,"L. Cifuentes / C. Valenzuela, M. Acuña",Programa de Genética Humana,FONDECYT,Regular
21,1961012,Polimorfismos genéticos que provocan respuestas anómalas a fármacos y/o a químicos ambientales en población chilena,01/03/1996,01/03/1996,M. Acuña / L. Cifuentes,Programa de Biología Celular y Molecular,FONDECYT,Regular
22,1960405,Polimorfismos del DNA en pruebas de paternidad y de identificación genética: estimación de parámetros poblacionales para dos métodos de uso en Chile,01/03/1996,01/03/1999,"L. Cifuentes / M. Acuña, L. Armanet",Programa de Biología Celular y Molecular,FONDECYT,Regular
23,1911110,Bioetnogénesis de los grupos aborígenes chilenos: análisis de marcadores genéticos,01/03/1991,01/03/1994,M. Acuña,Departamento de Medicina Interna Norte,FONDECYT,Regular
24,1231596,Involvement of the lung microbiome in the combined harmful effects of cigarette smoke and microplastics on the respiratory mucosa,01/03/2023,01/03/2027,"F. Magne / M. Gotteland, F. Aguayo, C. Beltrán, S. Vargas",Instituto de Ciencias Biomédicas,FONDECYT,Regular
25,1221033,Epstein-Barr virus abortive lytic cycle promoted by tobacco smoke during epithelial carcinogenesis,01/04/2022,01/04/2026,F. Aguayo / V. Torres,Instituto de Ciencias Biomédicas,FONDECYT,Regular
26,3220486,Epstein-Barr virus latency establishment promoted by DNA damage in lung cancer cells exposed to benzopyrene,01/04/2022,01/04/2025,F. Aguayo,Instituto de Ciencias Biomédicas,FONDECYT,Postdoctorado
27,13220158,A zoonotic origin of breast cancer: Epidemiology and potential mechanisms,01/09/2022,01/09/2022,F. Aguayo,Instituto de Ciencias Biomédicas,Fondecyt_Anid,Proyectos de Exploración
28,1210926,Role of tobacco smoke in Epstein-Barr virus abortive lytic cycle during epithelial carcinogenesis,01/08/2020,01/08/2020,F. Aguayo / V. Torres,Instituto de Ciencias Biomédicas,FONDECYT,Regular
29,1201186,Role of tobacco smoke in Epstein-Barr virus abortive lytic cycle during epithelial carcinogenesis,01/08/2019,01/08/2019,F. Aguayo / V. Torres,Departamento de Oncología Básico _ Clínico,FONDECYT,Regular
30,1200656,Emerging function of acetylcholine in breast carcinogenesis: a novel role in the estrogen signaling,01/03/2020,01/03/2023,F. Aguayo,UTA. Depto. de Biología y Salud,FONDECYT,Regular
31,1191928,"The upregulation of long-noncoding RNA, a novel opportunity to address the complexities of the pathogenesis of gastric cancer",01/04/2019,01/04/2023,"F. Aguayo, E. Aravena",PUC. Depto. de Enfermedades Hematológicas Oncológicas,FONDECYT,Regular
32,ENL32/19,Role of cigarette smoke compounds in Epstein-Barr virus abortive lytic cycle during cancer initiation and progression,01/08/2019,01/08/2019,F. Aguayo,Instituto de Ciencias Biomédicas,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
33,1190956,Role of cigarette smoke compounds in Epstein-Barr virus abortive lytic cycle during cancer initiation and progression,01/08/2018,01/08/2018,"F. Aguayo / J. Tapia, U. Urzúa",Departamento de Oncología Básico _ Clínico,FONDECYT,Regular
34,1190555,Role of organophosphorous pesticides and acetylcholine in breast carcinogenesis,01/08/2018,01/08/2018,F. Aguayo,Universidad De Tarapaca,FONDECYT,Regular
35,3190723,Human papillomavirus and Epstein-Barr virus coinfection in head and neck and cervical carcinomas: Potential role in co-carcinogenesis,01/03/2019,01/03/2022,F. Aguayo,Departamento de Oncología Básico _ Clínico,FONDECYT,Postdoctorado
36,1180257,Ras/MAPK/Myc signalling inhibition by curcumin through miR-34a in breast cancer cells,01/07/2017,01/07/2017,F. Aguayo,Universidad De Tarapaca,FONDECYT,Regular
37,ACT172077,"An emerging role of viruses in cancer: The interplay among viral oncogenes, environmental substances and genetic factors",01/12/2017,01/12/2017,F. Aguayo,Departamento de Oncología Básico _ Clínico,Programa de Investigación Asociativa,Concurso Anillos en Ciencia y Tecnologia
38,ID17I10193,PEGASO: desarrollo de un aptámero para reconocimiento específico de fosfo-ECE1c y su aplicación para evaluar mal pronóstico en pacientes con cáncer de colon,01/05/2017,01/05/2017,J. Tapia / F. Aguayo,Departamento de Oncología Básico _ Clínico,FONDEF,IDEA Bietapa
39,1161219,Cooperation between human papillomavirus type 16 and tobacco smoke in head and neck carcinogenesis: The role of the MAPK/AP-1 and PIR/NF-KB signaling pathways in 3D-organotypic rafts,01/04/2016,01/04/2019,F. Aguayo,Programa de Virología,FONDECYT,Regular
40,1151411,Role Of microRNAs In The Pathogenesis Of Gastric Carcinoma And Development Of Non-Invasive Strategies For Early Detection,01/03/2015,01/03/2019,"E. Aravena, F. Aguayo",PUC. Escuela de Medicina,FONDECYT,Regular
