,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1190462,Genetic Markers for Risk of Testicular Germ Cell Tumors in Patients with Cryptorchidism,01/07/2018,01/07/2018,"F. Rodríguez / C. Acevedo, F. Cassorla, M. Ebensperger",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
1,1181331,Regulation of insulin like growth factor system activity in term and preterm placentas from deranged intrauterine growth,01/07/2017,01/07/2017,"G. Iñíguez / M. Johnson, M. García, F. Cassorla, M. Mericq",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
2,1170895,Contraception in type 1 diabetes,01/04/2017,01/04/2021,"E. Codner / S. Salinas, M. Lardone, P. Merino, M. Castro, F. Cassorla, G. Cavada, G. Iñíguez",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
3,1161174,Preeclampsia and somatotrophic placental function in humans: relationship with fetal growth,01/06/2015,01/06/2015,"G. Iñíguez / M. Parra, F. Cassorla, M. Mericq, M. Johnson, M. García",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
4,1151386,Developmental changes in GH sensitivity during early infancy,01/03/2015,01/03/2015,"P. Ocaranza / F. Cassorla, F. Rodríguez, X. Gaete",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
5,1140450,Molecular study of rasopathies in patients with isolated cryptorchidism,01/03/2014,01/03/2018,"F. Rodríguez / F. Cassorla, M. Hernández, P. Ocaranza",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
6,114-113,Growth during early infancy: Searching for the molecular switch to GH-dependent IGF-I production,01/03/2014,01/03/2014,"P. Ocaranza / F. Cassorla, F. Rodríguez, X. Gaete",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
7,1110240,Intracellular signaling induced by IGF-I in human preterm and term placentas. Modulation by the klotho/FGF system,01/03/2011,01/03/2015,"G. Iñíguez / V. Peña, M. Mericq, M. Johnson, F. Cassorla",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
8,1100123,Estrogens and type 1 diabetes mellitus,01/03/2010,01/03/2014,"E. Codner / P. Merino, F. Cassorla, G. Iñíguez, F. Pérez, M. Castro",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
9,1095118,"Efectos de la edad, género y desarrollo puberal sobre la sensibilidad a hormona del crecimiento en el ser humano",01/03/2009,01/03/2013,F. Cassorla / P. Ocaranza,Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
10,1071007,Evaluación de la función y reserva ovárica en hijas de mujeres con síndrome de ovario poliquístico: Posible impacto del ambiente prenatal,01/03/2007,01/03/2011,"F. Cassorla, E. Codner, F. Pérez, H. Lara",Departamento de Medicina Interna Occidente,FONDECYT,Regular
11,1061082,Relación entre el sistema somatotrofico placentario y el crecimiento pre y postnatal en humanos,01/03/2006,01/03/2010,"G. Iñíguez / F. Cassorla, M. Johnson, V. Peña",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
12,UCH0608,Inserción productiva y sustentable de graduados de excelencia de los Programas de Doctorado en Ciencias Médicas y Biomédicas a centros de investigación clínica avanzada (CICA),01/10/2007,01/04/2010,"M. O'Ryan / F. Cassorla, J. Torres",Programa de Microbiología y Micología,MECESUP,MECESUP
13,1060784,Transducción de señal para hormona del crecimiento e igf-i en niños con talla baja idiopatica,01/03/2006,01/03/2009,F. Cassorla / G. Iñíguez,Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
14,1050452,Función ovárica en adolescentes con diabetes mellitus tipo 1,01/03/2005,01/03/2009,"E. Codner / F. Pérez, G. Iñíguez, F. Cassorla",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
15,1030487,Evaluación de la función gonadal y adrenal durante la niñez en hijos(as) de mujeres con Sindrome de Ovario Poliquístico.,01/03/2003,01/03/2007,"B. Echiburu, F. Cassorla, E. Codner, F. Pérez, M. Maliqueo",Laboratorio de Endocrinología,FONDECYT,Regular
16,1020965,Estudio de sustratos intracelulares para IGF-1 e insulina en niños con retardo del crecimiento intrauterino,01/03/2002,01/03/2006,"F. Cassorla / M. Mericq, G. Iñíguez",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
