,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,SA09I10012,Validación de un instrumento para medir la relación entre capital social y salud poblacional en chile,01/12/2009,01/12/2009,A. Alarcón / R. Alvarado,Instituto de Salud Poblacional,CONICYT/MINSAL,FONIS-Proyectos I&D
1,SA09I20064,Evaluación de los consejos integradores de la red asistencial (CIRA) en el contexto de la reforma del sector salud en chile,01/10/2009,01/02/2011,"O. Arteaga / A. Fuentes, A. Alarcón",Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
2,SA21I0015,"El impacto de la redistribución de ¿códigos basura¿ del CIE-10 en las causas específicas de muertes en Chile, durante el período 1997-2019",01/09/2021,01/09/2023,J. Ramírez / T. Alfaro,Universidad Católica de Chile,CONICYT/MINSAL,FONIS-Proyectos I&D
3,SA19I0188,Costo-efectividad de nuevas estrategias de tamizaje poblacional para el control del cáncer gástrico en Chile,01/10/2019,01/04/2022,"T. Alfaro, E. Grasset",Instituto de Salud Poblacional,CONICYT/MINSAL,FONIS-Proyectos I&D
4,SA18I0120,Brechas de equidad en la esperanza de vida asociada a cáncer en Chile,01/04/2018,01/04/2018,"T. Alfaro / O. Arteaga, F. Medina",Instituto de Salud Poblacional,CONICYT/MINSAL,FONIS-Proyectos I&D
5,SA17I0060,"Inequidades socioeconómicas en la sobrevida por cáncer en adultos en Chile
",01/05/2017,01/05/2017,N. Silva / T. Alfaro,Instituto de Salud Poblacional,CONICYT/MINSAL,FONIS-Proyectos I&D
6,SA14ID0159,Estadísticas de causas de muerte: ¿son los actuales certificados de defunción una fuente de información confiable para las estadísticas de salud?,01/11/2014,01/11/2016,"C. Antini / T. Alfaro, M. Mazzei, C. Nazzal",Instituto de Salud Poblacional,CONICYT/MINSAL,FONIS-Proyectos I&D
7,SA07I20019,¿Cuánto podría gastar Chile en la salud del adulto mayor?,01/12/2007,01/12/2008,"H. Salinas, T. Alfaro",Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
8,ID21I10186,"Desarrollo de una plataforma de visualización, monitoreo y modelación predictiva espacio temporal basada en inteligencia artificial para gestión y control de epidemias",01/04/2021,01/04/2021,"C. Nazzal, F. Alonso",Centro Avanzado de Tecnología para la Minería,FONDEF,IDEA
9,COVID0752,Caracterización de la inmunidad protectora en pacientes con covid-19,01/06/2020,01/06/2021,"M. López / M. Hermoso, F. Osorio, F. Alonso, R. Naves, F. Salazar, M. Bono",Instituto de Ciencias Biomédicas,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
10,SA20I0011,Impacto de la coexistencia de Cándida albicans en estado filamentoso como mediador de la inflamación crónica y expresión de oncogenes de virus papiloma humano de alto riesgo en el potencial desarrollo de cáncer cérvicouterino,01/04/2020,01/04/2020,M. Martínez / F. Alonso,Instituto de Ciencias Biomédicas,CONICYT/MINSAL,FONIS-Proyectos I&D
11,SA19I0153,Impacto de la coexistencia de Candida albicans y virus papiloma humano en la inflamación crónica y potencial desarrollo de cáncer cérvicouterino en mujeres en edad fértil,01/03/2019,01/03/2019,"F. Alonso, M. Martínez",Otras Instituciones,CONICYT/MINSAL,FONIS-Proyectos I&D
12,UR-11-XI,Red de medicina traslacional en Cáncer (U-CANCER),01/11/2011,01/11/2012,"R. Armisen / M. Ahumada, E. Castellón, M. López, H. Contreras, F. Salazar, M. Galindo, J. Tapia, F. Alonso, I. Gallegos, J. Fernández, K. Marcelain, V. Torres, O. Barajas, A. Quest",Programa de Fisiopatología,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
13,SA09I20028,Efecto de la contaminación atmosférica sobre la función respiratoria en ciclistas en rutas con distinto grado de exposición a tráfico vehicular,01/10/2009,01/02/2011,"H. Pino / P. Ruiz, F. Alonso, M. Oyarzún, V. Iglesias",Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
14,1200019,Estimating the risk of re-introduction of Malaria in Chile,01/08/2019,01/08/2019,"M. Canals / S. Alvarado, D. Cáceres, F. Medina, M. Canals",Departamento de Medicina Interna Oriente,FONDECYT,Regular
15,1150514,Spatial epidemiology of Chagas disease in Chile: Estimating the epidemiological risk from eco-epidemiological and incidence-based risk maps,01/03/2015,01/03/2018,"M. Canals / D. Cáceres, S. Alvarado, P. Cattan",Escuela de Salud Pública,FONDECYT,Regular
16,SA09I10015,Análisis de la situación de salud de la población Aymara asignada al consultorio Victor Bertin Soto de Arica,01/12/2009,01/12/2009,S. Alvarado,Universidad De Tarapaca,CONICYT/MINSAL,FONIS-Proyectos I&D
17,SA09I10033,Concentración actual de plomo sanguíneo y el desarrollo neurocognitivo en niños de 6 a 10 años que viven en la proximidad a los ex-acopios de desechos minerales en Arica,01/12/2009,01/12/2009,"D. Cáceres / S. Alvarado, V. Iglesias",Instituto de Salud Poblacional,CONICYT/MINSAL,FONIS-Proyectos I&D
18,SA09I20062,"Impacto de la exposición involuntaria a humo de tabaco ambiental sobre la salud respiratoria: estudio en trabajadores de pubs, bares y restaurantes",01/12/2009,01/12/2010,V. Iglesias / S. Alvarado,Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
19,1211694,Personality Pathways to Substance Use in Adolescents,01/08/2020,01/08/2020,M. Alvarado,Universidad Católica de Chile,FONDECYT,Regular
20,1201679,Personality Pathways to Substance Use in Adolescents,01/08/2019,01/08/2019,M. Alvarado,Universidad Católica de Chile,FONDECYT,Regular
21,COVID0792,Vigilancia epidemiológica integrada a la gestión: seguimiento serológico COVID-19 e impacto de la epidemia en el control de enfermedades no transmisibles en una comuna de alta vulnerabilidad social,01/06/2020,01/06/2020,M. Alvarado,Instituto de Salud Poblacional,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
22,1190790,Personality Pathways to Substance Use in Adolescents,01/08/2018,01/08/2018,M. Alvarado,PUC. Escuela de Psicología,FONDECYT,Regular
23,1160491,Impulsivity Facets and Substance Use Disorders,01/04/2016,01/04/2019,M. Alvarado,PUC. Escuela de Psicología,FONDECYT,Regular
24,SA09I10223,Validación del instrumento de medición de discapacidad WHO-DAS II en Chile,01/12/2009,01/12/2009,M. Alvarado,Departamento de Psiquiatría y Salud Mental Sur,CONICYT/MINSAL,FONIS-Proyectos I&D
25,SA07I20008,Validación estructural del instrumento de satisfacción usuaria Verona Service Satisfaction Scale (VSSS),01/12/2007,01/12/2008,M. Alvarado,Departamento de Psiquiatría y Salud Mental Sur,CONICYT/MINSAL,FONIS-Proyectos I&D
26,SA06I10556,La resistencia a la insulina como factor de riesgo de cáncer de mama en mujeres chilenas: un estudio longitudinal,01/12/2006,01/12/2006,"M. Garmendia / M. Alvarado, A. Pereira, G. Cavada",Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
27,SA06I10553,"Determinación de factores de riesgo asociados al inicio del consumo de drogas en adolescentes, usando la metodología estadística de componentes principales",01/12/2006,01/12/2006,"M. Garmendia, M. Alvarado",Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
28,SA05I20078,Validación Test Audit para consumo problemático de alcohol en población general y adolescente,01/12/2005,01/12/2006,"O. Arteaga / M. Alvarado, M. Garmendia",Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
29,SA04I2119,Efecto conjunto de la obesidad y la resistencia a la insulina como factor de riesgo del cáncer de mama en mujeres chilenas,01/12/2004,01/12/2005,M. Garmendia / M. Alvarado,Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
30,21MUTUAL-17,Evaluación de la efectividad de una intervención multicomponente para mejorar los estilos de vida saludables y reducir el riesgo cardiovascular,01/10/2021,01/10/2023,R. Alvarado,Instituto de Salud Poblacional,Proyectos de investigación e innovación en prevención de accidentes y enfermedades profesionales,Proyectos-Investigación
31,ID16I20060,Desarrollo y evaluación de un modelo de intervención basado en tecnologías de la información y de la comunicación (TICs) para reducir el riesgo de suicidio adolescente en establecimientos educacionales de la RM y la VI Región,01/05/2020,01/05/2022,"R. Alvarado / E. Tapia, M. Irarrázaval",Instituto de Salud Poblacional,FONDEF,IDEA Bietapa
32,1201504,Reducing Stigma toward Mental Illness and Substance Use Issues in Primary Health Care in Chile: A Cluster Randomized Control Trial,01/03/2020,01/03/2024,R. Alvarado,PUC. Depto. de Salud Pública,FONDECYT,Regular
33,COVID0598,"Desarrollo e implementación de una intervención multinivel para reducir problemas de salud mental asociados a la pandemia de COVID-19 en trabajadores de la salud, en Chile
",01/06/2020,01/06/2020,R. Alvarado,Instituto de Salud Poblacional,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
34,CEISH024-2020,The Impact of the Covid-19 Pandemic on the Mental Health of Workers in Health Services: The Covid-19 HEalth caRe wOrkErS (HEROES) Study,01/04/2020,01/12/2021,R. Alvarado / J. Ramírez,Instituto de Salud Poblacional,Otros,Otros
35,1191180,Reducing Stigma towards Mental Illness and Substance Use Issues in Primary Health Care in Chile: A Cluster Randomized Control Trial,01/08/2018,01/08/2018,R. Alvarado,Universidad Católica de Chile,FONDECYT,Regular
36,I-MENTAL19,Instituto Milenio de trastornos mentales en poblaciones vulnerables,01/12/2019,01/12/2019,R. Alvarado,Instituto de Salud Poblacional,Iniciativa científica Milenio,Institutos Milenios
37,1U01MH115502,On Track Chile (OTCH) for First Episode Psychosis,01/01/2020,01/01/2024,R. Alvarado / J. Ramírez,Instituto de Salud Poblacional,Otros Internacionales,Proyectos Internacionales
38,SOC180027,Social sciences and mental health services: understanding and solving problems of implementation,01/07/2018,01/07/2018,"R. Alvarado / E. Tapia, C. Arteaga",Otras Instituciones,Programa de Investigación Asociativa,Concurso Anillos en Ciencias Sociales
39,1160099,Stigma toward mental illness among primary care professionals in Chile,01/04/2016,01/04/2019,R. Alvarado,PUC. Escuela de Medicina,FONDECYT,Regular
40,ID16I10060,Desarrollo y evaluación de un modelo de intervención basado en tecnologías de la información y de la comunicación (TICs) para reducir el riesgo de suicidio adolescente en establecimientos educacionales de la RM y la VI Región,01/11/2016,01/11/2018,"R. Alvarado / E. Tapia, S. Ríos, M. Irarrázaval",Decanato,FONDEF,IDEA Bietapa
41,1150380,Stigma toward mental illness among primary care professionals in Chile,01/03/2015,01/03/2015,R. Alvarado,PUC. Depto. de Salud Pública,FONDECYT,Regular
42,1130230,Comprehensive technology-assisted training and supervision program to enhance depression Management in primary care ,01/03/2013,01/03/2016,"M. Rojas / R. Fritsch, V. Martínez, A. Castro, R. Alvarado, R. Marín",Departamento de Psiquiatría y Salud Mental Norte,FONDECYT,Regular
43,SA12I2247,"Evaluación de la efectividad de una intervención psicosocial intensiva para personas con un episodio de psicosis
",01/12/2012,01/12/2014,R. Alvarado,Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
44,1100205,A telemedicine-based collaborative programme to improve depression management in rural primary care services in Chile,01/03/2010,01/03/2013,"M. Rojas / A. Castro, R. Fritsch, R. Alvarado",Clínica Psiquiátrica,FONDECYT,Regular
45,SA09I10012,Validación de un instrumento para medir la relación entre capital social y salud poblacional en chile,01/12/2009,01/12/2009,A. Alarcón / R. Alvarado,Instituto de Salud Poblacional,CONICYT/MINSAL,FONIS-Proyectos I&D
46,SA09I20026,Construcción y validación de un instrumento de Calidad de Vida Infantil en preescolares chilenos (CVIEP),01/10/2009,01/02/2011,S. Burgos / R. Alvarado,Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
47,SA09I10002,El estigma en mujeres con depresión severa,01/12/2009,01/12/2009,"C. Madariaga, R. Alvarado, R. Sepúlveda, A. Eguiguren",Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
48,SA08I20034,Validación para Chile del cuestionario de calidad de vida en insuficiencia cardiaca: Minnesota Living with Heart Failure Questionnaire (MLHFQ),01/12/2008,01/12/2009,C. Antini / R. Alvarado,Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
49,SA08I20033,Evaluación de las redes de atención para personas con primer episodio de esquizofrenia en Chile,01/12/2008,01/12/2009,R. Alvarado / R. Sepúlveda,Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
50,PMI07F107,Programa de formación en Metodología de la Investigación aplicada en Salud (Módulo 2),01/12/2007,01/09/2008,"D. Cáceres / O. Arteaga, R. Alvarado, M. Garmendia, M. Mazzei",Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Metodología de la Investigación
51,SP-4,"Domeyko Sociedad y Equidad: Política, pobreza y exclusión social",01/12/2007,01/12/2010,"M. Ruiz / J. Ortiz, H. Romero, R. Sepúlveda, R. Alvarado, M. Barba, J. Núñez, C. Castro, S. Pérez, J. Uribe, C. Arteaga, J. Larenas",Departamento de Psicología,Fondo Central de Investigación,Programa Domeyko
52,SA06I20030,"Evaluación de la estructura, funcionamiento y costos asociados del Programa para la Detección, Diagnóstico y Tratamiento de la Depresión en APS que se asocian con mejores resultados",01/12/2006,01/12/2007,"R. Alvarado, M. Villalón",Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
53,SA05I10359,Factores psicosociales en el ambiente laboral y riesgo de desarrollar un trastorno mental,01/12/2005,01/12/2007,"R. Alvarado, M. Villalón",Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
54,SA05I20071,"Factores psicosociales en el ambiente laboral y riesgo de desarrollar un trastorno mental, en trabajadores de empresas de servicios de la Región Metropolitana",01/12/2005,01/12/2007,"R. Alvarado, M. Villalón",Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
55,SA05I20059,Evaluación de una intervención comunitaria para la detección precoz y tratamiento oportuno de personas con primer episodio de pssicosis,01/12/2005,01/12/2007,R. Alvarado / R. Sepúlveda,Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
56,SA04I2088,"Evaluación del impacto de una intervención psicosocial en los niveles de autoestima, apoyo social y relaciones de género de mujeres adolescentes.....",01/12/2004,01/12/2005,A. Eguiguren / R. Alvarado,Escuela de Salud Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
57,F-XI-11,Creación de un centro para la incorporación de la medicina basada en evidencia médica a la atención clínica y el diseño de políticas de salud en Chile,01/12/2003,01/12/2003,"H. Salinas / C. Romero, R. Alvarado, O. Arteaga",Escuela de Salud Pública,FONDEF,Investigación y Desarrollo (I+D)
58,FX-16,Creación de un centro para la incorporación de la medicina basada en evidencia medica a la atención clínica y el diseño de politicas de salud en Chile.,01/12/2002,01/12/2002,"H. Salinas / G. Solimano, C. Romero, O. Arteaga, R. Alvarado, R. Salinas",Departamento de Obstetricia y Ginecología,FONDEF,Investigación y Desarrollo (I+D)
59,S/N 0032,Desarrollo de un modelo de gestión para la atención ambulatoria de problemas de salud mental,01/12/2000,01/12/2000,R. Alvarado,Universidad Del Bio-Bio,FONDEF,Investigación y Desarrollo (I+D)
60,1240079,La vejez avanzada en el curso de la vida. Estudio sobre trayectorias de cuidados de personas mayores en Chile,01/07/2023,01/07/2023,"P. Osorio / C. Arteaga, M. Anigstein",Departamento de Antropología,FONDECYT,Regular
61,1240840,Socioecologías de cuidado en contextos de extracción de Salmón y Musgo Sphagnum magellanicum (Pompón) en el territorio insular de Chiloé,01/07/2023,01/07/2023,"M. Anigstein / M. Fragkou, C. Arteaga, P. Osorio",Departamento de Antropología,FONDECYT,Regular
62,11220868,Cuidados y sostenimiento de la vida. Una aproximación a las ecologías locales de cuidado en contextos de crisis social y sanitaria en Chile,01/05/2021,01/05/2021,M. Anigstein,Departamento de Antropología,FONDECYT,Iniciación en Investigación
63,1210549,Making the invisible visible: Strengthening local food systems for concomitant crises and climate change in a digitalized world,01/08/2020,01/08/2020,"R. Kanter / S. Boza, M. Anigstein, F. Vio",Departamento de Nutrición,FONDECYT,Regular
64,11200560,"Cuidado, autocuidado y autoatención de salud en contextos de crisis social y sanitaria (COVID-19) en Chile. Aproximaciones desde la Antropología de la Salud",01/05/2020,01/05/2020,M. Anigstein,Departamento de Antropología,FONDECYT,Iniciación en Investigación
65,UI-013/20,"Cuidado, autocuidado y autoatención de salud en contextos de crisis social y sanitaria (COVID-19) en Chile. Aproximaciones desde la Antropología de la Salud",01/10/2020,01/10/2022,M. Anigstein,Departamento de Antropología,Fondo Central de Investigación,U-INICIA
66,COVID0960,Impacto del COVID-19 en Chile: Una evaluación interdisciplinaria de la respuesta a la pandemia y sus consecuencias,01/06/2020,01/06/2021,"M. Martínez, M. Anigstein, M. Canals, M. Canals",Instituto de Salud Poblacional,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
67,3190903,Inseguridad Alimentaria y Nutricional como factor relevante en la malnutrición por exceso y el desarrollo de enfermedades no transmisibles en Chile,01/10/2018,01/10/2018,M. Anigstein / F. Vio,Dirección,FONDECYT,Postdoctorado
68,SA19I0030,"Evaluación de Estrategias para el Fomento al Consumo de Frutas, Verduras y Legumbres",01/03/2019,01/03/2019,"R. Kanter, S. Boza, M. Anigstein",PUC. Facultad de Medicina,CONICYT/MINSAL,FONIS-Proyectos I&D
69,1191814,"Alimentación infantil y juvenil en ámbitos rural y urbano: ¿Se relacionan variables sociales, antropológicas y territoriales?",01/09/2018,01/09/2018,"M. Mora / J. Razeto, M. Anigstein, S. Boza",Departamento de Gestión e Innovación Rural,FONDECYT,Regular
70,UI-028/19,Vida cotidiana en familias con enfermedades no transmisibles residentes en Santiago de Chile. Una aproximación etnográfica a los procesos de salud-enfermedad-atención,01/08/2019,01/08/2019,M. Anigstein,Departamento de Antropología,Fondo Central de Investigación,U-INICIA
