,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Wallach, M; Cuellar, J; Verdugo-Paiva, F; Alarcon, A",Long-term antibiotic prophylaxis regimen compared to short-term antibiotic prophylaxis regimen in patients undergoing orthognathic surgery,2020,MEDWAVE,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5867/medwave.2020.11.8071,10.5867/medwave.2020.11.8071
1,"Alarcón-Arratia, Ana; Muñoz-Repetto, Maximiliano; Schnettler, Katty; Ulloa-Marin, Carolina",Granuloma Periférico de Células Gigantes e Hiperparatiroidismo. Presentación de un Caso,2019,INTERNATIONAL JOURNAL OF ODONTOSTOMATOLOGY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-381X2019000300266,10.4067/S0718-381X2019000300266
2,"Villanueva, J; Salazar, J; Alarcon, A; Araya, I; Yanine, N; Domancic, S; Carrasco-Labra, A",Antiplatelet therapy in patients undergoing oral surgery: A systematic review and meta-analysis,2019,MEDICINA ORAL PATOLOGIA ORAL Y CIRUGIA BUCAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4317/medoral.22708,10.4317/medoral.22708
3,"Villanueva, Julio; Vergara, Diego; Núñez, Lorena; Zamorano, Gabriel; Zapata, Sebastián; Salazar, Josefina; Alarcón, Ana; Rojo, Rosa; Domancic, Stefan; Yanine, Nicolás; Araya, Ignacio",Riesgo de hemorragia postquirúrgica en pacientes bajo tratamiento antitrombótico sometidos a cirugía oral: Revisión Sistemática y Metaanálisis.,2018,"REVISTA CLINICA DE PERIODONCIA, IMPLANTOLOGIA Y REHABILITACION ORAL",SCIELO-Chile/UCH/VID,,
4,"Letelier, C; Gunther, M; Alarcon, A; Vera, P; Kakarieka, E; Pantoja, R",Agressive pediatric myofibromatosis in a two-year-old child,2018,JOURNAL OF STOMATOLOGY ORAL AND MAXILLOFACIAL SURGERY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jormas.2017.11.018,10.1016/j.jormas.2017.11.018
5,"Dallaserra M., Poblete F., Yanine N., Araya I., Cortés R., Villanueva Maffei J.",Association between intraoperative factors and postoperative complications in third molar surgery: An observational study,2021,Journal of Oral Research,SCOPUS/UCH/VID,http://dx.doi.org/10.17126/JORALRES.2021.075,10.17126/JORALRES.2021.075
6,"Agüero-Prado, Ignacio Domingo; Dallaserra, Matías; Araya, Ignacio; Villanueva, Julio
",Ortopedia prequirúrgica en el tratamiento de pacientes con fisura labio y paladar.,2021,INTERNATIONAL JOURNAL OF INTERDISCIPLINARY DENTISTRY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S2452-55882021000200197 ,10.4067/S2452-55882021000200197 
7,"Ignacio Andrés Araya C., Cristopher Mayer O., Francisco Javier Pinedo H., Julio Antonio Jiménez L.","Treatment of complex wounds using platelet rich fibrin and leukocytes (L-prf), initial experience of a center",2021,REVISTA DE CIRUGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.35687/s2452-45492021006863,10.35687/s2452-45492021006863
8,"Yanine, N; Sabelle, N; Vergara-Garate, V; Salazar, J; Araya-Cabello, I; Carrasco-Labra, A; Martin, C; Villanueva, J",Effect of antibiotic prophylaxis for preventing infectious complications following impacted mandibular third molar surgery. A randomized controlled trial,2021,MEDICINA ORAL PATOLOGIA ORAL Y CIRUGIA BUCAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.4317/medoral.24274,10.4317/medoral.24274
9,"Kramer, S; Fuentes, I; Yubero, MJ; Encina, C; Farfan, J; Araya, I; Bennett, JC; Fuentes, C; McNab, ME; Zillmann, G; Valle, M; Lucky, AW; Palisson, F",Absence of tongue papillae as a clinical criterion for the diagnosis of generalized recessive dystrophic epidermolysis bullosa types,2020,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jaad.2020.03.117,10.1016/j.jaad.2020.03.117
