,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,SA20I0125,"Prevalencia, Severidad e Impacto en la Calidad de Vida del Desgaste Dental en Adultos de la Provincia de Santiago",01/08/2020,01/08/2020,"C. Bersezio / P. Ledezma, J. Martin, P. Vildósola, R. Arias",Departamento de Odontología Restauradora,CONICYT/MINSAL,FONIS-Proyectos I&D
1,SA18I0055,Manejo clínico restaurador de lesiones de caries radiculares en adultos mayores: comportamiento clínico y sensibilidad post operatoria. Estudio Clínico Aleatorizado,01/04/2018,01/04/2018,"J. Estay / R. Arias, C. Corral, C. Bersezio",Departamento de Odontología Restauradora,CONICYT/MINSAL,FONIS-Proyectos I&D
2,SA22I0118,Evaluación de la aptitud mecánica de una resina imprimiblebiocompatible de uso odontológico para la confección derestauraciones permanentes,01/06/2022,01/06/2022,"N. Améstica / C. Vergara, E. Astorga",Departamento de Rehabilitación Oral,CONICYT/MINSAL,FONIS-Proyectos I&D
3,SA22I0045,Efectividad del Fluoruro Diamino de Plata en la Detención deLesiones de Caries Radiculares en Pacientes Adultos Mayores.Ensayo Clínico Aleatorizado,01/06/2022,01/06/2022,"C. Bersezio / N. Cajas, P. Ledezma, J. Martin",Departamento de Odontología Restauradora,CONICYT/MINSAL,FONIS-Proyectos I&D
4,1220665,Reducing secondary caries and increasing longevity of dental restorations by using adhesives modified with Copper/Zinc and Bioglass nanoparticles,01/08/2021,01/08/2021,"E. Fernández / R. Vernal, M. Gutiérrez, J. Estay, C. Bersezio, S. Buvinic, J. Martin, E. Hernández",Departamento de Odontología Restauradora,FONDECYT,Regular
5,1211670,Reducing secondary caries and increasing longevity of dental restorations by using adhesives modified with copper and zinc nanoparticles,01/08/2020,01/08/2020,"E. Fernández / R. Vernal, M. Gutiérrez, J. Estay, C. Bersezio, S. Buvinic, J. Martin, E. Hernández",Departamento de Odontología Restauradora,FONDECYT,Regular
6,1200100,Reducing secondary caries in dental restorations by using adhesives modified with copper and zinc nanoparticles,01/08/2019,01/08/2019,"E. Fernández / E. Hernández, C. Lozano, R. Vernal, J. Martin, M. Gutiérrez, S. Buvinic, C. Bersezio",Departamento de Odontología Restauradora,FONDECYT,Regular
7,SA20I0125,"Prevalencia, Severidad e Impacto en la Calidad de Vida del Desgaste Dental en Adultos de la Provincia de Santiago",01/08/2020,01/08/2020,"C. Bersezio / P. Ledezma, J. Martin, P. Vildósola, R. Arias",Departamento de Odontología Restauradora,CONICYT/MINSAL,FONIS-Proyectos I&D
8,SA18I0055,Manejo clínico restaurador de lesiones de caries radiculares en adultos mayores: comportamiento clínico y sensibilidad post operatoria. Estudio Clínico Aleatorizado,01/04/2018,01/04/2018,"J. Estay / R. Arias, C. Corral, C. Bersezio",Departamento de Odontología Restauradora,CONICYT/MINSAL,FONIS-Proyectos I&D
9,1170575,Effect of the incorportation of copper and zinc nanoparticles into dental adhesives on their antimicrobial properties and dentinal matrix metalloproteinases activity: from molecular basis to clinical trials,01/04/2017,01/04/2020,"E. Fernández / E. Hernández, C. Covarrubias, J. Martin, C. Bersezio, J. Estay, P. Vildósola",Departamento de Odontología Restauradora,FONDECYT,Regular
