,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Bersezio, C; Martin, J; Prieto, MV; Meneses, P; Angel, P; Fernandez, GE; Loguercio, A","One-year bleaching efficacy using two HP products with different pH: A double-blind randomized clinical trial (vol 31, pg 493, 2019)",2022,JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/jerd.12545,10.1111/jerd.12545
1,"Angel, Pablo; Martín, Javier; Lobos, Natalia; Arias, Roque; Ampuero, Erick; Salgado, Cristian
",Uso de un nuevo protocolo clínico fotográfico-computacional en el registro de la fluorescencia visible inducida por radiación ultravioleta en dientes humanos.,2021,INTERNATIONAL JOURNAL OF INTERDISCIPLINARY DENTISTRY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S2452-55882021000200148,10.4067/S2452-55882021000200148
2,"Estay, J; Angel, P; Bersezio, C; Tonetto, M; Jorquera, G; Pena, M; Fernandez, E","The change of teeth color, whiteness variations and its psychosocial and self-perception effects when using low vs. high concentration bleaching gels: a one-year follow-up",2020,BMC ORAL HEALTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12903-020-01244-x,10.1186/s12903-020-01244-x
3,"Bersezio, C; Martin, J; Prieto, MV; Meneses, P; Angel, P; Fernandez, GE; Loguercio, A",One-year bleaching efficacy using two HP products with different pH: A double-blind randomized clinical trial,2019,JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/jerd.12505,10.1111/jerd.12505
4,"Bersezio, C; Estay, J; Jorquera, G; Pena, M; Araya, C; Angel, P; Fernandez, E",Effectiveness of dental bleaching with 37.5% and 6% hydrogen peroxide and its effect on quality of life,2019,OPERATIVE DENTISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.2341/17-229-C,10.2341/17-229-C
5,"Bersezio, C; Martin, J; Angel, P; Bottner, J; Godoy, I; Avalos, F; Fernandez, E",Teeth whitening with 6% hydrogen peroxide and its impact on quality of life: 2years of follow-up,2019,ODONTOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10266-018-0372-3,10.1007/s10266-018-0372-3
6,"Estay, J; Bersezio, C; Faune, J; Correa, MP; Angel, P; Martin, J; Fernandez, E","Effects of Sealing Marginal Occlusal Defects of Composite Restorations with a Nanofiller-Reinforced Flowable Resin Composite: A Double-Blind, Randomised Clinical Trial with One-Year Follow-Up",2018,ORAL HEALTH & PREVENTIVE DENTISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3290/j.ohpd.a41656,10.3290/j.ohpd.a41656
7,"Fresno, M. C; Angel, P; Espíndola, E; Oyarzún, A",Histopathological Analysis of Sealant Infiltration in White Spot Enamel Lesions (WSEL),2018,INTERNATIONAL JOURNAL OF ODONTOSTOMATOLOGY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-381X2018000400376.,10.4067/S0718-381X2018000400376.
8,"Aguirre, Pablo Angel; Gallegos-Fauré, Andrea; Bersezio-Miranda, Cristian; Estay-Larenas, Juan; Arias-Fredes, Roque",Selladores de Superficie en Base a Resina: Potencial de Prevenir Tinción Exógena,2018,INTERNATIONAL JOURNAL OF ODONTOSTOMATOLOGY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-381X2018000400348.,10.4067/S0718-381X2018000400348.
9,"Bersezio, C; Martin, J; Mayer, C; Rivera, O; Estay, J; Vernal, R; Haidar, ZS; Angel, P; Oliveira, OB; Fernandez, E",Quality of life and stability of tooth color change at three months after dental bleaching,2018,QUALITY OF LIFE RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11136-018-1972-7,10.1007/s11136-018-1972-7
