,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1231350,Unraveling the role of JAK1 and JAK2 pathway in periodontitis: drivers of immunopathology and possible therapeutic targets,01/03/2023,01/03/2027,"N. Dutzan / M. Reyes, J. Aguillón, L. Abusleme, M. Arce",Departamento de Odontología Conservadora,FONDECYT,Regular
1,1231728,Defining the role of Streptococcus gordonii and Streptococcus sanguinis in periodontitis pathogenesis,01/03/2023,01/03/2027,"L. Abusleme / A. Hoare, N. Dutzan",Departamento de Patología y Medicina Oral,FONDECYT,Regular
2,NAM22I0021,Manipulating the oral microbiome: a potential intervention that improves cardiometabolic outcomes promoting healthy aging,01/07/2022,01/07/2022,L. Abusleme,Departamento de Patología y Medicina Oral,Desafío Global en Longevidad Saludable,Longevidad Saludable: Fase Internacional Catalizadora
3,11180505,Role of Th17 mediated inflammation in promoting subgingival microbial dysbiosis during periodontitis,01/11/2018,01/11/2021,L. Abusleme,Departamento de Patología y Medicina Oral,FONDECYT,Iniciación en Investigación
4,1130570,Biological plaque control in periodontal diseases: understanding variability of microbiome/immune response and implementation of a conventional periodontal treatment combined with probiotics,01/03/2013,01/03/2017,"J. Gamonal / R. Cabello, P. Carvajal, G. Rodríguez, N. Dutzan, L. Abusleme, E. Hernández",Departamento de Odontología Conservadora,FONDECYT,Regular
5,GENRED-2012-458,Control microbiológico de agentes etiológicos de enfermedades orales prevalentes: posible aplicación de nanotecnología,01/09/2012,01/09/2012,L. Abusleme,Departamento de Patología y Medicina Oral,Fondo Central de Investigación,Programa U-Redes: Línea 1 Incentivo a la Generación de Red
6,11240773,Coupling Vasculogenesis to Osteogenesis mediated by humans Dental Pulp Stem Cells,01/05/2023,01/05/2023,S. Acuña,Dirección Patología,FONDECYT,Iniciación en Investigación
7,ID22I10101,"Implementación, validación y evaluación del examen dental preventivo para la población adulta y personas mayores en la atención primaria de salud, integrándose a los exámenes de medicina preventiva del adulto (EMPA) y personas mayores (EMPAM)",01/08/2022,01/08/2024,"J. Gamonal / A. Morales, A. Fuentes, S. Acuña, M. Barahona, I. Cavalla, M. Baeza, I. Espinoza, G. Jara, E. Dreyer",Departamento de Odontología Conservadora,FONDEF,IDEA
8,1211314,Toward zeolite and zeolite - like osteoinductive materials for bone tissue engineering,01/03/2021,01/03/2025,"C. Covarrubias / R. Vernal, S. Acuña, P. Capetillo, A. Ortiz",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
9,IT21I0004,Implementación y evaluación económica del Examen DentalPreventivo Adulto Mayor (EDePAM) en la Atención Primaria deSalud: Ampliando el EMPAM hacia una integración de lafuncionalidad de las personas mayores,01/11/2021,01/11/2021,"J. Gamonal / M. Baeza, A. Fuentes, M. Barahona, S. Acuña, G. Jara, I. Cavalla, E. Dreyer, A. Morales, I. Espinoza",Departamento de Odontología Conservadora,FONDEF,IDEA
10,ID20I10003,Implantes de PEEK con nanotecnología antimicrobiana y osteogénica,01/05/2020,01/05/2020,"C. Covarrubias / S. Acuña, R. Vernal, L. Córdova, A. Von Marttens",Dirección de Instituto Ciencias Odontológicas,FONDEF,IDEA
11,1190084,Synthesis and evaluation of multifunctional nanocomposite scaffolds with osteogenic and antimicrobial properties for bone tissue reconstruction,01/08/2018,01/08/2018,"C. Covarrubias / S. Acuña, A. Von Marttens, R. Vernal",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
12,UI- 016/19,Células troncales de la pulpa dentaria humana y su potencialidad en regeneración de tejidos duros mediante un mecanismo directo de diferenciación y síntesis de matriz ósea,01/08/2021,01/08/2021,S. Acuña,Departamento de Patología y Medicina Oral,Fondo Central de Investigación,U-INICIA
13,UI_2018_11,Células troncales de la pulpa dentaria humana y sus potencialidades en regeneración de tejidos duros,01/07/2018,01/07/2018,S. Acuña,Departamento de Patología y Medicina Oral,Fondo Central de Investigación,U-INICIA
14,11240881,Genetic and epigenetic landscape of early-onset oral squamous cell carcinoma,01/05/2023,01/05/2023,D. Adorno,Departamento de Patología y Medicina Oral,FONDECYT,Iniciación en Investigación
15,1241130,Development of a hydrogel system for the delivery of essential oil from Mentha suaveolens for the treatment of denture stomatitis through an interdisciplinary approach,01/08/2023,01/08/2023,"A. Molina / J. Jara, M. Díaz, D. Adorno, A. Escobar",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
16,1241327,THE CONTRIBUTION OF THE CHILEAN NATIVE AND ADMIXED GENOME TO FAMILIAL TUMORS GENETIC SUSCEPTIBILITY: CHARACTERIZATION OF THE MACROZONAL GENOMIC COMPOSITION OF PATIENTS AT HIGH RISK FOR CANCER,01/08/2023,01/08/2023,D. Adorno,,FONDECYT,Regular
17,1180768,"Genetic and epigenetic etiology of development alterations affecting the number, size, form, structure and eruption of the teeth: understanding the cross talk between shared and reiterative signaling pathways",01/07/2017,01/07/2017,"B. Urzúa / M. Toro, I. Morales, D. Adorno, A. Ortega",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
18,1181117,"Next-generation sequencing for microrna profiling: portraying oral epithelial dysplasia, metastatic and non-metastatic oral squamous cell carcinoma",01/08/2017,01/08/2017,"L. Jara, A. Molina, J. Jara, D. Adorno, P. González",Departamento de Patología y Medicina Oral,FONDECYT,Regular
19,URED-2014-007,"Diagnóstico, manejo y tratamiento de patologías orales complejas",01/12/2014,01/12/2016,"B. Urzúa / A. Molina, L. Jara, D. Adorno, A. Ortega, J. Jara",Bioquímica,Fondo Central de Investigación,Programa U-Redes: Línea 1 Incentivo a la Generación de Red
