,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,CP200291,Generando Tecnologías de Información y Comunicación (TIC) en Prevención de Enfermedades Infecciosas Emergentes,01/11/2022,01/11/2022,A. Díaz,Departamento del Niño y Ortopedia Dento - Maxilar,Programa Ciencia Pública,Ciencia Pública para el Desarrollo de Productos de Divulgación del Conocimiento
1,1181881,Phenotype of dental traits in an admixed population: a quantitative multivariate approach using genetic and geometric morphometric tools,01/07/2017,01/07/2017,"G. Manríquez / A. Díaz, S. Flores",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
2,1171610,Caracterización del fenotipo dentario en poblaciones mixtas de Chile mediante análisis de la covariación de rasgos dentales no métricos y métricos geométricos con la microbiota oral y marcadores genéticos informativos de ancestría,01/09/2016,01/09/2016,"G. Manríquez / A. Díaz, R. Vidal, S. Flores",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
3,TNAC-09-02/01,Impacto del uso de antimicrobianos en niños con infección respiratoria baja sobre la presencia y sensibilidad de patógenos periodontales y su relación con la enfermedad periodontal,01/12/2001,01/12/2001,J. Gamonal / S. Echeverría,Departamento de Odontología Conservadora,Fondo Central de Investigación,CONCURSO EN TEMAS NACIONALES
4,ODO-05,Análisis genético molecular de genes candidatos para amilogénesis imperfecta dominante autosomal,01/03/2000,01/03/2000,"B. Urzúa / S. Echeverría, I. Morales",Departamento de Ciencias Físicas y Químicas,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN ODONTOLOGIA
5,SA19I0136,Evidencia clínica e imagenológica de estabilidad periodontal en pacientes adultos con periodonto disminuido sano y migración patológica sometidos a tratamiento ortodóncico,01/03/2019,01/03/2019,"C. Navarrete / R. Vernal, C. González, A. Riquelme, C. Cisterna, M. Kuzmanic, K. Von Muhlenbrock",Departamento del Niño y Ortopedia Dento - Maxilar,CONICYT/MINSAL,FONIS-Proyectos I&D
6,SA20I0008,Relación entre la prevalencia de defectos del desarrollo del esmalte en dientes primarios y caries temprana de la infancia: Importancia de la estimación en el Programa CERO,01/04/2020,01/04/2020,"E. Henríquez / S. Espinosa, B. Urzúa, M. Solar, P. Muñoz",Departamento del Niño y Ortopedia Dento - Maxilar,CONICYT/MINSAL,FONIS-Proyectos I&D
7,1241009,Clinical and genetic-molecular diagnosis of dental development abnormalities: phenotype-genotype correlations,01/08/2023,01/08/2023,"B. Urzúa / A. Ortega, I. Morales, M. Fresno, S. Kramer, S. Osorio, S. Rojas",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
8,SA17I0031,"Ensayo clínico aleatorizado de seguimiento de restauraciones oclusales y próximo oclusales del sector posterior obturadas con cemento de alta densidad Equia Fil GC en personas en situación de discapacidad
",01/10/2017,01/04/2020,"S. Monsalves / S. Kramer, L. Rueda",Departamento del Niño y Ortopedia Dento - Maxilar,CONICYT/MINSAL,FONIS-Proyectos I&D
9,SA23I0177,Diseño y validación de un instrumento digital de derivación a ortodoncia específico para niñas y niños de 6 años con anomalías dentomaxilares para su uso en atención primaria en salud,01/05/2023,01/05/2023,"M. Lipari / G. Pimentel, R. Sepúlveda, M. Pinto",Departamento del Niño y Ortopedia Dento - Maxilar,CONICYT/MINSAL,FONIS-Proyectos I&D
