,0,dirName
1561,Decanato,decanato
1620,Departamento de Cirugía y Traumatología Maxilo Facial,departamento_de_cirugía_y_traumatología_maxilo_facial
1634,Departamento de Odontología Conservadora,departamento_de_odontología_conservadora
1641,Departamento de Odontología Restauradora,departamento_de_odontología_restauradora
1645,Departamento de Patología y Medicina Oral,departamento_de_patología_y_medicina_oral
1655,Departamento de Rehabilitación Oral,departamento_de_rehabilitación_oral
1630,Departamento del Niño y Ortopedia Dento - Maxilar,departamento_del_niño_y_ortopedia_dento_maxilar
1722,Dirección Clínica,dirección_clínica
1602,Dirección de Asuntos Académicos,dirección_de_asuntos_académicos
1609,Dirección de Asuntos Estudiantiles,dirección_de_asuntos_estudiantiles
1611,"Dirección de Extensión, Comunicaciones y Relaciones Públicas",dirección_de_extensión_comunicaciones_y_relaciones_públicas
1784,Dirección de Investigación - DIFO,dirección_de_investigación_difo
1595,Escuela de Graduados,escuela_de_graduados
1583,Escuela de Pregrado,escuela_de_pregrado
1680,Instituto de Ciencias Odontológicas,instituto_de_ciencias_odontológicas
1568,Vicedecanato,vicedecanato
