,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,SA21I0052,"Intervención psicoeducativa remota en hábitos saludables para estudiantes universitarios y su influencia en hábitos de alimentación, ejercicio, sueño, consumo de sustancias, indicadores clínicos y composición corporal",01/05/2021,01/05/2021,"G. Ríos / P. Van Treek, A. Correa, A. Herrera",Dirección de Instituto Ciencias Odontológicas,CONICYT/MINSAL,FONIS-Proyectos I&D
1,SA20I0030,Intervención socioeducativa familiar domiciliaria para la reducción de la incidencia de lesiones de caries y malnutrición por exceso en lactantes que se atienden en la atención primaria de salud de comunas rurales: Ensayo clínico controlado randomizado,01/04/2020,01/04/2020,"G. Rodríguez / A. Herrera, G. Ríos, R. Cabello",Departamento de Odontología Restauradora,CONICYT/MINSAL,FONIS-Proyectos I&D
2,SA20I0049,"Identificación de experiencias psicológicas frente al trauma maxilofacial y ocular, en personas víctimas de violencia de agentes del estado en el contexto de la movilización social en Chile el año 2019-2020",01/11/2020,01/05/2023,"G. Rojas / A. Herrera, C. Corral, S. Córdova, G. Ríos",Departamento de Anatomía Patológica,CONICYT/MINSAL,FONIS-Proyectos I&D
3,CP200051,Sjögren: Una enfermedad silenciosa,01/11/2022,01/11/2022,A. Herrera,Dirección de Instituto Ciencias Odontológicas,Programa Ciencia Pública,Ciencia Pública de Proy. Comunitarios para la Difusión de Conocimiento Local
4,SA20I0066,SÍNDROME NEVOIDE BASOCELULAR EN PACIENTES CON QUERATOQUISTES ODONTOGÉNICOS: CAMINO AL DIAGNÓSTICO PRECOZ,01/04/2020,01/04/2020,"A. Ortega / I. Espinoza, A. Herrera, N. Yanine, F. Donoso, E. Escobar, A. Maturana, M. Araya, G. Rojas, B. Urzúa",Departamento de Patología y Medicina Oral,CONICYT/MINSAL,FONIS-Proyectos I&D
5,SA19I0161,"Facilitadores y barreras para la asistencia a control de salud oral en niños y niñas egresados de programa CERO, en atención primaria",01/03/2019,01/03/2019,"G. Ríos / A. Correa, B. Ruiz, A. Herrera, G. Rojas",Dirección de Instituto Ciencias Odontológicas,CONICYT/MINSAL,FONIS-Proyectos I&D
6,SA11I2025,Impacto en la adherencia a tratamiento de una intervención cognitivo-conductual para disminuir ansiedad dental en niños y niñas de 6 años beneficiarios del programa de salud oral integral en servicios de atención primaria de la región metropolitana,01/12/2011,01/12/2012,"G. Rojas / A. Herrera, M. Barahona, G. Ríos",Departamento de Patología y Medicina Oral,CONICYT/MINSAL,FONIS-Proyectos I&D
7,SA09I10067,"Evaluación del impacto de intervenciones de consejería y apoyo psicologico en la salud mental, calidad de vida y adherencia a tratamiento de pacientes con enfermedades dermatologicas y estomatológicas",01/12/2009,01/12/2009,"G. Rojas / A. Ortega, A. Herrera",Departamento de Patología y Medicina Oral,CONICYT/MINSAL,FONIS-Proyectos I&D
8,1240754,High NLRP3 inflammasome activity as a predictor of poor clinical outcome in AL amyloidosis,01/07/2023,01/07/2023,"R. Castillo, P. Llanos",Departamento de Medicina Interna Oriente,FONDECYT,Regular
9,1230899,Alzheimer's disease and periodontitis: a novel pathogenic link,01/08/2022,01/08/2022,"A. Paula Lima / J. Díaz, P. Llanos, M. Hidalgo",Ciencias del Comportamiento,FONDECYT,Regular
10,1231281,Local SHBG expression is regulated by androgen signaling to induce metabolic protection in cardiomyocytes,01/08/2022,01/08/2022,"M. Estrada / G. Barrientos, P. Llanos, C. Basualto",Instituto de Ciencias Biomédicas,FONDECYT,Regular
11,1230033,High inflammasome activity as a predictor of poor clinical outcome in AL amyloidosis,01/07/2022,01/07/2022,"P. Llanos, R. Castillo",Departamento de Medicina Interna Oriente,FONDECYT,Regular
12,1231103,GSDMD/IL1 beta signaling pathway in skeletal muscle during insulin resistance: a trigger for impaired glucose uptake and muscle mass loss,01/03/2023,01/03/2027,"P. Llanos / M. Estrada, G. Jorquera, G. Barrientos, S. Buvinic",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
13,1231044,Hippocampal damage induced by high fat diet in obese mice is prevented by inhibition of NLRP3 inflammasome and RyR2,01/08/2022,01/08/2022,"G. Barrientos / P. Llanos, M. Hidalgo, M. Estrada",Instituto de Ciencias Biomédicas,FONDECYT,Regular
14,1221887,NLRP3 inflammasome activity as a preoperative predictor of cardiac function and remodeling outcome in patients undergoing cardiac surgery: role of the SGLT2 cotransporter inhibition in cardioprotection,01/08/2021,01/08/2021,"R. Castillo / E. Herrera, V. Parra, P. Llanos",Departamento de Medicina Interna Oriente,FONDECYT,Regular
15,1221750,Alzheimer 's disease and periodontitis: a novel pathogenic link,01/09/2021,01/09/2021,"A. Paula Lima / M. Hidalgo, P. Llanos, J. Díaz, R. Vernal",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
16,NAM22I0040,Disulfiram as a novel drug repurposing strategy in age-related sarcopenia in elderly mice,01/07/2022,01/07/2022,P. Llanos,Dirección de Instituto Ciencias Odontológicas,Desafío Global en Longevidad Saludable,Longevidad Saludable: Fase Internacional Catalizadora
17,1221681,Obesity disrupts the neuronal plasticity through dysregulation of the endoplasmic reticulum calcium handling. Magnesium supplementation ameliorates the neuronal dysfunction and damage,01/09/2021,01/09/2021,"G. Barrientos / P. Llanos, M. Hidalgo, M. Estrada",Instituto de Ciencias Biomédicas,FONDECYT,Regular
18,1211592,Disruption of memory and synaptic plasticity in obesity: role of the increment in membrane cholesterol and phospholipids saturation,01/08/2020,01/08/2020,"G. Barrientos / C. Basualto, M. Estrada, P. Llanos, M. Hidalgo, J. Valdés",Instituto de Ciencias Biomédicas,FONDECYT,Regular
19,1211914,Alzheimer´s disease and periodontitis: a novel pathogenic link,01/08/2020,01/08/2020,"A. Paula Lima / J. Díaz, P. Llanos, R. Vernal",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
20,1201384,Assessment of Triclosan presence in the human central nervous system and of its possible synergistic role in obesity-induced spatial memory defects in rodents,01/08/2019,01/08/2019,"G. Barrientos / M. Estrada, A. Penna, P. Llanos, M. Hidalgo, J. Valdés",Instituto de Ciencias Biomédicas,FONDECYT,Regular
21,1201238,Defective intracellular calcium/redox signaling underlies hippocampal neuroinflammation in Alzheimer´s disease,01/08/2019,01/08/2019,"A. Paula Lima / M. Hidalgo, P. Llanos",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
22,1201385,Molecular determinants involved in musculoskeletal impairment after botulinum toxin type A intervention in the masticatory system,01/03/2020,01/03/2024,"S. Buvinic / K. Kupczik, M. Toro, P. Llanos",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
23,1191464,Androgen Signaling Regulates the Expression and Metabolic Roles of Sex Hormone Binding Globulin in Cardiac Cells: In vitro and In vivo Studies,01/09/2018,01/09/2018,"M. Estrada / G. Barrientos, P. Llanos, S. Bustamante",Instituto de Ciencias Biomédicas,FONDECYT,Regular
24,1190406,The NLRP3 Inflammasome in skeletal muscle: a novel link between cholesterol accumulation and the defective insulin-mediated glucose transport in insulin resistance,01/04/2019,01/04/2023,"P. Llanos / S. Buvinic, G. Tapia, G. Barrientos, G. Jorquera, M. Estrada",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
25,1191870,Molecular determinants involved in musculoskeletal impairment after botulinum toxin type A intervention in the masticatory system,01/08/2018,01/08/2018,"S. Buvinic / P. Llanos, K. Kupczik, M. Toro",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
26,1191313,"PPAR alpha as a central player in the prevention of hepatic steatosis, inflammation and oxidative stress in mice fed a high-fat diet and tocopherols: changes in NF-kB, Nrf-2 and SREBP1c",01/08/2018,01/08/2018,"G. Tapia / N. Juretic, P. Llanos",Instituto de Ciencias Biomédicas,FONDECYT,Regular
27,1191950,"In skeletal muscle the membrane cholesterol level of plasma membrane and sarcoplasmic reticulum control the calcium signaling/cycling through the modulation of Ryanodine Receptor activity. Role in health, metabolic syndrome and in statin treatment",01/08/2018,01/08/2018,"G. Barrientos / P. Llanos, M. Estrada, M. Hidalgo, R. Bull",Instituto de Ciencias Biomédicas,FONDECYT,Regular
28,1181389,"Membrane cholesterol is a key modulator of calcium homeostasis/signaling and metabolism in skeletal muscle, and plays central roles in normal conditions, metabolic syndrome and statin-induced muscle dysfunction",01/07/2017,01/07/2017,"G. Barrientos / P. Llanos, M. Hidalgo, R. Bull",Instituto de Ciencias Biomédicas,FONDECYT,Regular
29,EQM180131,Microscopía confocal para el fortalecimiento de la investigación básico-clínica de la Facultad de Odontología de la Universidad de Chile,01/07/2018,01/07/2018,"M. Budini / A. Molina, A. Criollo, J. Suazo, V. Torres, P. Llanos, A. Escobar, E. Hernández, S. Buvinic, A. Paula Lima",Dirección de Instituto Ciencias Odontológicas,FONDEQUIP,Concurso de Equipamiento Científico
30,1181760,"The fibroblast growth factor 21 myokine: A new modulator of in situ exercise-dependent energy metabolism adaptations, operative in obese and type 2 diabetic patients",01/08/2017,01/08/2017,P. Llanos,Otras Instituciones,FONDECYT,Regular
31,1180844,"Role of vegetal oil¿s alpha and gamma tocopherols in the prevention of metabolic syndrome in mice fed a high fat diet: effects on PPAR-alpha, NF-kappaB, NRF-2, SREBP-1c levels, expression of cytoprotective genes and NLRP3 inflammasome",01/07/2017,01/07/2017,G. Tapia / P. Llanos,Instituto de Ciencias Biomédicas,FONDECYT,Regular
32,1180483,Effect of L-arginine on the regulation of Neuregulin-1/ErbB pathway in skeletal muscle cells: contribution of ADAM17 to utrophin expression in a model of Duchenne muscular dystrophy,01/07/2017,01/07/2017,"N. Juretic / M. Manterola, P. Llanos",Instituto de Ciencias Biomédicas,FONDECYT,Regular
33,1171396,Membrane cholesterol content is a key modulator of normal calcium signaling in striated muscle; its increase in metabolic syndrome contributes to muscle dysfunction,01/09/2016,01/09/2016,"G. Barrientos / M. Hidalgo, R. Bull, P. Llanos, M. Estrada",Instituto de Ciencias Biomédicas,FONDECYT,Regular
34,REDES170032,Organ crosstalk in obesity-induced insulin resistance,01/12/2017,01/12/2019,"M. Chiong / M. Cifuentes, P. Llanos",Departamento de Bioquímica y Biología Molecular,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
35,1171330,Effect of L-arginine on the regulation of Neuregulin-1/ErbB pathway in skeletal muscle cells: contribution of ADAM17 to utrophin expression in a model of Duchenne muscular dystrophy,01/09/2016,01/09/2016,N. Juretic / P. Llanos,Instituto de Ciencias Biomédicas,FONDECYT,Regular
36,REDI170281,Red internacional para el estudio del transporte de glucosa y la exitabilidad celular del músculo esquelético en obesidad,01/11/2017,01/11/2019,P. Llanos / G. Barrientos,Dirección de Instituto Ciencias Odontológicas,Cooperación Internacional: Multilateral y vinculación,Apoyo A La Formación De Redes Internacionales_Inicial
37,1161620,Cholesterol modulates skeletal muscle excitation contraction coupling and intracellular calcium cycling. Possible role in obesity and statin treatment induced muscle damage,01/06/2015,01/06/2015,"G. Barrientos / P. Llanos, M. Hidalgo, R. Bull",Instituto de Ciencias Biomédicas,FONDECYT,Regular
38,11150243,Cholesterol accumulation in the membrane and altered GLUT4-mediated transport: a novel role for the ABCA1 transporter in skeletal muscle from insulin resistant mice,01/11/2015,01/11/2018,P. Llanos,Dirección de Instituto Ciencias Odontológicas,FONDECYT,Iniciación en Investigación
39,1151353,Unveiling molecular basis for muscle remodeling and muscle-bone crosstalk at the masticatory apparatus: extracellular ATP as a signaling molecule,01/03/2015,01/03/2019,"S. Buvinic / G. Flores, P. Llanos, M. Casas, R. Vernal",Departamento de Ciencias Físicas y Químicas,FONDECYT,Regular
40,11140652,Cholesterol accumulation in the membrane and altered GLUT4-mediated transport: a novel role for the ABCA1 transporter in skeletal muscle from insulin resistance mice,01/12/2014,01/12/2014,P. Llanos,Departamento de Ciencias Físicas y Químicas,FONDECYT,Iniciación en Investigación
41,ID14I10259,Desarrollo de una terapia basada en una droga que reduce la resistencia a la insulina en el músculo esquelético,01/06/2014,01/06/2014,P. Llanos,Dirección de Instituto Ciencias Odontológicas,FONDEF,IDEA Bietapa
42,1130217,Assessment of peripheral glucose utilization as a determinant factor of glucose-stimulated insulin secretion in humans,01/03/2013,01/03/2017,"P. Llanos, M. Casas","PUC. Depto. de Nutrición, Diabetes y Metabolismo",FONDECYT,Regular
43,11130392,Membrane cholesterol modulates GLUT4 traffic and glucose uptake: a possible insulin resistance treatment?,01/10/2013,01/10/2013,P. Llanos,Dirección Escuela de Pregrado,FONDECYT,Iniciación en Investigación
44,3110105,Papel del colesterol del túbulo transversal en la señalización y el transporte de glucosa inducido por insulina en músculo esquelético adulto: implicancia en la insulino-resistencia inducida por dieta y envejecimiento,01/10/2010,01/09/2013,P. Llanos / E. Jaimovich,Instituto de Ciencias Biomédicas,FONDECYT,Postdoctorado
45,3100084,Papel del colesterol del túbulo transversal en la señalización por calcio y el transporte de glucosa en el músculo esquéletico.,01/03/2010,01/03/2010,P. Llanos / M. Hidalgo,Instituto de Ciencias Biomédicas,FONDECYT,Postdoctorado
46,SA09I10030,Caracterización de la función in vivo de islotes de páncreas purificados con un método de shock osmótico diferencial,01/12/2009,01/12/2009,"P. Caviedes, P. Andrades, P. Llanos",Departamento de Cirugía,CONICYT/MINSAL,FONIS-Proyectos I&D
