,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Rojas-Alcayaga, G; Herrera, A; Espinoza, I; Rios-Erazo, M; Aguilar, J; Leiva, L; Shakhtur, N; Wurmann, P; Geenen, R",Illness Experience and Quality of Life in Sjogren Syndrome Patients,2022,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijerph191710969,10.3390/ijerph191710969
1,"Ríos-Erazo, Matías; Santibañez, Braulio; Treek, Paula van; Herrera-Ronda, Andrea; Rojas-Alcayaga, Gonzalo
",Respuesta Carta editor trabajo ?Observaciones a la evaluación de propiedades psicométricas de validez y confiablidad de la Dental Anxiety Scale en adultos chilenos?.,2021,INTERNATIONAL JOURNAL OF INTERDISCIPLINARY DENTISTRY,SCIELO-Chile/UCH/VID,,
2,"Ríos-Erazo, Matías; Herrera-Ronda, Andrea; Farías, Camila; Valdés, Valeska; Aguilar, Jacqueline; Treek, Paula van; Rojas-Alcayaga, Gonzalo",Validez y confiabilidad del cuestionario de ansiedad y miedo dental IDAF -4C+ en adultos mayores,2021,INTERNATIONAL JOURNAL OF INTERDISCIPLINARY DENTISTRY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S2452-55882021000100022,10.4067/S2452-55882021000100022
3,"Herrera, A; Sanchez, G; Espinoza, I; Wurmann, P; Bustos, C; Leiva, L; Geenen, R; Rojas-Alcayaga, G",Illness Experiences of Chilean Women With Sjogren's Syndrome: The Patient's Perspective,2021,ARTHRITIS CARE & RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/acr.24256,10.1002/acr.24256
4,"Ríos-Erazo, Matías; Santibañez, Braulio; Treek, Paula van; Herrera-Ronda, Andrea; Rojas-Alcayaga, Gonzalo","Validez de contenido, de constructo y confiabilidad del Dental Anxiety Scale en adultos chilenos.",2020,INTERNATIONAL JOURNAL OF INTERDISCIPLINARY DENTISTRY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S2452-55882020000100009,10.4067/S2452-55882020000100009
5,"Ríos Erazo, M; Palma Loayza, L; Herrera Ronda, A; Farías Salinas, C; Morales Gutiérrez, N; Martínez Manzano, C; Lanyon Rioseco, E; Rojas Alcayaga, G",Validez y confiabilidad del cuestionario de ansiedad y miedo dental IDAF- 4C+ en embarazadas chilenas,2018,AVANCES EN ODONTOESTOMATOLOGIA,SCOPUS/SCIELO-otros paises /UCH/VID,,
6,"Bersezio, C; Martin, J; Herrera, A; Loguercio, A; Fernandez, E","The effects of at-home whitening on patients' oral health, psychology, and aesthetic perception",2018,BMC ORAL HEALTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12903-018-0668-2,10.1186/s12903-018-0668-2
7,"Rojas-Alcayaga, G; Herrera, A; Wurmann, P; Shakthur, N; Geenen, R; Leiva, L",ILLNESS EXPERIENCES OF WOMEN WITH ORAL DRYNESS AS A RESULT OF SJOGREN SYNDROME,2018,INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,ISI/UCH/VID,,
8,"Ronda, AH; Palma, L; Rios, M; Lanyon, E; Morales, N; Farias, C; Martinez, C","CONSTRUCT VALIDITY, CONTENT VALIDITY AND RELIABILITY OF THE SPANISH VERSION OF THE INDEX OF DENTAL ANXIETY AND FEAR (IDAF-4C+) IN CHILEAN PREGNANT WOMEN",2018,INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,ISI/UCH/VID,,
9,"Herrera, Andrea; Correa, Andrea; Ríos-Erazo, Matías; Bustos, Claudia; Maturana-Ramírez, Andrea; Barahona, Pilar; Ugarte, Pablo; Rojas, Gonzalo",Evaluación clínica objetiva estructurada sobre competencias comunicativas y psicosociales en odontología,2018,Fem: Revista de la Fundacion Educacion Medica,SCIELO-otros paises /UCH/VID,,
10,"Rojas-Alcayaga, Gonzalo A.; Alfaro, Karen; Ríos-Erazo, Matías; Herrera, Andrea C.; Barahona, Pilar",Music Distraction Effectiveness in Dental Anxiety and Treatment Adherence in 6-Year-Old Children: A Randomized Clinical Trial,2018,INTERNATIONAL JOURNAL OF ODONTOSTOMATOLOGY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-381X2018000100035,10.4067/S0718-381X2018000100035
11,"Ríos-Erazo, Matías; Herrera-Ronda, Andrea; Barahona-Salazar, Pilar; Molina-Muñoz, Yerko; Cadenasso-Salinas, Patricia; Zambrano-Canelo, Verónica; Rojas-Alcayaga, Gonzalo",Ansiedad Dental en Adultos Chilenos que Concurren a un Servicio de Salud Primaria,2016,INTERNATIONAL JOURNAL OF ODONTOSTOMATOLOGY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-381X2016000200012 ,10.4067/S0718-381X2016000200012 
12,"Herrera, A; Puebla, O; Correa, M; Perez, F; Rios, M; Fernandez, E",IMPACT OF PERSONALITY ON SELF-PERCEPTION OF ORAL-WELL-BEING IN BLEACHING PATIENTS,2016,INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,ISI/UCH/VID,,
13,"Rojas-Alcayaga, G; Ronda, AH; Santander, IE; Reydet, CB; Erazo, MR; Wurmann, P; Sabugo, F; Geenen, R",Illness Experiences in Women with Oral Dryness as a Result of Sjogren's Syndrome: The Patient Point of View,2016,MUSCULOSKELETAL CARE,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1002/msc.1134,10.1002/msc.1134
14,"Herrera, A; Martin, J; Perez, F; Bonafe, E; Reis, A; Dourado, AL; Fernandez, E",Is personality relevant in the choice of bleaching?,2016,CLINICAL ORAL INVESTIGATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00784-015-1701-3,10.1007/s00784-015-1701-3
15,"Correa Ramírez, A.; Ríos Erazo, M.; Herrera Ronda, A.; Bustos Reydet, C.; Rojas Alcayaga, G.","Autoeficacia en salud oral: concepto, evaluación y tratamiento",2015,AVANCES EN ODONTOESTOMATOLOGIA,SCOPUS/SCIELO-otros paises /UCH/VID,,
16,"Rojas-Alcayaga, G; Uribe, L; Barahona, P; Lipari, A; Molina, Y; Herrera, A; Rios, M","Dental experience, anxiety, and oral health in low-income chilean children",2015,JOURNAL OF DENTISTRY FOR CHILDREN,SCOPUS/ESCI/UCH/VID,,
17,"Martin, J; Vildosola, P; Bersezio, C; Herrera, A; Bortolatto, J; Saad, JRC; Oliveira, OB; Fernandez, E","Effectiveness of 6% hydrogen peroxide concentration for tooth bleaching-A double-blind, randomized clinical trial",2015,JOURNAL OF DENTISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jdent.2015.05.011,10.1016/j.jdent.2015.05.011
18,"Herrera, A;Rios, M;Manriquez, JM;Rojas, G",Breaking bad news in clinical practice,2014,REVISTA MEDICA DE CHILE,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872014001000011,10.4067/S0034-98872014001000011
19,Ríos Erazo Matías; Herrera Ronda Andrea; Rojas Alcayaga Gonzalo,Ansiedad dental: evaluación y tratamiento,2014,AVANCES EN ODONTOESTOMATOLOGIA,SCIELO-otros paises /SCOPUS/UCH/VID,http://dx.doi.org/10.4321/s0213-12852014000100005,10.4321/s0213-12852014000100005
20,"Herrera, AC; Repetto, PB",Parental practices and pedestrian risk behaviors in Chilean adolescents,2014,REVISTA MEDICA DE CHILE,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872014000800004,10.4067/S0034-98872014000800004
21,"Herrera, A;Espinoza, P;Rios, M;Barahona, P;Molina, Y;Cadenasso, P;Zambrano, V;Rojas, G",Dental anxiety as a predictor of child's behavior in the dental chair,2013,PSYCHOLOGY & HEALTH,ISI/UCH/VID,,
22,"Arias-Calderon, M; Casas, M; Balanta-Melo, J; Morales-Jimenez, C; Hernandez, N; Llanos, P; Jaimovich, E; Buvinic, S",Fibroblast growth factor 21 is expressed and secreted from skeletal muscle following electrical stimulation via extracellular ATP activation of the PI3K/Akt/mTOR signaling pathway,2023,FRONTIERS IN ENDOCRINOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fendo.2023.1059020,10.3389/fendo.2023.1059020
23,"Llanos, P; Palomero, J",Reactive Oxygen and Nitrogen Species (RONS) and Cytokines-Myokines Involved in Glucose Uptake and Insulin Resistance in Skeletal Muscle,2022,CELLS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/cells11244008,10.3390/cells11244008
24,"Russell, J; Americo-Da-Silva, L; Cadagan, C; Hidalgo, C; Llanos, P",Insulin resistance promotes the ROS-dependent interaction between NLRP3 and TXNIP in skeletal muscle fibers.,2022,ACTA PHYSIOLOGICA,ISI/UCH/VID,http://dx.doi.org/10.1111/apha.13876,10.1111/apha.13876
25,"Americo-Da-Silva, L; Aguilera, J; Quinteros-Waltemath, O; Sanchez-Aguilera, P; Russell, J; Cadagan, C; Meneses-Valdes, R; Sanchez, G; Estrada, M; Jorquera, G; Barrientos, G; Llanos, P",Activation of the NLRP3 Inflammasome Increases the IL-1 beta Level and Decreases GLUT4 Translocation in Skeletal Muscle during Insulin Resistance,2021,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms221910212,10.3390/ijms221910212
26,"Basualto-Alarcon, C; Llanos, P; Garcia-Rivas, G; Troncoso, MF; Lagos, D; Barrientos, G; Estrada, M",Classic and Novel Sex Hormone Binding Globulin Effects on the Cardiovascular System in Men,2021,INTERNATIONAL JOURNAL OF ENDOCRINOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1155/2021/5527973,10.1155/2021/5527973
27,"Torres, MJ; Lopez-Moncada, F; Herrera, D; Indo, S; Lefian, A; Llanos, P; Tapia, J; Castellon, EA; Contreras, HR",Endothelin-1 induces changes in the expression levels of steroidogenic enzymes and increases androgen receptor and testosterone production in the PC3 prostate cancer cell line,2021,ONCOLOGY REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3892/or.2021.8122,10.3892/or.2021.8122
28,"Jorquera, G; Meneses-Valdes, R; Rosales-Soto, G; Valladares-Ide, D; Campos, C; Silva-Monasterio, M; Llanos, P; Cruz, G; Jaimovich, E; Casas, M",High extracellular ATP levels released through pannexin-1 channels mediate inflammation and insulin resistance in skeletal muscle fibres of diet-induced obese mice,2021,DIABETOLOGIA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00125-021-05418-2,10.1007/s00125-021-05418-2
29,"Jorquera, G; Meneses-Valdes, R; Rosales-Soto, G; Valladares-Ide, D; Campos, C; Silva-Monasterio, M; Llanos, P; Cruz, G; Jaimovich, E; Casas, M","High extracellular ATP levels released through pannexin-1 channels mediate inflammation and insulin resistance in skeletal muscle fibres of diet-induced obese mice (March, 10.1007/s00125-021-05418-2, 2021)",2021,DIABETOLOGIA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00125-021-05451-1,10.1007/s00125-021-05451-1
30,"Jorquera, G; Russell, J; Monsalves-Alvarez, M; Cruz, G; Valladares-Ide, D; Basualto-Alarcon, C; Barrientos, G; Estrada, M; Llanos, P",NLRP3 Inflammasome: Potential Role in Obesity Related Low-Grade Inflammation and Insulin Resistance in Skeletal Muscle,2021,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms22063254,10.3390/ijms22063254
31,"Troncoso, MF; Pavez, M; Wilson, C; Lagos, D; Duran, J; Ramos, S; Barrientos, G; Silva, P; Llanos, P; Basualto-Alarcon, C; Westenbrink, BD; Lavandero, S; Estrada, M",Testosterone activates glucose metabolism through AMPK and androgen signaling in cardiomyocyte hypertrophy,2021,BIOLOGICAL RESEARCH,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.1186/s40659-021-00328-4,10.1186/s40659-021-00328-4
32,"Cruz G., Fernandois D., Jorquera G., Llanos P., Maliqueo M., Palma X.",Perinatal nutrition and metabolic disease,2020,Molecular Nutrition: Mother and Infant,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/B978-0-12-813862-5.00009-8,10.1016/B978-0-12-813862-5.00009-8
33,"Urzua, PL; Murillo, ON; Castro-Sepulveda, M; Torres-Quintana, MA; Caldera, AL; Quest, AFG; Robles, CE; Vidal, PL; Wehinger, S",Loss of Caveolin-1 Is Associated with a Decrease in Beta Cell Death in Mice on a High Fat Diet,2020,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms21155225,10.3390/ijms21155225
34,"Barrientos, G; Llanos, P; Basualto-Alarcon, C; Estrada, M",Androgen-Regulated Cardiac Metabolism in Aging Men,2020,FRONTIERS IN ENDOCRINOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fendo.2020.00316,10.3389/fendo.2020.00316
35,"Rosales-Soto G., Díaz-Vegas A., Llanos P., Casas M., Jaimovich E., Contreras-Ferrat A.",Fibroblast growth factor 21 promotes glucose uptake by a glut4-dependent and akt-independent mechanism in isolated fibers of skeletal muscle,2019,REVISTA CUBANA DE INVESTIGACIONES BIOMEDICAS,SCOPUS/UCH/VID,,
36,"Jorquera, G; Meneses-Valdes, R; Rosales-Soto, G; Campos, C; Llanos, P; Casas, M; Jaimovich, E",Cellmembrane pannexin channels are releasing high levels of ATP to extracellular medium triggering inflammation and insulin resistance in skeletal muscle from obese mice,2019,DIABETOLOGIA,ISI/UCH/VID,http://dx.doi.org/10.1007/s00125-019-4946-6,10.1007/s00125-019-4946-6
37,"Fernandez-Puente, E; Llanos, P; Palomero, J",Biosensor HyPer2 to monitor intracellular hydrogen peroxide induced by insulin and interleukin 1 beta stimulation in isolated skeletal muscle fibres,2019,FREE RADICAL BIOLOGY AND MEDICINE,ISI/UCH/VID,,
38,"Cerda-Kohler, H; Henriquez-Olguin, C; Casas, M; Jensen, TE; Llanos, P; Jaimovich, E","Lactate administration activates the ERK1/2, mTORC1, and AMPK pathways differentially according to skeletal muscle type in mouse",2018,PHYSIOLOGICAL REPORTS,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.14814/phy2.13800,10.14814/phy2.13800
39,"Sanchez-Aguilera, P; Diaz-Vegas, A; Campo, C; Quinteros-Waltemath, O; Cerda-Kohler, H; Barrientos, G; Contreras-Ferrat, A; Llanos, P","Role of ABCA1 on membrane cholesterol content, insulin-dependent Akt phosphorylation and glucose uptake in adult skeletal muscle fibers from mice",2018,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.bbalip.2018.09.005,10.1016/j.bbalip.2018.09.005
40,"Diaz-Vegas, AR; Cordova, A; Valladares, D; Llanos, P; Hidalgo, C; Gherardi, G; De Stefani, D; Mammucari, C; Rizzuto, R; Contreras-Ferrat, A; Jaimovich, E",Mitochondrial Calcium Increase Induced by RyR1 and IP3R Channel Activation After Membrane Depolarization Regulates Skeletal Muscle Metabolism,2018,FRONTIERS IN PHYSIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fphys.2018.00791,10.3389/fphys.2018.00791
41,"Sanchez, G; Araneda, F; Pena, JP; Finkelstein, JP; Riquelme, JA; Montecinos, L; Barrientos, G; Llanos, P; Pedrozo, Z; Said, M; Bull, R; Donoso, P",High-Fat-Diet-Induced Obesity Produces Spontaneous Ventricular Arrhythmias and Increases the Activity of Ryanodine Receptors in Mice,2018,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.3390/ijms19020533,10.3390/ijms19020533
42,"Hernandez-Ochoa, EO; Llanos, P; Lanner, JT",The Underlying Mechanisms of Diabetic Myopathy,2017,JOURNAL OF DIABETES RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1155/2017/7485738,10.1155/2017/7485738
43,"Mizgier, ML; Cataldo, LR; Gutierrez, J; Santos, JL; Casas, M; Llanos, P; Contreras-Ferrat, AE; Moro, C; Bouzakri, K; Galgani, JE",Effect of Human Myotubes-Derived Media on Glucose-Stimulated Insulin Secretion,2017,JOURNAL OF DIABETES RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1155/2017/1328573,10.1155/2017/1328573
44,"Cataldo, LR; Mizgier, ML; Sagua, RB; Jana, F; Cardenas, C; Llanos, P; Busso, D; Olmos, P; Galgani, JAE; Santos, JAL; Cortes, VA",Prolonged Activation of the Htr2b Serotonin Receptor Impairs Glucose Stimulated Insulin Secretion and Mitochondrial Function in MIN6 Cells,2017,PLOS ONE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1371/journal.pone.0170213,10.1371/journal.pone.0170213
45,"Barrientos, G; Sanchez-Aguilera, P; Jaimovich, E; Hidalgo, C; Llanos, P",Membrane Cholesterol in Skeletal Muscle: A Novel Player in Excitation-Contraction Coupling and Insulin Resistance,2017,JOURNAL OF DIABETES RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1155/2017/3941898,10.1155/2017/3941898
46,"Llanos, P; Sanchez, P; Cerda-Kohler, H; Arias-Calderon, M; Diaz-Vegas, A; Campos, C; Contreras-Ferrat, A; Hidalgo, C; Jaimovich, E",ATP-BINDING CASSETTE TRANSPORTER ABCA1 IS DECREASED IN SKELETAL MUSCLE FROM INSULIN RESISTANT MICE,2016,FASEB JOURNAL,ISI/UCH/VID,,
47,"Contreras-Ferrat, AE; Diaz-Vegas, A; Campos, C; Utreras, Y; Valladares, D; Rosales, G; Llanos, P; Arias, M; Jaimovich, E",Insulin-dependent glucose uptake is regulated by mitochondrial Ca2+ handling in skeletal muscle fibers,2016,FASEB JOURNAL,ISI/UCH/VID,,
48,"Contreras-Ferrat, AE; Diaz-Vegas, A; Campos, C; Utreras, Y; Valladares, D; Rosales, G; Llanos, P; Arias, M; Jaimovich, E",Insulin-dependent glucose uptake is regulated by mitochondrial Ca2+ handling in skeletal muscle fibers,2016,FASEB JOURNAL,ISI/UCH/VID,,
49,"Diaz-Vegas, A; Cordova, A; Utreras, Y; Rosales, G; Llanos, P; Hidalgo, C; Arias, M; Jaimovich, E; Contreras-Ferrat, AE",EXCITATION-METABOLISM COUPLING: ROLE OF MEMBRANE DEPOLARIZATION ON THE MITOCHONDRIAL FUNCTION,2016,FASEB JOURNAL,ISI/UCH/VID,,
50,"Diaz-Vegas, A; Cordova, A; Utreras, Y; Rosales, G; Llanos, P; Hidalgo, C; Arias, M; Jaimovich, E; Contreras-Ferrat, AE",EXCITATION-METABOLISM COUPLING: ROLE OF MEMBRANE DEPOLARIZATION ON THE MITOCHONDRIAL FUNCTION,2016,FASEB JOURNAL,ISI/UCH/VID,,
