,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,SA20I0171,Pulpotomía parcial como alternativa a la endodoncia convencional en pacientes entre 18 y 30 años con pulpitis irreversible sintomática:Una opción conservadora para disminuir la necesidad endodóntica en los servicios de atención primaria de salud en Chile,01/04/2020,01/04/2020,"M. Alcota / P. Ledezma, M. Mercado, F. González",Departamento de Odontología Conservadora,CONICYT/MINSAL,FONIS-Proyectos I&D
1,SA09I10064,Desarrollo e implementación de un protocolo para el dignóstico de caries dentinaria profunda en primeros molares permanentes en niños de 6 a 11 años: habilitación de odontólogos de atención primaria,01/12/2009,01/12/2009,M. Alcota / C. Garrido,Departamento de Odontología Conservadora,CONICYT/MINSAL,FONIS-Proyectos I&D
2,1230835,National Oral Health Survey 2023-2027: Assessment of Oral Health and Development of a National Oral Health Surveillance System,01/08/2022,01/08/2022,"J. Gamonal / G. Jara, I. Cavalla, G. Rodríguez, M. Fresno, I. Espinoza, A. Morales, M. Baeza, R. Cabello",Periodoncia,FONDECYT,Regular
3,1220184,National Oral Health Survey 2022-2026: Assessment of Oral Health and Development of a National Oral Health Surveillance System,01/08/2021,01/08/2021,"J. Gamonal / I. Espinoza, M. Fresno, R. Cabello, G. Jara, M. Baeza, A. Morales, G. Rodríguez, I. Cavalla",Departamento de Odontología Conservadora,FONDECYT,Regular
4,SA21I0149,"Encuesta Nacional de la expresión y cuidados odontológicos de caries dental y percepción de acceso a programas odontológicos de niños y niñas de 2, 4 y 6 años que asisten a establecimientos educacionales de Chile",01/05/2021,01/05/2021,"R. Cabello / R. Contador, A. Correa, G. Rodríguez",Departamento de Odontología Restauradora,CONICYT/MINSAL,FONIS-Proyectos I&D
5,1210950,"National Survey of Oral Health 2021-2025: Assessing the Current Oral Health Status, Future Needs for Oral Health Care and Its Oral Health Surveillance System",01/08/2020,01/08/2020,"J. Gamonal / G. Rodríguez, M. Baeza, I. Cavalla, R. Cabello, A. Morales, I. Espinoza, G. Jara, M. Fresno",Departamento de Odontología Conservadora,FONDECYT,Regular
6,SA20I0029,Efecto del uso tópico de BlueRemin en la incidencia de lesiones de caries en escolares adolescentes: Ensayo clínico controlado randomizado,01/04/2020,01/04/2020,"M. Díaz / G. Jara, G. Rodríguez, R. Cabello",Dirección de Instituto Ciencias Odontológicas,CONICYT/MINSAL,FONIS-Proyectos I&D
7,1200832,National Survey of Oral Health 2020-2024: Assessing the current oral health status and its future needs for oral health care,01/08/2019,01/08/2019,"J. Gamonal / F. Werlinger, A. Morales, I. Espinoza, R. Cabello, G. Rodríguez",Departamento de Odontología Conservadora,FONDECYT,Regular
8,SA20I0141,Salud bucal en niños y adolescentes escolares de 6 y 12 años de edad del país,01/04/2020,01/04/2020,"R. Cabello / G. Rodríguez, P. Carvajal, R. Contador",Departamento de Odontología Restauradora,CONICYT/MINSAL,FONIS-Proyectos I&D
9,SA20I0179,"Evaluación de la implementación del Programa Control con Enfoque de Riesgo Odontológico (cero) y de los resultados en salud oral de los niño/as beneficiarios del programa, 2021-2022",01/04/2020,01/04/2020,"L. Coronado / R. Cabello, M. Fuentes, V. Fajreldin, L. Moraga, G. Rodríguez",Dirección de Instituto Ciencias Odontológicas,CONICYT/MINSAL,FONIS-Proyectos I&D
10,SA20I0030,Intervención socioeducativa familiar domiciliaria para la reducción de la incidencia de lesiones de caries y malnutrición por exceso en lactantes que se atienden en la atención primaria de salud de comunas rurales: Ensayo clínico controlado randomizado,01/04/2020,01/04/2020,"G. Rodríguez / A. Herrera, G. Ríos, R. Cabello",Departamento de Odontología Restauradora,CONICYT/MINSAL,FONIS-Proyectos I&D
11,SA19I0065,"Evaluación de proceso y de resultados en salud oral en niño/as beneficiarios del programa de Población Bajo Control con Enfoque de Riesgo Odontológico, 2020-2021",01/03/2019,01/03/2019,"L. Coronado / L. Moraga, R. Cabello, V. Fajreldin, G. Rodríguez",Dirección de Instituto Ciencias Odontológicas,CONICYT/MINSAL,FONIS-Proyectos I&D
12,SA19I0061,Efecto del uso tópico de BlueRemin® en la incidencia de lesiones de caries en escolares: Ensayo clínico controlado randomizado,01/03/2019,01/03/2019,"M. Díaz / R. Cabello, R. Contador, G. Rodríguez, H. Palza, G. Jara",Dirección de Instituto Ciencias Odontológicas,CONICYT/MINSAL,FONIS-Proyectos I&D
13,SA19I0147,Salud bucal en niños y adolescentes escolares de 6 y 12 años de edad del país,01/03/2019,01/03/2019,"R. Cabello / P. Carvajal, B. Ruiz, R. Contador, G. Rodríguez, M. Díaz, I. Espinoza, I. Urzúa",Departamento de Odontología Restauradora,CONICYT/MINSAL,FONIS-Proyectos I&D
14,SA18I0009,Tratamiento ultraconservador de lesiones de caries en molares primarios: Ensayo clínico controlado randomizado,01/04/2018,01/04/2018,"G. Rodríguez / B. Ruiz, R. Cabello, R. Contador",Departamento de Odontología Restauradora,CONICYT/MINSAL,FONIS-Proyectos I&D
15,1181131,Understanding mechanisms of action of probiotics in controlling dental caries,01/07/2017,01/07/2017,"G. Rodríguez / M. Díaz, R. Cabello, A. Escobar, P. Palma",Departamento de Odontología Restauradora,FONDECYT,Regular
16,SA18I0010,Efecto del uso topico de BlueRemin® en la incidencia de lesiones de caries en escolares: Ensayo clínico controlado randomizado,01/04/2018,01/04/2018,"M. Díaz / R. Cabello, H. Palza, R. Contador, G. Rodríguez",Dirección de Instituto Ciencias Odontológicas,CONICYT/MINSAL,FONIS-Proyectos I&D
17,SA18I0017,Variables asociadas al estado de salud bucal de la población escolar rural de 12 años de Chile,01/04/2018,01/04/2018,"R. Contador / B. Ruiz, M. Díaz, R. Cabello, G. Rodríguez",Departamento de Odontología Restauradora,CONICYT/MINSAL,FONIS-Proyectos I&D
