,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Alcota, M; Salinas, JC; Cornejo-Ovalle, M; de Gauna, PR; Gonzalez, FE",Factors influencing professionalism during dental training at the University of Chile: perception of students and patients,2023,BMC MEDICAL EDUCATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12909-023-04329-7,10.1186/s12909-023-04329-7
1,"Torres, Alfredo; Vivanco, Sheilah; Lavin, Francisca; Pereda, Cristian; Chernobrovkin, Alexey; Gleisner, Alejandra; Alcota, Marcela; Larrondo, Milton; Lopez, Mercedes N.; Salazar-Onfray, Flavio; Zubarev, Roman A.; Gonzalez, Fermin E.",Haptoglobin Induces a Specific Proteomic Profile and a Mature-Associated Phenotype on Primary Human Monocyte-Derived Dendritic Cells,2022,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms23136882,10.3390/ijms23136882
2,"Alcota, M; Osorio, J; Diaz, C; Ortega-Pinto, A; Penafiel, C; Rivera, JC; Salazar, D; Manriquez, G; Gonzalez, FE",Effect of the Passive Ultrasonic Irrigation and the Apical Diameter Size on the Debridement Efficacy of Infected Root Canals: A Multivariate Statistical Assessment of Histological Data,2021,APPLIED SCIENCES-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/app11167495,10.3390/app11167495
3,"Alcota, M; Manriquez, JM; Cornejo-Ovalle, M; Salinas, JC; Catano, VM; de Gauna, PR; Gonzalez, FE",Values related to professionalism in dental education at the University of Chile: Student and faculty perceptions,2019,EUROPEAN JOURNAL OF DENTAL EDUCATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/eje.12419,10.1111/eje.12419
4,"Michea, María A.; Briceño, Constanza; Alcota, Marcela; González, Fermín E",Péptidos antimicrobianos y mediadores lipídicos: rol en las enfermedades periodontales,2016,"REVISTA CLINICA DE PERIODONCIA, IMPLANTOLOGIA Y REHABILITACION ORAL",SCIELO-Chile/UCH/VID,http://dx.doi.org/10.1016/j.piro.2016.03.003,10.1016/j.piro.2016.03.003
5,"Alcota, Marcela; Ruiz De Gauna, Pilar; González, Fermín E.",PROFESSIONALISM IN DENTAL EDUCATION,2016,REVISTA FACULTAD DE ODONTOLOGIA UNIVERSIDAD DE ANTIOQUIA,SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.17533/udea.rfo.v28n1a9,10.17533/udea.rfo.v28n1a9
6,"Alcota, Marcela; Ruiz de Gauna, Pilar; González, Fermín E",La Carrera de Odontología en el Contexto Actual de la Educación Superior Chilena,2016,INTERNATIONAL JOURNAL OF ODONTOSTOMATOLOGY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-381X2016000100014,10.4067/S0718-381X2016000100014
7,"Alcota, M; Fuenzalida, A; Barrientos, C; Garrido, M; de Gauna, PR; Gonzalez, FE","An ""XL"" Endodontics Intervention for Dental Students Required to Repeat the Course: Changing Frustration to Improved Grades and Attitudes",2015,JOURNAL OF DENTAL EDUCATION,ISI/SCOPUS/UCH/VID,,
8,Salazar Linfati Daniela; González Bergas Fermín; Guzmán Zuluaga Carmen; Alcota Rojas Marcela,Grado de transportación del canal radicular de tres sistemas de instrumentación rotatoria: estudio a través de tomografía computarizada cone beam,2013,REVISTA FACULTAD DE ODONTOLOGIA UNIVERSIDAD DE ANTIOQUIA,SCIELO-otros paises /UCH/VID,,
9,Alcota M;de Gauna PR;Gonzalez FE,Development of ethical practices and social responsibility in dental education at the university of Chile: student and faculty perceptions,2013,EUROPEAN JOURNAL OF DENTAL EDUCATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/j.1600-0579.2012.00767.x,10.1111/j.1600-0579.2012.00767.x
