,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Lee Muñoz, Ximena; Gómez Carranza, María; Vergara Núñez, Cristian; Astorga Bustamante, Elizabeth",Ocurrencia de levaduras del género Candida y estomatitis protésica antes y después del tratamiento rehabilitador basado en prótesis removible,2015,"REVISTA CLINICA DE PERIODONCIA, IMPLANTOLOGIA Y REHABILITACION ORAL",SCIELO-Chile/UCH/VID,http://dx.doi.org/10.1016/j.piro.2015.02.005,10.1016/j.piro.2015.02.005
1,"Munoz, XL;Nunez, CV;Bustamante, EA;Altermatt, CH",Students commitment to bioethics during the process of clinical training in Dentistry,2013,ACTA BIOETHICA,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S1726-569X2013000200016,10.4067/S1726-569X2013000200016
2,"Lee Muñoz, Ximena; Gómez Carranza, Leyla; Vergara Núñez, Cristian; Astorga Bustamante, Elizabeth; Cajas Cajas, Nataly; Ivankovic Silva, Mariana",Asociación entre Presencia de Levaduras del Género Candida y Factores del Paciente Adulto Mayor con y sin Estomatitis Protésica,2013,INTERNATIONAL JOURNAL OF ODONTOSTOMATOLOGY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-381X2013000200018,10.4067/S0718-381X2013000200018
3,"Astorga E, Lee X, Vergara C","Reporte clínico: Registro piezográfico de la zona neutra, en un paciente con espasmos musculares involuntarios",2013,"REVISTA CLINICA DE PERIODONCIA, IMPLANTOLOGIA Y REHABILITACION ORAL",SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0719-01072013000300007,10.4067/S0719-01072013000300007
4,"Dreyer, Erik; Barahona, Pilar; Chávez, Bastián","Estudiantes Pragmáticos, Teóricos y Educación Superior Mediante Metodologías Activas",2021,INTERNATIONAL JOURNAL OF ODONTOSTOMATOLOGY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-381X2021000100152,10.4067/S0718-381X2021000100152
5,"Herrera, Andrea; Correa, Andrea; Ríos-Erazo, Matías; Bustos, Claudia; Maturana-Ramírez, Andrea; Barahona, Pilar; Ugarte, Pablo; Rojas, Gonzalo",Evaluación clínica objetiva estructurada sobre competencias comunicativas y psicosociales en odontología,2018,Fem: Revista de la Fundacion Educacion Medica,SCIELO-otros paises /UCH/VID,,
6,"Rojas-Alcayaga, Gonzalo A.; Alfaro, Karen; Ríos-Erazo, Matías; Herrera, Andrea C.; Barahona, Pilar",Music Distraction Effectiveness in Dental Anxiety and Treatment Adherence in 6-Year-Old Children: A Randomized Clinical Trial,2018,INTERNATIONAL JOURNAL OF ODONTOSTOMATOLOGY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-381X2018000100035,10.4067/S0718-381X2018000100035
7,"Ríos-Erazo, Matías; Herrera-Ronda, Andrea; Barahona-Salazar, Pilar; Molina-Muñoz, Yerko; Cadenasso-Salinas, Patricia; Zambrano-Canelo, Verónica; Rojas-Alcayaga, Gonzalo",Ansiedad Dental en Adultos Chilenos que Concurren a un Servicio de Salud Primaria,2016,INTERNATIONAL JOURNAL OF ODONTOSTOMATOLOGY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-381X2016000200012 ,10.4067/S0718-381X2016000200012 
8,"Rojas-Alcayaga, G; Uribe, L; Barahona, P; Lipari, A; Molina, Y; Herrera, A; Rios, M","Dental experience, anxiety, and oral health in low-income chilean children",2015,JOURNAL OF DENTISTRY FOR CHILDREN,SCOPUS/ESCI/UCH/VID,,
9,"Herrera, A;Espinoza, P;Rios, M;Barahona, P;Molina, Y;Cadenasso, P;Zambrano, V;Rojas, G",Dental anxiety as a predictor of child's behavior in the dental chair,2013,PSYCHOLOGY & HEALTH,ISI/UCH/VID,,
10,Misrachi C; Rios M; Morales I; Urzu J.P; Barahona P.,Calidad de vida y condición de salud oral en embarazadas Chilenas e inmigrantes Peruanas,2009,REVISTA PERUANA DE MEDICINA EXPERIMENTAL Y SALUD PUBLICA,SCOPUS/SCIELO-otros paises /UCH/VID,,
11,"Meza, MB; Espinoza, I; Carvajal, P; Cuevas, R",Changes in oral health inequalities in adults in Chile,2022,COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/cdoe.12701,10.1111/cdoe.12701
12,"Danke, Karen; Carvajal, Claudia; Borgeat, Marjorie; Carvajal, Paola",Tendencia de niños y niñas de 6 años libres de caries en Chile entrelos años 2012 y 2019.,2022,INTERNATIONAL JOURNAL OF INTERDISCIPLINARY DENTISTRY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S2452-55882022000100033,10.4067/S2452-55882022000100033
13,"Corral-Núñez, Camila; van Treek, Paula; Morales, Alicia; Jara, Gisela; Werlinger, Fabiola; Cabello, Rodrigo; Espinoza, Iris; Giacaman, Rodrigo A.; Lee, Ximena; Carvajal, Paola; Arteaga, Oscar; Cavalla, Franco; Baeza, Mauricio; Rodríguez, Gonzalo; León, Soraya; Gambetta-Tessini, Karla; Pizarro, Vladimir; Gamonal, Jorge",Sinopsis de la Situación de Salud Oral en Chile - Parte IV: Traumatismo Dentoalveolar.,2022,INTERNATIONAL JOURNAL OF INTERDISCIPLINARY DENTISTRY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S2452-55882022000100020,10.4067/S2452-55882022000100020
14,"Castillo, F; Monasterio, G; Ibarra, JP; Guevara, J; Cafferata, EA; Vicencio, E; Cortez, C; Carvajal, P; Vernal, R",Levels of low-molecular-weight hyaluronan in periodontitis-treated patients and its immunostimulatory effects on CD4(+) T lymphocytes,2021,CLINICAL ORAL INVESTIGATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00784-021-03808-9,10.1007/s00784-021-03808-9
15,"Sierra-Cristancho, A; Gonzalez-Osuna, L; Poblete, D; Cafferata, EA; Carvajal, P; Lozano, CP; Vernal, R",Micro-tomographic characterization of the root and canal system morphology of mandibular first premolars in a Chilean population,2021,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-020-80046-1,10.1038/s41598-020-80046-1
16,"Cafferata, EA; Monasterio, G; Castillo, F; Carvajal, P; Flores, G; Diaz, W; Fuentes, AD; Vernal, R","Overexpression of MMPs, cytokines, and RANKL/OPG in temporomandibular joint osteoarthritis and their association with joint pain, mouth opening, and bone degeneration: A preliminary report",2021,ORAL DISEASES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/odi.13623,10.1111/odi.13623
17,"Cafferata, EA; Castro-Saavedra, S; Fuentes-Barros, G; Melgar-Rodriguez, S; Rivera, F; Carvajal, P; Hernandez, M; Cortes, BI; Cortez, C; Cassels, BK; Vernal, R",Boldine inhibits the alveolar bone resorption during ligature-induced periodontitis by modulating the Th17/Treg imbalance,2021,JOURNAL OF PERIODONTOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/JPER.20-0055,10.1002/JPER.20-0055
18,"Morales, A; Contador, R; Bravo, J; Carvajal, P; Silva, N; Strauss, FJ; Gamonal, J",Clinical effects of probiotic or azithromycin as an adjunct to scaling and root planning in the treatment of stage III periodontitis: a pilot randomized controlled clinical trial,2021,BMC ORAL HEALTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12903-020-01276-3,10.1186/s12903-020-01276-3
19,"Morales, Alicia; Hussein, Nayib; Polanco, Jose; Jara, Gisela; Werlinger, Fabiola; Cabello, Rodrigo; Espinoza, Iris; Giacaman, Rodrigo; Lee, Ximena; Carvajal, Paola; Arteaga, Oscar; Cavalla, Franco; Corral, Camila; Baeza, Mauricio; Rodríguez, Gonzalo; León, Soraya; Gambetta, Karla; Gamonal, Jorge",Sinopsis de la Situación de Salud Oral en Chile - Parte III: Encuestas Nacionales de Salud.,2020,INTERNATIONAL JOURNAL OF INTERDISCIPLINARY DENTISTRY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S2452-55882020000300140,10.4067/S2452-55882020000300140
20,"Morales, Alicia; Jara, Gisela; Werlinger, Fabiola; Cabello, Rodrigo; Espinoza, Iris; Giacaman, Rodrigo; Lee, Ximena; Carvajal, Paola; Arteaga, Oscar; Cavalla, Franco; Corral, Camila; Baeza, Mauricio; Rodríguez, Gonzalo; León, Soraya; Gambetta, Karla; Gamonal, Jorge",Sinopsis de la Situación de Salud Oral en Chile - Parte II: Diagnósticos Poblacionales de Salud Oral.,2020,INTERNATIONAL JOURNAL OF INTERDISCIPLINARY DENTISTRY,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S2452-55882020000200088,10.4067/S2452-55882020000200088
21,"Romito, Giuseppe Alexandre; Feres, Magda; Gamonal, Jorge; Gomez, Mariel; Carvajal, Paola; Pannuti, Claudio; Duque Duque, Andrés; Romanelli, Hugo; Rösing, Cassiano Kuchenbecker; Aranguiz Freyhofer, Vicente; Cavagni, Juliano; Fischer, Ricardo Guimarães; Figueiredo, Luciene; Carrer, Fernanda Campos de Almeida; Malheiros, Zilson; Stewart, Bernal; Sanz, Mariano; Ryan, Maria",Periodontal disease and its impact on general health in Latin America: LAOHA Consensus Meeting Report,2020,BRAZILIAN ORAL RESEARCH,SCOPUS/SCIELO-otros paises /ISI/UCH/VID,http://dx.doi.org/10.1590/1807-3107bor-2020.vol34.0027,10.1590/1807-3107bor-2020.vol34.0027
22,"Carvajal, Paola; Vernal, Rolando; Reinero, Daniela; Malheiros, Zilson; Stewart, Bernal; Pannuti, Claudio Mendes; Romito, Giuseppe Alexandre",Periodontal disease and its impact on general health in Latin America. Section II: Introduction part II,2020,BRAZILIAN ORAL RESEARCH,SCOPUS/SCIELO-otros paises /ISI/UCH/VID,http://dx.doi.org/10.1590/1807-3107bor-2020.vol34.0023,10.1590/1807-3107bor-2020.vol34.0023
23,"Cafferata, EA; Terraza-Aguirre, C; Barrera, R; Faundez, N; Gonzalez, N; Rojas, C; Melgar-Rodriguez, S; Hernandez, M; Carvajal, P; Cortez, C; Gonzalez, FE; Covarrubias, C; Vernal, R",Interleukin-35 inhibits alveolar bone resorption by modulating the Th17/Treg imbalance during periodontitis,2020,JOURNAL OF CLINICAL PERIODONTOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/jcpe.13282,10.1111/jcpe.13282
24,"Rojas L., Melgar-Rodríguez S., Díaz-Zúñiga J., Alvarez C., Monasterio G., Rojas C., Cafferata E.A., Hernández M., Cortéz C., Carvajal P., Vernal R.",Inhibitory effect of serotype a of Aggregatibacter actinomycetemcomitans on the increased destructive potential of serotype b,2020,ORAL DISEASES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/odi.13237,10.1111/odi.13237
25,"Rosing, CK; Gomes, SC; Carvajal, P; Gomez, M; Costa, R; Toledo, A; Solanes, F; Romanelli, H; Gamonal, J; Oppermann, RV",Impact of smoking on gingival inflammation in representative samples of three South American cities,2019,BRAZILIAN ORAL RESEARCH,SCOPUS/SCIELO-otros paises /ISI/UCH/VID,http://dx.doi.org/10.1590/1807-3107bor-2019.vol33.0090,10.1590/1807-3107bor-2019.vol33.0090
26,"Garrido, M; Cardenas, AM; Astorga, J; Quinlan, F; Valdes, M; Chaparro, A; Carvajal, P; Pussinen, P; Huaman-Chipana, P; Jalil, JE; Hernandez, M",Elevated Systemic Inflammatory Burden and Cardiovascular Risk in Young Adults with Endodontic Apical Lesions,2019,JOURNAL OF ENDODONTICS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.joen.2018.11.014,10.1016/j.joen.2018.11.014
27,"Jara, Gisela; Werlinger, Fabiola; Cabello, Rodrigo; Carvajal, Paola; Espinoza, Iris; Giacaman, Rodrigo; Lee, Ximena; Morales, Alicia; Arteaga, Oscar; Gamonal, Jorge",Sinopsis de la Situación de Salud Oral en Chile - Parte I: Garantías Explícitas y Guías Clínicas,2018,"REVISTA CLINICA DE PERIODONCIA, IMPLANTOLOGIA Y REHABILITACION ORAL",SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0719-01072018000300187 ,10.4067/S0719-01072018000300187 
28,"Monasterio, G; Castillo, F; Rojas, L; Cafferata, EA; Alvarez, C; Carvajal, P; Nunez, C; Flores, G; Diaz, W; Vernal, R","Th1/Th17/Th22 immune response and their association with joint pain, imagenological bone loss, RANKL expression and osteoclast activity in temporomandibular joint osteoarthritis: A preliminary report",2018,JOURNAL OF ORAL REHABILITATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/joor.12649,10.1111/joor.12649
29,"Rojas L., Melgar-Rodríguez S., Díaz-Zúñiga J., Alvarez C., Monasterio G., Rojas C., Carvajal P., Vernal R.",Serotype a of Aggregatibacter actinomycetemcomitans down-regulates the increased serotype b-induced cytokine and chemokine production in dendritic cells,2018,ARCHIVES OF ORAL BIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.archoralbio.2018.06.010,10.1016/j.archoralbio.2018.06.010
