,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,SA18I0220,"Evaluación de impacto de piloto ¿fortaleciendo sonrisas¿, de intervención temprana de caries (art) en comunidad, a párvulos de 2 a 5 años de jardines y colegios vulnerables de la rm, ssmocc, complementario al programa sembrando sonrisas, 2018-2020",01/04/2018,01/04/2018,"A. Muñoz / C. Araneda, M. Cornejo",Dirección de Instituto Ciencias Odontológicas,CONICYT/MINSAL,FONIS-Proyectos I&D
1,1240420,Physio and pathological characterization of chaperone mediated autophagy (CMA) in motor neurons axons outgrowth: contributing to motor neuron diseases like ALS,01/07/2023,01/07/2023,M. Budini,Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
2,1240225,"Breaking Fat: Mesenchymal stem cell secretome induces hepatic lipid droplets catabolism by activating the lipophagy pathways in nonalcoholic fatty liver disease, in vitro and in vivo evaluation",01/07/2023,01/07/2023,"M. Budini, M. Budini",,FONDECYT,Regular
3,1230328,Repositioning sulindac derivatives and macrolides as a VDAC and autophagy/mitophagy inhibitors as a combination treatment in multiresistant cancers,01/07/2022,01/07/2022,"J. Jara / I. Olmedo, M. Budini",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
4,1231853,Defining the contribution of new inducible Damage-Associated Molecular Patterns (iDAMPs) to the modulation of dendritic cells (DCs) maturation and function during antitumoral immunity,01/03/2023,01/03/2027,F. González / M. Budini,Departamento de Odontología Conservadora,FONDECYT,Regular
5,1230362,Physio and pathological characterization of chaperone mediated autophagy (CMA) in motor neurons axons outgrowth: contributing to motor neuron diseases like ALS,01/07/2022,01/07/2022,M. Budini,Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
6,1221912,Defining the contribution of new inducible Damage-Associated Molecular Patterns (iDAMPs) to the modulation of dendritic cells (DCs) maturation and function during antitumoral immunity,01/08/2021,01/08/2021,F. González / M. Budini,Departamento de Odontología Conservadora,FONDECYT,Regular
7,1221032,Physio and pathological characterization of chaperone mediated autophagy (CMA) in motor neurons axons: contributing to the treatment and mechanisms of Amyotrophic Lateral Sclerosis,01/09/2021,01/09/2021,M. Budini,Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
8,1210880,"Physiological and pathological characterization of Chaperone Mediated Autophagy (CMA) in motorneuron axonal development, axonal function and neurofilament proteostasis using NSC34 cell line and iPSc from Amyotrophic Lateral Sclerosis (ALS) patients",01/08/2020,01/08/2020,M. Budini / A. Criollo,Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
9,1212072,Defining the contribution of new inducible Damage-Associated Molecular Patterns (iDAMPs) to the modulation of dendritic cells (DCs) maturation and function,01/08/2020,01/08/2020,F. González / M. Budini,Departamento de Odontología Conservadora,FONDECYT,Regular
10,ENL07/20,TDP-43 aggregation affects NSC-34 axonal development by altering Chaperone Mediated Autophagy (CMA) activity and NFH protein levels,01/08/2020,01/08/2020,M. Budini,Dirección de Instituto Ciencias Odontológicas,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
11,1201202,Dissecting the role of Chaperone Mediated Autophagy (CMA) in controlling the proteostasis of neurofilament¿s subunits (NFs) and axonal performance: contributing to the knowledge of Amyotrophic Lateral Sclerosis (ALS),01/08/2019,01/08/2019,M. Budini / A. Criollo,Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
12,1201905,New inducible damage associated molecular patterns (iDAMPs) and their role in modulating dendritic cells (DC) function and anti-tumor immune response,01/08/2019,01/08/2019,"F. González / M. Budini, M. López, R. Vernal",Departamento de Odontología Conservadora,FONDECYT,Regular
13,1191957,Regulation of dendritic cells (DC) phenotype and function by inducible damage associated molecular patterns: Improving ex vivo DC manipulation for a more efficient immunotherapy,01/08/2018,01/08/2018,"F. González / M. Budini, M. López",Departamento de Odontología Conservadora,FONDECYT,Regular
14,EQM180131,Microscopía confocal para el fortalecimiento de la investigación básico-clínica de la Facultad de Odontología de la Universidad de Chile,01/07/2018,01/07/2018,"M. Budini / A. Molina, A. Criollo, J. Suazo, V. Torres, P. Llanos, A. Escobar, E. Hernández, S. Buvinic, A. Paula Lima",Dirección de Instituto Ciencias Odontológicas,FONDEQUIP,Concurso de Equipamiento Científico
15,1161123,Regulation of TDP-43 aggregatoin through Chaperone Mediated Autophagy pathway (CMA): implications in neurodegenerative diseases like ALS,01/04/2016,01/04/2020,M. Budini / A. Criollo,Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
16,1231103,GSDMD/IL1 beta signaling pathway in skeletal muscle during insulin resistance: a trigger for impaired glucose uptake and muscle mass loss,01/03/2023,01/03/2027,"P. Llanos / M. Estrada, G. Jorquera, G. Barrientos, S. Buvinic",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
17,1220665,Reducing secondary caries and increasing longevity of dental restorations by using adhesives modified with Copper/Zinc and Bioglass nanoparticles,01/08/2021,01/08/2021,"E. Fernández / R. Vernal, M. Gutiérrez, J. Estay, C. Bersezio, S. Buvinic, J. Martin, E. Hernández",Departamento de Odontología Restauradora,FONDECYT,Regular
18,1211566,"Investigating new associations between dental, medical and nutritional factors and muscle and bone quality in community-dwelling elderly, using artificial intelligence",01/08/2020,01/08/2020,"M. Toro / S. Buvinic, A. Hernández, V. Castañeda",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
19,1211670,Reducing secondary caries and increasing longevity of dental restorations by using adhesives modified with copper and zinc nanoparticles,01/08/2020,01/08/2020,"E. Fernández / R. Vernal, M. Gutiérrez, J. Estay, C. Bersezio, S. Buvinic, J. Martin, E. Hernández",Departamento de Odontología Restauradora,FONDECYT,Regular
20,1201385,Molecular determinants involved in musculoskeletal impairment after botulinum toxin type A intervention in the masticatory system,01/03/2020,01/03/2024,"S. Buvinic / K. Kupczik, M. Toro, P. Llanos",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
21,1200100,Reducing secondary caries in dental restorations by using adhesives modified with copper and zinc nanoparticles,01/08/2019,01/08/2019,"E. Fernández / E. Hernández, C. Lozano, R. Vernal, J. Martin, M. Gutiérrez, S. Buvinic, C. Bersezio",Departamento de Odontología Restauradora,FONDECYT,Regular
22,ENL29/19,Molecular determinants involved in musculoskeletal impairment after botulinum toxin type A intervention in the masticatory system,01/06/2019,01/06/2020,S. Buvinic,Dirección de Instituto Ciencias Odontológicas,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
23,1191870,Molecular determinants involved in musculoskeletal impairment after botulinum toxin type A intervention in the masticatory system,01/08/2018,01/08/2018,"S. Buvinic / P. Llanos, K. Kupczik, M. Toro",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
24,1190406,The NLRP3 Inflammasome in skeletal muscle: a novel link between cholesterol accumulation and the defective insulin-mediated glucose transport in insulin resistance,01/04/2019,01/04/2023,"P. Llanos / S. Buvinic, G. Tapia, G. Barrientos, G. Jorquera, M. Estrada",Dirección de Instituto Ciencias Odontológicas,FONDECYT,Regular
