,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Huang, YL; De Gregorio, C; Silva, V; Elorza, AA; Leniz, P; Aliaga-Tobar, V; Maracaja-Coutinho, V; Budini, M; Ezquer, F; Ezquer, M",Administration of Secretome Derived from Human Mesenchymal Stem Cells Induces Hepatoprotective Effects in Models of Idiosyncratic Drug-Induced Liver Injury Caused by Amiodarone or Tamoxifen,2023,CELLS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/cells12040636,10.3390/cells12040636
1,"Vaccaro, MI; Gonzalez, CD; De Tata, V; Quarleri, J; Budini, MF",Editorial: Selective and secretory autophagy pathways and molecules in the prevention and treatment of complex endocrine-metabolic diseases of aging,2023,FRONTIERS IN ENDOCRINOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fendo.2023.1138630,10.3389/fendo.2023.1138630
2,"Pena-Oyarzun, D; San Martin, C; Hernandez-Caceres, MP; Lavandero, S; Morselli, E; Budini, M; Burgos, PV; Criollo, A",Autophagy in aging-related oral diseases,2022,FRONTIERS IN ENDOCRINOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fendo.2022.903836,10.3389/fendo.2022.903836
3,"Avalos, Y; Hernandez-Caceres, MP; Lagos, P; Pinto-Nunez, D; Rivera, P; Burgos, P; Diaz-Castro, F; Joy-Immediato, M; Venegas-Zamora, L; Lopez-Gallardo, E; Kretschmar, C; Batista-Gonzalez, A; Cifuentes-Araneda, F; Toledo-Valenzuela, L; Rodriguez-Pena, M; Espinoza-Caicedo, J; Perez-Leighton, C; Bertocchi, C; Cerda, M; Troncoso, R; Parra, V; Budini, M; Burgos, PV; Criollo, A; Morselli, E",Palmitic acid control of ciliogenesis modulates insulin signaling in hypothalamic neurons through an autophagy-dependent mechanism,2022,CELL DEATH & DISEASE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41419-022-05109-9,10.1038/s41419-022-05109-9
4,"Espinosa, R; Gutierrez, K; Rios, J; Ormeno, F; Yanten, L; Galaz-Davison, P; Ramirez-Sarmiento, CA; Parra, V; Albornoz, A; Alfaro, IE; Burgos, PV; Morselli, E; Criollo, A; Budini, M",Palmitic and Stearic Acids Inhibit Chaperone-Mediated Autophagy (CMA) in POMC-like Neurons In Vitro,2022,CELLS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/cells11060920,10.3390/cells11060920
5,"Cid-Chevecich, C; Muller-Sepulveda, A; Jara, JA; Lopez-Munoz, R; Santander, R; Budini, M; Escobar, A; Quijada, R; Criollo, A; Diaz-Dosque, M; Molina-Berrios, A",Origanum vulgare L. essential oil inhibits virulence patterns of Candida spp. and potentiates the effects of fluconazole and nystatin in vitro,2022,BMC COMPLEMENTARY MEDICINE AND THERAPIES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12906-022-03518-z,10.1186/s12906-022-03518-z
6,"Albornoz A., Sequeida A., Rodríguez C., Budini M.",Chaperone-mediated autophagy-mechanisms and disease role,2021,Autophagy in Health and Disease,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/B978-0-12-822003-0.00004-8,10.1016/B978-0-12-822003-0.00004-8
7,"Klionsky, DJ; Abdel-Aziz, AK; Abdelfatah, S; Abdellatif, M; Abdoli, A; Abel, S; Abeliovich, H; Abildgaard, MH; Abudu, YP; Acevedo-Arozena, A; Adamopoulos, IE; Adeli, K; Adolph, TE; Adornetto, A; Aflaki, E; Agam, G; Agarwal, A; Aggarwal, BB; Agnello, M; Agostinis, P; Agrewala, JN; Agrotis, A; Aguilar, PV; Ahmad, ST; Ahmed, ZM; Ahumada-Castro, U; Aits, S; Aizawa, S; Akkoc, Y; Akoumianaki, T; Akpinar, HA; Al-Abd, AM; Al-Akra, L; Al-Gharaibeh, A; Alaoui-Jamali, MA; Alberti, S; Alcocer-Gomez, E; Alessandri, C; Ali, M; Al-Bari, MAA; Aliwaini, S; Alizadeh, J; Almacellas, E; Almasan, A; Alonso, A; Alonso, GD; Altan-Bonnet, N; Altieri, DC; Alves, S; da Costa, CA; Alzaharna, MM; Amadio, M; Amantini, C; Amaral, C; Ambrosio, S; Amer, AO; Ammanathan, V; An, ZY; Andersen, SU; Andrabi, SA; Andrade-Silva, M; Andres, AM; Angelini, S; Ann, D; Anozie, UC; Ansari, MY; Antas, P; Antebi, A; Anton, Z; Anwar, T; Apetoh, L; Apostolova, N; Araki, T; Araki, Y; Arasaki, K; Araujo, WL; Araya, J; Arden, C; Arevalo, MA; Arguelles, S; Arias, E; Arikkath, J; Arimoto, H; Ariosa, AR; Armstrong-James, D; Arnaune-Pelloquin, L; Aroca, A; Arroyo, DS; Arsov, I; Artero, R; Asaro, DML; Aschner, M; Ashrafizadeh, M; Ashur-Fabian, O; Atanasov, AG; Au, AK; Auberger, P; Auner, HW; Aurelian, L; Autelli, R; Avagliano, L; Avalos, Y; Aveic, S; Aveleira, CA; AvinWittenberg, T; Aydin, Y; Ayton, S; Ayyadevara, S; Azzopardi, M; Baba, M; Backer, JM; Backues, SK; Bae, DH; Bae, ON; Bae, SH; Baehrecke, EH; Baek, A; Baek, SH; Baek, SH; Bagetta, G; Bagniewska-Zadworna, A; Bai, H; Bai, J; Bai, XY; Bai, YD; Bairagi, N; Baksi, S; Balbi, T; Baldari, CT; Balduini, W; Ballabio, A; Ballester, M; Balazadeh, S; Balzan, R; Bandopadhyay, R; Banerjee, S; Banerjee, S; Bao, Y; Baptista, MS; Baracca, A; Barbati, C; Bargiela, A; Barila, D; Barlow, PG; Barmada, SJ; Barreiro, E; Barreto, GE; Bartek, J; Bartel, B; Bartolome, A; Barve, GR; Basagoudanavar, SH; Bassham, DC; Jr, RCB; Basu, A; Batoko, H; Batten, I; Baulieu, EE; Baumgarner, BL; Bayry, J; Beale, R; Beau, I; Beaumatin, F; Bechara, LRG; Beck, GR; Beers, MF; Begun, J; Behrends, C; Behrens, GMN; Bei, R; Bejarano, E; Bel, S; Behl, C; Belaid, A; Belgareh-Touze, N; Bellarosa, C; Belleudi, F; Perez, MB; Bello-Morales, R; Beltran, JSD; Beltran, S; Benbrook, DM; Bendorius, M; Benitez, BA; Benito-Cuesta, I; Bensalem, J; Berchtold, MW; Berezowska, S; Bergamaschi, D; Bergami, M; Bergmann, A; Berliocchi, L; Berlioz-Torrent, C; Bernard, A; Berthoux, L; Besirli, CG; Besteiro, S; Betin, VM; Beyaert, R; Bezbradica, JS; Bhaskar, K; Bhatia-Kissova, I; Bhattacharya, R; Bhattacharya, S; Bhattacharyya, S; Bhuiyan, MS; Bhutia, SK; Bi, LR; Bi, XL; Biden, TJ; Bijian, K; Billes, VA; Binart, N; Bincoletto, C; Birgisdottir, AB; Bjorkoy, G; Blanco, G; Blas-Garcia, A; Blasiak, J; Blomgran, R; Blomgren, K; Blum, JS; Boada-Romero, E; Boban, M; BoeszeBattaglia, K; Boeuf, P; Boland, B; Bomont, P; Bonaldo, P; Bonam, SR; Bonfili, L; Bonifacino, JS; Boone, BA; Bootman, MD; Bordi, M; Borner, C; Bornhauser, BC; Borthakur, G; Bosch, J; Bose, S; Botana, LM; Botas, J; Boulanger, CM; Boulton, ME; Bourdenx, M; Bourgeois, B; Bourke, NM; Bousquet, G; Boya, P; Bozhkov, PV; Bozi, LHM; Bozkurt, TO; Brackney, DE; Brandts, CH; Braun, RJ; Braus, GH; Bravo-Sagua, R; Bravo-San Pedro, JM; Brest, P; Bringer, MA; Briones-Herrera, A; Broaddus, VC; Brodersen, P; Alvarez, EMC; Brodsky, JL; Brody, SL; Bronson, PG; Bronstein, JM; Brown, CN; Brown, RE; Brum, PC; Brumell, JH; Brunetti-Pierri, N; Bruno, D; Bryson-Richardson, RJ; Bucci, C; Buchrieser, C; Bueno, M; Buitrago-Molina, LE; Buraschi, S; Buch, S; Buchan, JR; Buckingham, EM; Budak, H; Budini, M; Bultynck, G; Burada, F; Burgoyne, JR; Buron, MI; Bustos, V; Buttner, S; Butturini, E; Byrd, A; et al",Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition),2021,AUTOPHAGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/15548627.2020.1797280,10.1080/15548627.2020.1797280
8,"Rios, J; Sequeida, A; Albornoz, A; Budini, M",Chaperone Mediated Autophagy Substrates and Components in Cancer,2021,FRONTIERS IN ONCOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fonc.2020.614677,10.3389/fonc.2020.614677
9,"Ormeno, F; Hormazabal, J; Moreno, J; Riquelme, F; Rios, J; Criollo, A; Albornoz, A; Alfaro, IE; Budini, M",Chaperone Mediated Autophagy Degrades TDP-43 Protein and Is Affected by TDP-43 Aggregation,2020,FRONTIERS IN MOLECULAR NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnmol.2020.00019,10.3389/fnmol.2020.00019
