,0,dirName
2264,"Centro de Extensión Artística y Cultural ""D. S. C.""",centro_de_extensión_artística_y_cultural_d_s_c
328,Facultad de Arquitectura y Urbanismo,facultad_de_arquitectura_y_urbanismo
420,Facultad de Artes,facultad_de_artes
526,Facultad de Ciencias,facultad_de_ciencias
560,Facultad de Ciencias Agronómicas,facultad_de_ciencias_agronómicas
882,Facultad de Ciencias Forestales y de la Conservación de la Naturalez,facultad_de_ciencias_forestales_y_de_la_conservación_de_la_naturalez
788,Facultad de Ciencias Físicas y Matemáticas,facultad_de_ciencias_físicas_y_matemáticas
915,Facultad de Ciencias Químicas y Farmacéuticas,facultad_de_ciencias_químicas_y_farmacéuticas
943,Facultad de Ciencias Sociales,facultad_de_ciencias_sociales
1023,Facultad de Ciencias Veterinarias y Pecuarias,facultad_de_ciencias_veterinarias_y_pecuarias
2683,Facultad de Comunicación e Imagen,facultad_de_comunicación_e_imagen
1108,Facultad de Derecho,facultad_de_derecho
649,Facultad de Economía y Negocios,facultad_de_economía_y_negocios
1212,Facultad de Filosofía y Humanidades,facultad_de_filosofía_y_humanidades
2682,Facultad de Gobierno,facultad_de_gobierno
1261,Facultad de Medicina,facultad_de_medicina
1560,Facultad de Odontología,facultad_de_odontología
2058,Hospital Clínico,hospital_clínico
1929,Instituto de Asuntos Públicos,instituto_de_asuntos_públicos
1975,Instituto de Estudios Avanzados en Educación,instituto_de_estudios_avanzados_en_educación
1849,Instituto de Estudios Internacionales,instituto_de_estudios_internacionales
1803,"Instituto de Nutrición y Tecnología de los Alimentos, Profesor Doctor Fernando Mönckeberg Barros",instituto_de_nutrición_y_tecnología_de_los_alimentos_profesor_doctor_fernando_mönckeberg_barros
297,Vicerrectoría de Asuntos Estudiantiles y Comunitarios,vicerrectoría_de_asuntos_estudiantiles_y_comunitarios
