,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1190462,Genetic Markers for Risk of Testicular Germ Cell Tumors in Patients with Cryptorchidism,01/07/2018,01/07/2018,"F. Rodríguez / C. Acevedo, F. Cassorla, M. Ebensperger",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
1,1140434,Improving testicular cancer risk evaluation and pharmacotherapy through pharmacogenomics,01/03/2014,01/03/2018,"L. Quiñones / N. Varela, C. Acevedo, D. Cáceres",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
2,1110204,Study of genetic variants related with response to chemotherapy in patients with testicular cancer and their potential use as clinical tools,01/03/2011,01/03/2011,"L. Quiñones / M. Ahumada, D. Cáceres, C. Acevedo",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
3,1070756,Estudio sobre la expresión de proteinas de señalización apoptótica en células espermatogénicas: relación con envejecimiento y patología testicular,01/03/2007,01/03/2010,"C. Acevedo, M. Castro",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
4,1061084,"Expresión de moleculas asociadas a las vias de señalizacion de apoptosis en testiculo humano.  relación con la edad y el varicocele
",01/03/2006,01/03/2006,"C. Acevedo, M. Castro",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
5,1050516,"Detección de proteoglucanos de heparansulfato y moléculas de adhesión en biopsias y cultivos celulares primarios provenientes de cáncer prostático humano. Reversión fenotípica inducida por proteoglucano
",01/06/2005,01/06/2005,"H. Contreras / C. Acevedo, E. Castellón",Programa de Fisiología y Biofísica,FONDECYT,Regular
6,1040541,"Estudio sobre proteglucanos de heparansulfato y moléculas de adhesión involucrados en la invasión y metástasis en células de cáncer prostático humano en cultivos primarios. Reversión fenotípica inducida por proteoglucanos 
",01/03/2004,01/03/2004,"H. Contreras / C. Acevedo, E. Castellón",Programa de Fisiología y Biofísica,FONDECYT,Regular
7,FO-PRE-119,Polosimnografía computarizada y evaluación de un tratamiento cronobiológico de la depresión mayor,01/12/2004,01/12/2004,"E. Vivaldi / A. Ocampo, L. Aguilera, L. Risco",Programa de Fisiología y Biofísica,CONICYT/MINSAL,FONIS-Proyectos I&D
8,SAL 02/8-2,Privación de sueño de corto plazo en humanos: aspectos psicofisiológicos de la homeostasis del sueño,01/03/2002,01/03/2002,"L. Aguilera / A. Ocampo, E. Vivaldi",Servicio de Neurología - Neurocirugía,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN SALUD
9,008-1993,"Ensayo clínico controlado de Gabapentina y ácido valproico en epilepsia parcial refractaria del adulto, con diseño a doble ciego, paralelo y aditivo",01/03/1993,01/03/1993,L. Aguilera,Decanato,FONDECYT,Regular
