,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1070948,Prevención de la fibrilación auricular post-operatoria: caracterización fisiopatológica de una intervención farmacológica basada en un nuevo modelos de pre-acondicionamiento no hipóxico,01/03/2007,01/03/2010,"M. Cereceda, A. Asenjo, J. Zamorano",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
1,FO-PRE-092,Evaluación de estrés oxidativo en pacientes con fibrilación auricular y caracterización mediante parámetros sistemáticos. Una eventual potencialidad térmica,01/12/2004,01/12/2004,"A. Asenjo / R. Morris, M. Ortiz",Centro Cardiovascular,CONICYT/MINSAL,FONIS-Proyectos I&D
2,FO-PRE-115,Investigación epidemiológica y clínica de la fibrilación auricular en Chile,01/12/2004,01/12/2004,"M. Ortiz / A. Asenjo, R. Morris",Centro Cardiovascular,CONICYT/MINSAL,FONIS-Proyectos I&D
3,SA22I0146,Disfunción endotelial como predictor de Injuria miocárdica tras cirugía no cardiaca (MINS): Una potencial herramienta predictora al alcance de todos,01/09/2022,01/09/2024,"F. Maldonado / A. Parra, D. Varela, R. González, M. Cáceres, J. Egaña, M. Llancaqueo, F. Medina, S. Bustamante",Servicio de Anestesiología,CONICYT/MINSAL,FONIS-Proyectos I&D
4,1191464,Androgen Signaling Regulates the Expression and Metabolic Roles of Sex Hormone Binding Globulin in Cardiac Cells: In vitro and In vivo Studies,01/09/2018,01/09/2018,"M. Estrada / G. Barrientos, P. Llanos, S. Bustamante",Instituto de Ciencias Biomédicas,FONDECYT,Regular
5,1190078,Effect of chronic intermittent hypobaric hypoxia in oxidative stress and inflammation,01/08/2018,01/08/2018,"C. Nazzal / D. Jiménez, E. Herrera, S. Bustamante, R. Castillo",Instituto de Salud Poblacional,FONDECYT,Regular
6,1070948,Prevención de la fibrilación auricular post-operatoria: caracterización fisiopatológica de una intervención farmacológica basada en un nuevo modelos de pre-acondicionamiento no hipóxico,01/03/2007,01/03/2010,"M. Cereceda, A. Asenjo, J. Zamorano",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
7,1960951,Estudios de mecanismos de proteccion contra la nefrotoxicidad inducida por bromoetilamina y ciclosporina,01/03/1996,01/03/1999,M. Cereceda,Escuela de Medicina,FONDECYT,Regular
8,1120594,Prevention of reperfusion damage associated with percutaneous coronary angioplasty following acute myocardial infarction,01/03/2012,01/03/2016,"G. Dussaillant, R. Castillo, A. Ramos, J. Prieto, L. León",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
9,HJJA-9,Asociación entre Hemoglobina Glicosilada A1c y Enfermedad Coronaria en adultos no diabéticos,01/12/2010,01/12/2011,"P. Gómez / G. López, G. Dussaillant",Servicio de Endocrinología,Hospital Clinico,Investigación Clínica 
10,1100332,Attenuation of heart damage  caused by acute myocardial infarction through a short-term reinforcement of the antioxidant defense system: functional and biochemical assesment,01/03/2010,01/03/2010,"J. Prieto / L. Massardo, G. Dussaillant",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
11,HJJA-5_2009,Doppler color de arterias cavernosas como factor predictor de Cardiopatía Coronaria,01/12/2009,01/12/2010,"G. Dussaillant, J. Valdevenito",Servicio de Urología,Hospital Clinico,Investigación Clínica 
12,1010982,"Angioplastia primaria y tardía en infarto reciente de miocardio: comparación del SPECT de perfusión y metabolismo para predecir viabilidad y grado de recuperación de la motilidad segmentaria en la Ecocardiografía
",01/03/2001,01/03/2001,"P. González / G. Dussaillant, L. Massardo",Servicio de Medicina Nuclear,FONDECYT,Regular
13,SA22I0146,Disfunción endotelial como predictor de Injuria miocárdica tras cirugía no cardiaca (MINS): Una potencial herramienta predictora al alcance de todos,01/09/2022,01/09/2024,"F. Maldonado / A. Parra, D. Varela, R. González, M. Cáceres, J. Egaña, M. Llancaqueo, F. Medina, S. Bustamante",Servicio de Anestesiología,CONICYT/MINSAL,FONIS-Proyectos I&D
14,SA20I0176,"Tamizaje de retinopatía diabética, y enfermedad cardiovascular mediante pupilometría: validación de una novedosa y sencilla herramienta para el manejo del paciente con diabetes mellitus tipo 2",01/04/2020,01/04/2020,"A. Gajardo / V. Ulloa, M. Moral, G. López, D. Sandoval, M. Llancaqueo",Departamento de Medicina,CONICYT/MINSAL,FONIS-Proyectos I&D
15,1180613,The role of Polycystin-1 in the development of heart failure. T-tubule system regulation and c-Myc dependent BIN1 expression,01/03/2018,01/03/2022,"Z. Pedrozo / P. Donoso, G. Sánchez, M. Llancaqueo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
16,1061070,Efectos   de las infecciones periodontales sobre los marcadores de inflamación sistémica y su asociación con polimorfismos genéticos pro-inflamatorios,01/03/2006,01/03/2009,"M. Llancaqueo, C. Valenzuela",Departamento de Odontología Conservadora,FONDECYT,Regular
17,MULT 05/33-2,Diferencias en la respuesta hipolipemiante por estatinas dependiente del polimorfismo de Hmg-coa reductasa en pacientes chilenos con cardiopatía coronaria,01/12/2005,01/12/2005,"J. Prieto / S. Lavandero, M. Llancaqueo",Programa de Farmacología Molecular y Clínica,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
18,SALUD-18,"Actividad adrenérgica, estrés oxidativo y apoptosis cardiaca en pacientes con insuficiencia mitral severa y función ventricular en rango normal bajo",01/03/2000,01/03/2000,"G. Díaz, S. Lavandero, M. Llancaqueo",Departamento de Medicina Interna Oriente,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN SALUD
19,FO-PRE-092,Evaluación de estrés oxidativo en pacientes con fibrilación auricular y caracterización mediante parámetros sistemáticos. Una eventual potencialidad térmica,01/12/2004,01/12/2004,"A. Asenjo / R. Morris, M. Ortiz",Centro Cardiovascular,CONICYT/MINSAL,FONIS-Proyectos I&D
20,FO-PRE-115,Investigación epidemiológica y clínica de la fibrilación auricular en Chile,01/12/2004,01/12/2004,"M. Ortiz / A. Asenjo, R. Morris",Centro Cardiovascular,CONICYT/MINSAL,FONIS-Proyectos I&D
21,1000883,"Efecto de la amiodarona sobre indicadores de estres oxidativo eritrocitario y su relación con la toxicidad pulmonar inducida por la droga en pacientes bajo tratamiento crónico
",01/03/2000,01/03/2000,"L. Gaete / R. Gil, R. Morris, M. Ortiz",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
22,1960702,Efecto de amiodarona sobre indicadores de estrés oxidativo eritrocitarios y su relación con la toxicidad pulmonar inducida por la droga durante tratamiento crónico,01/03/1996,01/03/1996,"M. Ortiz / L. Gaete, R. Morris",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
23,FO-PRE-115,Investigación epidemiológica y clínica de la fibrilación auricular en Chile,01/12/2004,01/12/2004,"M. Ortiz / A. Asenjo, R. Morris",Centro Cardiovascular,CONICYT/MINSAL,FONIS-Proyectos I&D
24,FO-PRE-092,Evaluación de estrés oxidativo en pacientes con fibrilación auricular y caracterización mediante parámetros sistemáticos. Una eventual potencialidad térmica,01/12/2004,01/12/2004,"A. Asenjo / R. Morris, M. Ortiz",Centro Cardiovascular,CONICYT/MINSAL,FONIS-Proyectos I&D
25,1000883,"Efecto de la amiodarona sobre indicadores de estres oxidativo eritrocitario y su relación con la toxicidad pulmonar inducida por la droga en pacientes bajo tratamiento crónico
",01/03/2000,01/03/2000,"L. Gaete / R. Gil, R. Morris, M. Ortiz",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
26,SALUD-20,Amiodarona y estrés oxidativo en el hombre. Un estudio prospectivo durante administración oral e intravenosa,01/03/2000,01/03/2002,M. Ortiz / L. Gaete,Centro Cardiovascular,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN SALUD
27,1960702,Efecto de amiodarona sobre indicadores de estrés oxidativo eritrocitarios y su relación con la toxicidad pulmonar inducida por la droga durante tratamiento crónico,01/03/1996,01/03/1996,"M. Ortiz / L. Gaete, R. Morris",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
28,2721996,Impacto de 3 dosis diferentes de estreptoquinasa sobre índices clínicos de reperfusión en el infarto agudo del miocardio,01/03/1996,01/03/1996,J. Prieto / M. Ortiz,Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
29,1931032,Farmacocinética de amidarona después de dosis única. Concentraciones sanguíneas y metabolismo durante uso crónico y correlación con la actividad de superóxido dismutasa eritrocitaria,01/03/1993,01/03/1995,"L. Gaete, M. Ortiz",Departamento de Medicina Interna Norte,FONDECYT,Regular
30,1211850,Cardioprotection of patients with acute myocardial infarction undergoing percutaneous coronary angioplasty through a combined antioxidant therapy,01/03/2021,01/03/2025,"A. Gajardo, A. Ramos, R. Aguayo, J. Prieto",Instituto de Ciencias Biomédicas,FONDECYT,Regular
31,1120594,Prevention of reperfusion damage associated with percutaneous coronary angioplasty following acute myocardial infarction,01/03/2012,01/03/2016,"G. Dussaillant, R. Castillo, A. Ramos, J. Prieto, L. León",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
32,1120666,Opioid synergism in paclitaxel-induced neuropathy in mice,01/03/2012,01/03/2012,H. Miranda / J. Prieto,Instituto de Ciencias Biomédicas,FONDECYT,Regular
33,1100332,Attenuation of heart damage  caused by acute myocardial infarction through a short-term reinforcement of the antioxidant defense system: functional and biochemical assesment,01/03/2010,01/03/2010,"J. Prieto / L. Massardo, G. Dussaillant",Programa de Farmacología Molecular y Clínica,FONDECYT,Regular
34,SA06I10497,Diferencias genéticas en la respuesta hipolipemiante por estatinas en pacientes chilenos con cardiopatia coronaria,01/12/2006,01/12/2006,J. Prieto,Programa de Farmacología Molecular y Clínica,CONICYT/MINSAL,FONIS-Proyectos I&D
35,MULT 05/18-2,Control nervioso de la secreción de andrógenos en pacientes con síndrome de ovario poliquístico,01/12/2005,01/12/2005,"H. Lara / C. Miranda, J. Prieto, C. Romero",Departamento de Bioquímica y Biología Molecular,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
