,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Asenjo, René; Morris, Raimundo; Sanhueza, Eduardo; Ortíz, Mario; Cereceda, Mauricio",Diagnóstico diferencial de las taquicardias de complejo ancho: un desafío permanente,2020,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602020000100055,10.4067/S0718-85602020000100055
1,"Asenjo, René",Arritmia extrasistólica con QRS ancho: ¿Ventricular o conducción aberrante?,2018,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602018000300214 ,10.4067/S0718-85602018000300214 
2,"Massardo, Teresa; Pereira, Jaime; Sáez, Claudia G.; Aramburú, Ivonne; Morris, Raimundo; Aguayo, Rubén; Brugère, Solange; Pino, Angela; Hiplan, Enrique; Paillahueque, Gabriela; Alarcón, Luis; Spuler, Jane; Fernández, René; Swett, Eduardo; Sanhueza, Eduardo; Asenjo, René; Palominos, Macarena; Olivares, Nixa; Valenzuela, Guillermo; Torres, José; Garate, Javier; Karmelic, Christian",Efecto de la terapia de resincronización ventricular en los parámetros de disfunción endotelial y función sistólica izquierda en pacientes con insuficiencia cardíaca crónica y bloqueo completo de rama izquierda,2018,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602018000300183 ,10.4067/S0718-85602018000300183 
3,"Massardo, T; Pereira, J; Saez, CG; Aramburu, I; Morris, R; Brugere, S; Pino, A; Swett, E; Hiplan, E; Aguayo, R; Aguayo, R; Paillahueque, G; Alarcon, L; Torres, J; Spuler, J; Fernandez, R; Sanhueza, E; Palominos, M; Olivares, N; Valenzuela, G; Asenjo, R",Effect of resyncronization therapy on endothelial dysfunction and functional parameters in patients with chronic heart failure and left bundle branch block,2017,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,ISI/UCH/VID,,
4,"Asenjo, René",Taquicardia de complejo ancho en paciente con fibrilación auricular permanente,2017,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,,
5,Barría Alberto; Vial María Jesús; Tong Ana; Prat Hernán; Asenjo René,Validación del test de troponinas en plasma a partir de una población sana. una experiencia local,2013,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602013000100007,10.4067/S0718-85602013000100007
6,"Rodrigo, R;Korantzopoulos, P;Cereceda, M;Asenjo, R;Zamorano, J;Villalabeitia, E;Baeza, C;Aguayo, R;Castillo, R;Carrasco, R;Gormaz, JG",A Randomized Controlled Trial to Prevent Post-Operative Atrial Fibrillation by Antioxidant Reinforcement,2013,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jacc.2013.07.014,10.1016/j.jacc.2013.07.014
7,"Meyer, L; Concepcion, R; Zamorano, N; Armstrong, M; Castro, L; Mujica, M; Asenjo, R",Tachycardiomyopathy as a reversible cause of heart failure. Report of one case,2012,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872012000200013,10.4067/S0034-98872012000200013
8,"Ortiz, Mario; Ortiz, Elena; Morris, Raimundo; Asenjo, René; Cereceda, Mauricio",Hospitalizaciones asociadas al diagnóstico de fibrilación auricular en Chile: Tendencia creciente en la última década,2011,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602011000300001,10.4067/S0718-85602011000300001
9,"Castillo, R ; Rodrigo, R ; Perez, F ; Cereceda, M ; Asenjo, R ; Zamorano, J ; Navarrete, R ; Villalabeitia, E ; Sanz, J ; Baeza, C ; Aguayo, R",Antioxidant Therapy Reduces Oxidative and Inflammatory Tissue Damage in Patients Subjected to Cardiac Surgery with Extracorporeal Circulation,2011,BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/j.1742-7843.2010.00651.x,10.1111/j.1742-7843.2010.00651.x
10,"Rodrigo, R; Vinay, J; Castillo, R; Cereceda, M; Asenjo, R; Zamorano, J; Araya, J; Castillo-Koch, R; Espinoza, J; Larrain, E",Use of vitamins C and E as a prophylactic therapy to prevent postoperative atrial fibrillation,2010,INTERNATIONAL JOURNAL OF CARDIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ijcard.2009.04.043,10.1016/j.ijcard.2009.04.043
11,"Ortiz, M; Gonzalez, M; Alvarez, E; Saavedra, I; Gaete, L; Asenjo, R; Morris, R; Cereceda, M",High Single Oral Dose of Amiodarone Versus Placebo: Effects on the Rate of Postoperative Arrhythmias Following Coronary Surgery and Correlation with Blood Drug Concentrations,2010,CIRCULATION,ISI/UCH/VID,,
12,"Gonzalez, RA ; Morris, R ; Cereceda, M ; Montagna, R ; Ortiz, M ; Avalos, V ; Morales, P ; Sore, L ; Mondaca, C",Transvenous Device Infection: Clinical Experience Using a Local Gentamicin Solution,2010,CIRCULATION,ISI/UCH/VID,,
13,"Ortiz, M; Asenjo, R; Morris, R; Cereceda, M",Secular Trends of Atrial Fibrillation As A Contributing Cause of Death in Chile,2010,CIRCULATION,ISI/UCH/VID,,
14,"Guarda S, Eduardo; Prieto D, Juan Carlos; Sanhueza C, Patricio; Dauvergne M, Christian; Asenjo G, Rene; Corbalán H, Ramón",Guías 2009 de la Sociedad Chilena de Cardiología para el tratamiento del Infarto Agudo del Miocardio con supradesnivel del ST,2009,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602009000200014,10.4067/S0718-85602009000200014
15,"Castillo, Rodrigo; Rodrigo, Ramón; Pizarro, Rodrigo; Escobar, Matías; Cereceda, Mauricio; Asenjo, René; Larraín, Ernesto; Castillo-Koch, Rodrigo; Espinoza, Juan; Sánchez, Gina; Donoso, Paulina; Araya, Julia",Nueva estrategia de preacondicionamiento no hipóxico que atenúa el efecto de la Isquemia-Reperfusión en pacientes sometidos a cirugía cardíaca con circulación extracorpórea,2009,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,,
16,"Asenjo G, René",Intervalo qt prolongado: un factor de riesgo de muerte súbita frecuentemente olvidado,2009,REVISTA CHILENA DE CARDIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-85602009000300011,10.4067/S0718-85602009000300011
17," Beca, JP; Rosselot, E; Asenjo, R; Anguita, V; Quevedo, R",Deactivating Cardiac Pacemakers and Implantable Cardioverter Defibrillators in Terminally Ill Patients,2009,CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1017/S0963180109090380,10.1017/S0963180109090380
18,"Cereceda, M; Rodrigo, R; Castillo, R; Pizarro, R; Asenjo, R; Zamorano, J; Araya, J; Castillo-Koch, R; Espinoza, J; Laggazzi, L",Prevention of Postoperative Atrial Fibrillation With the Supplementation of Omega 3 PUFA Plus Antioxidant Vitamins in Patients Undergoing Cardiac Surgery With Extracorporeal Circulation,2009,CIRCULATION,ISI/UCH/VID,,
