,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1221613,Evaluation of neurovascular coupling using the multimodal fNIRS-EEG technique as an index of intraoperative cerebral hypoperfusion,01/09/2021,01/09/2021,"J. Aliste / D. Bravo, S. Layera",Servicio de Anestesiología,FONDECYT,Regular
1,SA20I0038,Optimización de un programa de prehabilitación mejora la funcionalidad postoperatoria de adultos mayores sometidos a cirugía abdominal mayor oncológica: Ensayo clínico randomizado,01/04/2020,01/04/2020,"A. Penna / V. Rojas, C. Briceño, A. Sanguineti, R. Gutiérrez, F. Salech, F. Reyes, C. Alzola, K. Papapietro",Departamento de Anestesiología y Reanimación,CONICYT/MINSAL,FONIS-Proyectos I&D
2,1221613,Evaluation of neurovascular coupling using the multimodal fNIRS-EEG technique as an index of intraoperative cerebral hypoperfusion,01/09/2021,01/09/2021,"J. Aliste / D. Bravo, S. Layera",Servicio de Anestesiología,FONDECYT,Regular
3,599/13,Niveles de 25-Hidroxi-Vitamina D en anestesiólogos del Hospital Clínico de la Universidad de Chile,01/11/2013,01/11/2014,L. Brunet,Servicio de Anestesiología,Hospital Clinico,Investigación Clínica 
4,1221354,The role of cholinergic activity in increasing the sensitivity to the effect of GABAA receptors-dependent general anesthetics in cognitive impairment and brain damage both in humans and mice,01/10/2021,01/10/2026,"A. Penna / J. Egaña, R. Gutiérrez, M. Behrens",Servicio de Anestesiología,FONDECYT,Regular
5,SA22I0146,Disfunción endotelial como predictor de Injuria miocárdica tras cirugía no cardiaca (MINS): Una potencial herramienta predictora al alcance de todos,01/09/2022,01/09/2024,"F. Maldonado / A. Parra, D. Varela, R. González, M. Cáceres, J. Egaña, M. Llancaqueo, F. Medina, S. Bustamante",Servicio de Anestesiología,CONICYT/MINSAL,FONIS-Proyectos I&D
6,1210632,Role of GABAergic general anesthetics on spatial memory impairment in humans unrelated to surgical injury,01/08/2020,01/08/2020,"A. Penna / J. Valdés, M. Behrens, J. Egaña",Departamento de Anestesiología y Reanimación,FONDECYT,Regular
7,ID21I10289,"Sistema de telerrehabilitación guiado por electrogoniometría, lúdico y de bajo costo, para la recuperación funcional posterior a una artroplastía de rodilla en personas mayores",01/09/2021,01/09/2023,"H. Manzur / F. Salech, M. Barahona, J. Egaña, C. Devia, A. Penna, C. Cruz",Centro de Diagnóstico,FONDEF,IDEA
8,IT21I0041,Software cuantifica el poder relativo de alfa para determinar elriesgo de delirium postoperatorio,01/11/2022,01/11/2024,"J. Egaña / A. Penna, F. Salech, C. Devia, R. Gutiérrez, C. Briceño, F. Maldonado, E. Álvarez",Departamento de Anestesiología y Reanimación,FONDEF,IDEA
9,ID21I10193,Desarrollo de un prototipo mínimo viable para la administración automatizada mediante lazo cerrado de propofol para la sedación profunda en pacientes en ventilación mecánica invasiva en unidades de pacientes críticos,01/09/2021,01/09/2023,"A. Penna / J. Egaña, R. Gutiérrez, V. Rojas, A. Stutzin",Departamento de Anestesiología y Reanimación,FONDEF,IDEA
10,SA20I0075,Una nueva y sencilla herramienta predictiva para mejorar el diagnóstico oportuno de los pacientes con injuria miocárdica postcirugía no cardiaca,01/04/2020,01/04/2020,"F. Maldonado / J. Egaña, A. Penna, R. Gutiérrez, R. González",Servicio de Anestesiología,CONICYT/MINSAL,FONIS-Proyectos I&D
11,1201165,Role of GABAergic general anesthetics on spatial memory impairment in humans unrelated to surgical injury,01/07/2019,01/07/2019,"A. Penna / J. Valdés, M. Behrens, J. Egaña",Departamento de Anestesiología y Reanimación,FONDECYT,Regular
12,1191678,Cognitive impairment of elderly patients is revealed in the electroencephalographic activity under general anesthesia depending on the density of GABAA receptors in the brain,01/09/2018,01/09/2018,"A. Penna / M. Behrens, J. Egaña, G. Farías",Servicio de Anestesiología,FONDECYT,Regular
