,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Aguirre M.M., Maldonado F., Fuenzalida P., González R., Moreno N., Lalanne I., Bisbal P., Cifuentes M., Gonzáles F., Phillips D., Lazo M., Escobar J., Estuardo N.",Experience of transforming a clinical surgical-anesthetic unit into a COVID-19 critical patient one in a teaching hospital,2021,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/revchilanestv5007061117,10.25237/revchilanestv5007061117
1,María Mercedes Aguirre C.,A new setting: Cardiorespiratory arrest (PCR) and cardiopulmonary resuscitation (CPR) in COVID19,2020,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/REVCHILANESTV49N03.017,10.25237/REVCHILANESTV49N03.017
2,"María Mercedes Aguirre C., Carlos Izquierdo A.",Future projection of anesthesia out of the operating room,2019,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/revchileanestv48n05.04,10.25237/revchileanestv48n05.04
3,"Aguirre, MM; Mayanz, S; Blanch, A; Aranibar, H; Salazar, A; Roizen, G; Alvarez, MG; Izquierdo, C; Penna, A",Registry of perioperative cardiac arrests in a clinical hospital in the period 2006-2017,2019,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872019000100034,10.4067/s0034-98872019000100034
4,"Aguirre, MM",Registry of Perioperative cardiac arrest in a clinical hospital in the period 2006-2017 Reply,2019,REVISTA MEDICA DE CHILE,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872019000300398,10.4067/S0034-98872019000300398
5,Nicolas Arriaza H; Maria Mercedes Aguirre C.,Monitoring the quality of cardiopulmonary resuscitation,2012,Revista Chilena de Anestesia,SCOPUS/UCH/VID,,
6,Coeditora M.M.A.C.,Cardiopulmonary resuscitation and anesthesiology,2012,Revista Chilena de Anestesia,SCOPUS/UCH/VID,,
7,Sebastian Mayanz S; Aguirre M.M.C; Montana R.A.R; Victor Illanes R; Hector Cid S; Paulina Lagos R.,The Chilean Society of Anesthesiology clinical recommendations for adult perianesthetic cardiopulmonary resuscitation in 2012,2012,Revista Chilena de Anestesia,SCOPUS/UCH/VID,,
8,Aguirre M.M.C.,Perioperative cardiopulmonary arrest,2012,Revista Chilena de Anestesia,SCOPUS/UCH/VID,,
9,Aguirre C. M.M.,"Commentaries on the Articulo ""Clinical case: Use of transesophageal echocardiography in the management of intraoperative cardiac arrest""",2009,Revista Chilena de Anestesia,SCOPUS/UCH/VID,,
10,"Hinzpeter J., Barahona M., Aliste J., Barrientos C., Zamorano A., Palet M., Catalan J., Campo M.D., Lagos N.","Gonyautoxins 2/3 Local Periarticular Injection for Pain Management after Total Knee Arthroplasty: A Double-Blind, Randomized Study",2023,JOURNAL OF KNEE SURGERY,SCOPUS/UCH/VID,http://dx.doi.org/10.1055/s-0041-1735312,10.1055/s-0041-1735312
11,"Aliste J., Rivera G., Erpel H.",Periferal nerve blocks in cessarian secction,2023,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/revchilanestv5220121530,10.25237/revchilanestv5220121530
12,"Aliste J., Bravo D.",Blocks and adjuvants: Lost in research methodology,2023,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/revchilanestv5209121057,10.25237/revchilanestv5209121057
13,"Aliste, J; Layera, S; Bravo, D; Aguilera, G; Erpel, H; Garcia, A; Lizama, M; Finlayson, RJ; Tran, DQ",Randomized comparison between perineural dexamethasone and combined perineural dexamethasone-dexmedetomidine for ultrasound-guided infraclavicular block,2022,REGIONAL ANESTHESIA AND PAIN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1136/rapm-2022-103760,10.1136/rapm-2022-103760
14,"Aliste J., Altermatt F., Atton R., Bermudez E., Bernucci M.F., Bravo D., Cabrera M.C., Elgueta M.F., Jankelevich A., Layera S., Miranda P., Pesce I.","LASRA 2022 Chile (26, 27 y 28 de mayo) Hotel W, Santiago, Chile (25 y 27 de mayo) Pontificia Universidad Catolica de Chile Optimizando Resultados",2022,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/revchilanestv5102021059,10.25237/revchilanestv5102021059
15,"Aliste, J; Layera, S; Bravo, D; Jara, A; Munoz, G; Barrientos, C; Wulf, R; Branes, J; Finlayson, RJ; Tran, DQ",Letter to the editor in response to the recent publication: randomized comparison between pericapsular nerve group (PENG) block and suprainguinal fascia iliaca block for total hip arthroplasty Reply,2022,REGIONAL ANESTHESIA AND PAIN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1136/rapm-2021-103106,10.1136/rapm-2021-103106
16,"Aliste, J; Layera, S; Bravo, D; Jara, A; Munoz, G; Barrientos, C; Wulf, R; Branes, J; Finlayson, RJ; Tran, DQ",Reply to Dr Pascarella and colleagues,2022,REGIONAL ANESTHESIA AND PAIN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1136/rapm-2021-103125,10.1136/rapm-2021-103125
17,"Aliste, J; Layera, S; Bravo, D; Jara, A; Munoz, G; Barrientos, C; Wulf, R; Branez, J; Finlayson, RJ; Tran, D",Randomized comparison between pericapsular nerve group (PENG) block and suprainguinal fascia iliaca block for total hip arthroplasty,2021,REGIONAL ANESTHESIA AND PAIN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1136/rapm-2021-102997,10.1136/rapm-2021-102997
18,Aliste J.,Still ESPEculating,2021,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/REVCHILANESTV50-04-02,10.25237/REVCHILANESTV50-04-02
19,"Aliste, J; Layera, S; Bravo, D; Akarapatima, R; Tran, DQ",Existing evidence and logical lapsus,2021,REGIONAL ANESTHESIA AND PAIN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1136/rapm-2021-102464,10.1136/rapm-2021-102464
20,"Tran, DQ; Layera, S; Bravo, D; Cristi-Sanchez, I; Bermudez, L; Aliste, J",Slam dunk or air ball?,2021,REGIONAL ANESTHESIA AND PAIN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1136/rapm-2020-101650,10.1136/rapm-2020-101650
21,"Layera S., Aliste J., Bravo D., Saadawi M., Salinas F.V., Tran D.Q.",Motor-sparing nerve blocks for total knee replacement: A scoping review,2021,JOURNAL OF CLINICAL ANESTHESIA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jclinane.2020.110076,10.1016/j.jclinane.2020.110076
22,"Saadawi M., Layera S., Aliste J., Bravo D., Leurcharusmee P., Tran D.Q.",Erector spinae plane block: A narrative review with systematic analysis of the evidence pertaining to clinical indications and alternative truncal blocks,2021,JOURNAL OF CLINICAL ANESTHESIA,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jclinane.2020.110063,10.1016/j.jclinane.2020.110063
23,"Aranda F., Aliste J., Altermatt F., Alvarez J.P., Bernucci F., Bruhn A., Cabrera M.C., Carrasco E., Castillo R., De La Fuente R., Díaz R., Egaña J.I., González R., Honorato T., Lacassie H.J., López M., Merino W., Penna A., Pizarro F., Torres D., Rocco C., Bruhn A., Acuña D., Regueira T.",Recommendations for the management of patients with COVID-19 with therapeutic indication for mechanical ventilation that are eventually connected to anesthesia machines,2020,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/REVCHILANESTV49N03.09,10.25237/REVCHILANESTV49N03.09
24,"Bravo D., Aliste J.J., Layera S., Jara A.",Lower extremity blocks,2020,Revista Chilena de Anestesia,SCOPUS/UCH/VID,http://dx.doi.org/10.25237/revchilanestv49n01.05,10.25237/revchilanestv49n01.05
