,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,F-EM-7,Laboratorio de Inmunidad Innata,01/03/2010,01/03/2011,M. Hermoso / M. Abedrapo,Instituto de Ciencias Biomédicas,Fondo Central de Investigación,Fondo Contigencia Terremoto
1,1080290,Caracterización de mecanismos posibles de procesamiento de TLR2 y su papel inmunoregulador en la enfermedad inflamatoria intestinal,01/03/2008,01/03/2012,"M. Hermoso / M. González, M. Abedrapo",Programa de Inmunología,FONDECYT,Regular
2,SA23I0059,Suplementación con vitamina D previene la disfunción cognitiva post-operatoria en personas mayores: Estudio clínico aleatorizado,01/05/2023,01/05/2023,"C. San Martín / A. Penna, M. Behrens, F. Salech, V. Rojas, D. Adjemian",Departamento de Anestesiología y Reanimación,CONICYT/MINSAL,FONIS-Proyectos I&D
3,1171910,Facial reconstruction using composite tissue allotransplantation,01/09/2016,01/09/2016,P. Andrades,Departamento de Cirugía,FONDECYT,Regular
4,SA09I10030,Caracterización de la función in vivo de islotes de páncreas purificados con un método de shock osmótico diferencial,01/12/2009,01/12/2009,"P. Caviedes, P. Andrades, P. Llanos",Departamento de Cirugía,CONICYT/MINSAL,FONIS-Proyectos I&D
5,SA09I10198,Determinación de índice tobillo brazo en pacientes diabéticos mayores de 50 años asintomáticos para enfermedad arterial periférica,01/12/2009,01/12/2009,J. Moreno / A. Campos,Departamento de Cirugía,CONICYT/MINSAL,FONIS-Proyectos I&D
6,1030999,"Analisis de polimorfismos geneticos y su susceptibilidad a cancer pulmonar: aplicaciones clinicas para prevencion, diagnostico y tratamiento
",01/03/2003,01/03/2003,R. Cardemil,Programa de Biología Celular y Molecular,FONDECYT,Regular
7,SA16I0039,Uso de células madres en reconstrucción de paladar en niños con fisura labiopalatina. Estudio clínico prospectivo aleatorizado y controlado,01/10/2016,01/10/2016,S. Danilla,Departamento de Cirugía,CONICYT/MINSAL,FONIS-Proyectos I&D
8,SA15I20299,"Los niños con fisura palatina, ¿Se benefician del uso de células madre en la reconstrucción del Hueso Alveolar? Estudio prospectivo, randomizado y aleatorio",01/06/2015,01/06/2015,S. Danilla,Departamento de Cirugía,CONICYT/MINSAL,FONIS-Proyectos I&D
9,SA15I10299,"Uso de células madres en reconstrucción de paladar en niños con fisura labiopalatina. Estudio clínico prospectivo, aleatorizado y controlado",01/06/2015,01/06/2015,S. Danilla,Departamento de Cirugía,CONICYT/MINSAL,FONIS-Proyectos I&D
10,1171386,Coupling of the sleep-wake cycle to the food entrainable oscillator in the rat assessed by a forced desynchronization protocol ,01/09/2016,01/09/2016,A. Ocampo / M. Díaz,Instituto de Ciencias Biomédicas,FONDECYT,Regular
11,1231632,Purinergic control of the pulmonary vascular tone: Towards a new therapy for PH patients,01/08/2022,01/08/2022,M. Henríquez / J. Fernández,Instituto de Ciencias Biomédicas,FONDECYT,Regular
12,1211679,Purinergic control of the pulmonary Vascular tone: Towards a new therapy for PH patients,01/08/2020,01/08/2020,M. Henríquez / J. Fernández,Instituto de Ciencias Biomédicas,FONDECYT,Regular
13,1201817,Purinergic regulation in pulmonary hypertension: Towards a new therapy for PH patients,01/08/2019,01/08/2019,M. Henríquez / J. Fernández,Instituto de Ciencias Biomédicas,FONDECYT,Regular
14,1190779,Purinergic control of the pulmonary vascular tone: towards a new therapy for ph patients,01/08/2018,01/08/2018,"M. Henríquez / J. Fernández, M. Zagolin",Instituto de Ciencias Biomédicas,FONDECYT,Regular
15,1180770,"Purinergic control of the pulmonary vascular tone: towards a new therapy for ph patients
",01/07/2017,01/07/2017,M. Henríquez / J. Fernández,Instituto de Ciencias Biomédicas,FONDECYT,Regular
16,U-REDES-G_2018-35,Red para el estudio de enfermedades cardiopulmonares de alta letalidad (REECPAL),01/10/2018,01/10/2020,"M. Henríquez / G. Ebensperger, J. Fernández, V. Parra, Z. Pedrozo, M. Zagolin, I. Olmedo",Instituto de Ciencias Biomédicas,Fondo Central de Investigación,Programa U-Redes: Línea 1 Incentivo a la Generación de Red
17,1171587,Purinergic control of the pulmonary vascular tone: towards a new therapy for PH patients,01/09/2016,01/09/2016,"M. Henríquez / J. Fernández, M. Zagolin",Instituto de Ciencias Biomédicas,FONDECYT,Regular
18,11171051,Purinergic signalling induces pulmonary metastasis in a P2Y12 and VEGF mediated pathway,01/06/2017,01/06/2017,J. Fernández,Departamento de Cirugía,FONDECYT,Iniciación en Investigación
19,1140468,Small intrapulmonary vessels in pulmonary hypertension: purinergic control of pulmonary vascular tone,01/03/2014,01/03/2017,M. Henríquez / J. Fernández,Programa de Fisiología y Biofísica,FONDECYT,Regular
20,1130282,The P2 purinergic receptors-mediated constriction of the small intrapulmonary vessels: towards to purinergic control of pulmonary vascular tone,01/03/2013,01/03/2013,M. Henríquez / J. Fernández,Programa de Fisiología y Biofísica,FONDECYT,Regular
21,11130617,"Survivin and Betcatenin roles in myeloma cells proliferation, apoptosis resistance and relationship with prognosis in human patients",01/10/2013,01/10/2013,J. Fernández,Departamento de Cirugía,FONDECYT,Iniciación en Investigación
22,UR-11-XI,Red de medicina traslacional en Cáncer (U-CANCER),01/11/2011,01/11/2012,"R. Armisen / M. Ahumada, E. Castellón, M. López, H. Contreras, F. Salazar, M. Galindo, J. Tapia, F. Alonso, I. Gallegos, J. Fernández, K. Marcelain, V. Torres, O. Barajas, A. Quest",Programa de Fisiopatología,Fondo Central de Investigación,Programa U-Redes: Línea 2 incentivo a la Consolidación de Red; Domeyko II
23,1140697,Autocrine production of both Netrin and its receptor Neogenin1 mediates tumorigenesis in Sonic Hedgehog (Shh)/Gli driven neoplasia,01/03/2014,01/03/2018,"V. Palma / P. Gac, I. Gallegos, P. Cabané",Departamento de Biología,FONDECYT,Regular
24,HJJA-3_2009,Tratamiento quirúrgico de la DM2 en pacientes con IMC <35,01/12/2009,01/12/2010,"H. Lembach, J. Molina",Departamento de Cirugía,Hospital Clinico,Investigación Clínica 
25,1171011,Volume versus function recovery after associating liver partition and portal vein ligation for staged hepatectomy,01/09/2016,01/09/2016,"M. Uribe / C. Mandiola, S. Uribe-Echevarria, S. Hott",Departamento de Cirugía Oriente,FONDECYT,Regular
26,HJJA-3_2009,Tratamiento quirúrgico de la DM2 en pacientes con IMC <35,01/12/2009,01/12/2010,"H. Lembach, J. Molina",Departamento de Cirugía,Hospital Clinico,Investigación Clínica 
27,SA09I10198,Determinación de índice tobillo brazo en pacientes diabéticos mayores de 50 años asintomáticos para enfermedad arterial periférica,01/12/2009,01/12/2009,J. Moreno / A. Campos,Departamento de Cirugía,CONICYT/MINSAL,FONIS-Proyectos I&D
28,1231428,"Unraveling the contribution of common genetic variants in risk and prognosis of gastric cancer
Area	Science",01/08/2022,01/08/2022,"P. González / M. Musleh, R. Verdugo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
29,1211864,Unraveling the contribution of common genetic variants in risk and prognosis of gastric cancer,01/08/2020,01/08/2020,"P. González / M. Musleh, R. Verdugo",Instituto de Ciencias Biomédicas,FONDECYT,Regular
30,1201350,Unraveling the contribution of common genetic variants in risk and prognosis of gastric cancer,01/08/2019,01/08/2019,"P. González / R. Verdugo, M. Musleh",Instituto de Ciencias Biomédicas,FONDECYT,Regular
31,1151015,Involvement of genetic variation of H.pylori cag Pathogenicity Island (cagPAI) and of host polymorphism in cagA-activated pathways in gastric cancer risk and prognosis,01/03/2015,01/03/2019,P. González / M. Musleh,Programa de Genética Humana,FONDECYT,Regular
32,SA20I0038,Optimización de un programa de prehabilitación mejora la funcionalidad postoperatoria de adultos mayores sometidos a cirugía abdominal mayor oncológica: Ensayo clínico randomizado,01/04/2020,01/04/2020,"A. Penna / V. Rojas, C. Briceño, A. Sanguineti, R. Gutiérrez, F. Salech, F. Reyes, C. Alzola, K. Papapietro",Departamento de Anestesiología y Reanimación,CONICYT/MINSAL,FONIS-Proyectos I&D
33,1171399,The glucocorticoid-resistance state in macrophages is a reversible condition associated with obesity of metabolic syndrome,01/09/2016,01/09/2016,"J. Guerrero / B. Espinosa, K. Papapietro",Instituto de Ciencias Biomédicas,FONDECYT,Regular
34,1080576,Estudios de los efectos del Bypass gastro yeyunal en Y de roux en Y gastrectomia vertical en manga en obesidad severa y mórbida sobre la capacidad de absorción y metabolismo de minerales: mecanismos celulares involucrados,01/03/2008,01/03/2012,"M. Ruz / F. Carrasco, K. Papapietro",Departamento de Nutrición,FONDECYT,Regular
35,MULT 05/14-2,Evaluación a largo plazo de los efectos de la cirugía bariátrica para el tratamineto de la obesidad mórbida sobre el estado nutricional y absorción de minerales,01/12/2005,01/12/2005,"F. Carrasco / K. Papapietro, F. Pizarro, M. Ruz",Departamento de Nutrición,Fondo Central de Investigación,CONCURSO MULTIDISCIPLINARIO EN TEMAS DE INTERES NACIONAL
36,1040765,"Efectos de la cirugía bariátrica en obesidad severa y morbida sobre la capacidad de absorción, metabolismo y estado nutricional de zinc y hierro",01/03/2004,01/03/2008,"M. Ruz / K. Papapietro, F. Carrasco",Departamento de Nutrición,FONDECYT,Regular
37,1030506,"Capacidad de absorción y estado nutricional de Zinc y Hierro en cirugia bariatrica en obesidad severa y morbida.
",01/03/2003,01/03/2003,"M. Ruz / F. Carrasco, F. Pizarro, K. Papapietro",Departamento de Nutrición,FONDECYT,Regular
38,SAL 02/1-2,Diagnóstico precoz de insulino-resistencia durante el embarazo como factor predictor de Pre-eclampsia,01/03/2002,01/03/2002,"E. Valdés / H. Muñoz, K. Papapietro, M. Parra",Servicio de Obstetricia,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN SALUD
39,SAL-01/04-2,"Evaluación de cambios en parámetros metabólicos, composición corporal, y psicosociales en obesos mórbidos sometidos a cirugía bariátrica",01/03/2001,01/03/2003,F. Carrasco / K. Papapietro,Departamento de Nutrición,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN SALUD
40,1241270,Germline genetic variants and circulating non-coding RNAs as biomarkers of susceptibility and progression for non-alcoholic fatty liver disease,01/08/2023,01/08/2023,"N. Varela / L. Quiñones, D. Cáceres, J. Poniachik, A. Iracheta, M. Venegas, F. Medina, M. Cattaneo",Departamento de Oncología Básico _ Clínico,FONDECYT,Regular
41,1231228,"Evaluation of genetic polymorphisms and circulating long non-coding RNAs, as biomarkers of susceptibility and progression for non-alcoholic fatty liver disease",01/08/2022,01/08/2027,"N. Varela / J. Poniachik, F. Medina, D. Cáceres, L. Quiñones",Departamento de Oncología Básico _ Clínico,FONDECYT,Regular
42,EQM200129,Detección endoscópica de lesiones del tubo digestivo en pacientes infectados por SARS-CoV-2,01/03/2021,01/03/2021,J. Poniachik,Departamento de Medicina,FONDEQUIP,Concurso de Equipamiento Científico
43,1190547,The therapeutic potential of three-dimensional multipotent mesenchymal stem cell spheroids for the treatment of acute on chronic liver failure: the shield that could protect against the inflammatory storm,01/08/2018,01/08/2018,J. Poniachik,Programa Genética Humana,FONDECYT,Regular
44,1180107,"Dietary supplementation with omega-3-PUFAs and probiotics decreases liver fat content by improving intestinal barrier function, gut dysbiosis, and low grade inflammation",01/07/2017,01/07/2017,"M. Gotteland / J. Poniachik, F. Magne, P. Navarrete",Instituto de Ciencias Biomédicas,FONDECYT,Regular
