,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Miranda-Mendoza I., Navarrete-Rey P., Moreno N., Aravena L., Díaz M., Abedrapo M.","Bowel resection for severe endometriosis, diagnosis and treatment after the introduction of Endometriosis Unit: 18 years review, Clinical Hospital of the University of Chile",2021,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.24875/RECHOG.M21000011,10.24875/RECHOG.M21000011
1,"Zambra R. M.A., Bocic A G.R., Sanguinetti M. A., Abedrapo M. M.A., Llanos B. J.L., Azolas M. R., Díaz B. M.J., Rodríguez C. T., Pruzzo G. M., Bocic W. F.",Low anterior resection syndrome and quality of life: Application of euroqol-5 questionnaire,2021,REVISTA DE CIRUGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.35687/S2452-45492021003839,10.35687/S2452-45492021003839
2,"Alvarez, K; Cassana, A; de la Fuente, M; Canales, T; Abedrapo, M; Lopez-Kostner, F","Clinical, Pathological and Molecular Characteristics of Chilean Patients with Early-, Intermediate- and Late-Onset Colorectal Cancer",2021,CELLS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/cells10030631,10.3390/cells10030631
3,"Tobar, E; Cornejo, R; Godoy, J; Abedrapo, M; Cavada, G; Tobar, D",Effects of intraoperative adrenergic administration on postoperative hyperlactatemia in open colon surgery: an observational study,2021,BRAZILIAN JOURNAL OF ANESTHESIOLOGY,SCOPUS/ISI/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1016/j.bjane.2020.09.011,10.1016/j.bjane.2020.09.011
4,"Mauricio Zambra R., Günther Bocic A., Mario Abedrapo M., Antonella Sanguinetti M., José Luis Llanos B., Rodrigo Azolas M., Mauricio Díaz B., Tomas Rodríguez C., Natalia Moreno B., Felipe Bocic W.",Epidemiologic characteristics and clinical manifestations in patients with infectious proctitis,2021,REVISTA DE CIRUGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.35687/s2452-45492021001717,10.35687/s2452-45492021001717
5,"Bocic Alvarez G.R., Zambra Rojas M.A., Abedrapo Moreira M.A., Sanguinetti Montalva A., Llanos Bravo J.L., Azolas Marcos R., Diaz Beneventi M.J., Bocic Wattier F.I., Rodriguez Castillo T., Moreno Baeza N.",Perforation and obstruction of the colon: Behavior of the Latin American colon and rectal surgeons,2021,REVISTA DE CIRUGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.35687/s2452-45492021001734,10.35687/s2452-45492021001734
6,"Rodríguez C. T., Moreno B. N., Sanguineti M. A., Carrillo G. K., Bocic A. G., Abedrapo M. M., Azolas M. R., Llanos B. J.L., Díaz B. M., Bustamante K. K.",Microbiological findings and antimicrobial susceptibility in emergency abdominal surgery,2020,REVISTA DE CIRUGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.35687/s2452-45492020003483,10.35687/s2452-45492020003483
7,"Braghetto-M., Italo; Marchant-G., Fernando; Abedrapo-M., Mario; Castillo-K., Jaime; Lanzarini-S., Enrique; Díaz-J., Juan Carlos; Azolas-F., Rodrigo; Ledezma-R., Rodrigo; Figueroa-Giralt, Manuel","Cirugía laparoscópica con imagen 3D: indicaciones, resultados y evaluación subjetiva y objetiva de cirujanos participantes",2020,REVISTA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.35687/s2452-45492020001440,10.35687/s2452-45492020001440
8,"Rodríguez C., Tomás; Moreno B., Natalia; Bocic A., Gunther; Abedrapo M., Mario; Azolas M., Rodrigo; Sanguineti M., Antonella; Llanos B., José Luis; Díaz B., Mauricio",Prevalencia y perfil epidemiológico de la constipación funcional en población adulta sana con los nuevos criterios ROMA IV,2019,REVISTA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.35687/s2452-45492019005374,10.35687/s2452-45492019005374
9,"Rodríguez C., Tomás; Moreno B., Natalia; Abedrapo M., Mario; Bocic A., Gunther; Azolas M., Rodrigo; Luis Llanos B., José; Sanguineti M., Antonella; Carrillo G., Katya",Sarcopenia como factor predictivo de dehiscencia de anastomosis en pacientes operados de cáncer de colon,2019,REVISTA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.35687/s2452-45492019006387,10.35687/s2452-45492019006387
