,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Romero C.M., Cornejo R., Tobar E., Gálvez R., Luengo C., Estuardo N., Neira R., Navarro J.L., Abarca O., Ruiz M., Berasaín M.A., Neira W., Arellano D., Llanos O.",Fiber optic bronchoscopy-assisted percutaneous tracheostomy: A decade of experience at a university hospital,2015,REVISTA BRASILEIRA DE TERAPIA INTENSIVA,SCIELO-otros paises /SCOPUS/UCH/VID,http://dx.doi.org/10.5935/0103-507X.20150022,10.5935/0103-507X.20150022
1,"Ferrer, P; Bastias, C; Beltran, C; Afani, A","Diagnosis of HIV infection using mass community rapid testing in Santiago, Chile",2022,JOURNAL OF CLINICAL VIROLOGY PLUS,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1016/j.jcvp.2022.100064,10.1016/j.jcvp.2022.100064
2,"Molina, JM; Yazdanpanah, Y; Saud, AA; Bettacchi, C; Anania, CC; Klopfer, SO; Grandhi, A; Eves, K; Hepler, D; Robertson, MN; Hwang, C; Hanna, GJ; Correll, T","Brief Report: Efficacy and Safety of Oral Islatravir Once Daily in Combination With Doravirine Through 96 Weeks for Treatment-Naive Adults With HIV-1 Infection Receiving Initial Treatment With Islatravir, Doravirine, and Lamivudine",2022,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1097/QAI.0000000000002879,10.1097/QAI.0000000000002879
3,"Cunningham, D; Molina, JM; Yazdanpanah, Y; Saud, AA; Anania, CC; Klopfer, SO; Grandhi, A; Eves, K; Hepler, D; Hwang, C; Lahoulou, R; Correll, TA",Islatravir safety analysis through week 96 from a Phase 2 trial in treatment naive adults with HIV-1 infection,2021,JOURNAL OF THE INTERNATIONAL AIDS SOCIETY,ISI/UCH/VID,,
4,"Molina, JM; Yazdanpanah, Y; Saud, AA; Bettacchi, C; Anania, CC; Klopfer, SO; Grandhi, A; Eves, K; Hepler, D; Lahoulou, R; Correll, T",Efficacy and safety of islatravir in combination with doravirine through 144 weeks for treatment-naive adults with HIV-1 infection in a phase 2b trial,2021,HIV MEDICINE,ISI/UCH/VID,,
5,"Molina, JM; Yazdanpanah, Y; Saud, AA; Bettacchi, C; Anania, CC; Dejesus, E; Klopfer, SO; Grandhi, A; Eves, K; Robertson, MN; Correll, T; Hwang, C; Hanna, GJ; Sklar, P","Islatravir in combination with doravirine for treatment-naive adults with HIV-1 infection receiving initial treatment with islatravir, doravirine, and lamivudine: a phase 2b, randomised, double-blind, dose-ranging trial",2021,LANCET HIV,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/S2352-3018(21)00021-7,10.1016/S2352-3018(21)00021-7
6,"Palma, V; Leiva, I; Duran, M; Ramos, V; Sanchez, C; Beltran, C; Afani, A; Ferrer, P",Prevalence of transmitted drug resistance in hiv-infected treatment-naive patients in Chile,2020,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872020001101550,10.4067/S0034-98872020001101550
7,"Ferrer, P; Rodriguez, C; Sciaraffia, A; Tordecilla, R; Ramos, V; Duran, M; Beltran, C; Afani, A",HIV-1 resistance patterns to integrase inhibitors in Chilean patients with virological failure on raltegravir-containing regimens,2020,JOURNAL OF VIRUS ERADICATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jve.2020.06.002,10.1016/j.jve.2020.06.002
8,"Molina, J; Yazdanpanah, Y; Saud, AA; Bettacchi, C; Anania, CC; DeJesus, E; Klopfer, S; Grandhi, A; Eves, K; Hepler, D; Robertson, M; Hwang, C; Hanna, G; Correll, T",Islatravir in combination with doravirine maintains HIV-1 viral suppression through 96 weeks,2020,JOURNAL OF THE INTERNATIONAL AIDS SOCIETY,ISI/UCH/VID,http://dx.doi.org/10.1002/jia2.25616,10.1002/jia2.25616
9,"DeJesus, E; Molina, JM; Yazdanpanah, Y; Saud, AA; Bettacchi, C; Anania, CC; Klopfer, S; Grandhi, A; Eves, K; Robertson, M; Sklar, P; Hwang, C; Hanna, G; Correll, T",Islatravir safety analysis through week 48 from a phase 2 trial in treatment naive adults with HIV-1 infection,2020,JOURNAL OF THE INTERNATIONAL AIDS SOCIETY,ISI/UCH/VID,,
