,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Miranda-Mendoza I., Navarrete-Rey P., Moreno N., Aravena L., Díaz M., Abedrapo M.","Bowel resection for severe endometriosis, diagnosis and treatment after the introduction of Endometriosis Unit: 18 years review, Clinical Hospital of the University of Chile",2021,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.24875/RECHOG.M21000011,10.24875/RECHOG.M21000011
1,"Burgos-Siegmund, N; Rey, PN; Celedon, D; Kovoor, E; Miranda-Mendoza, I",Presurgical Ultrasound Marking of a Nonpalpable Abdominal Wall Endometriotic Nodule,2021,JOURNAL OF MINIMALLY INVASIVE GYNECOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jmig.2020.06.013,10.1016/j.jmig.2020.06.013
2,"Burgos Siegmund, Nelson","Cáncer de ovario, ¿podemos clasificar las masas anexiales complejas por ecografía?",2020,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75262020000500420,10.4067/S0717-75262020000500420
3,Hasbun Hernández Jorge; Palavecino Rubilar Patricio; Segura H Patricia; Chavez Rodriguez Ignacio; Burgos Siegmund Nelson; Tobar Acevedo Hermógenes; Aliaga Quezada Adolfo,Malformación arterio-venosa uterina y hemorragia obstétrica: diagnóstico y manejo en tres casos clínicos,2014,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75262014000300009,10.4067/S0717-75262014000300009
4,"Diaz, ML; Arancibia, P; Moyano, L; Burgos, N",Breast fibromatosis. Report of one case,2009,REVISTA CHILENA DE CIRUGIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-40262009000400012,10.4067/S0718-40262009000400012
5,Burgos S Nelson; Parra A Manuel,Epilepsia y anticonceptivos,2004,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-75262004000600012,10.4067/S0717-75262004000600012
6,Pardo Gamboa Mario; Burgos Siegmund Nelson,Linfoma no hodgkin primario de la mama,2003,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-75262003000400012,10.4067/S0717-75262003000400012
7,"Alfaro, J; Von Muhlenbrock, R; Burgos, N; Valdes, E; Gana, C; Conte, G; Araos, D; Plate, L",Acute intoxication with methotrexate used as an abortive. Report of two cases,2000,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872000000300010,10.4067/S0034-98872000000300010
8,"Parra C, Mauro; Bascuñán A, Josefina; Valencia M, Camila; Rencoret P, Gustavo; Caballero T, Rafael; Quezada L, Susana",Complicaciones tardías de la terapia láser como tratamiento de la transfusión feto-fetal: caso clínico,2011,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75262011000100009,10.4067/S0717-75262011000100009
9,"Parra C, Mauro; Astudillo D, Julio; Caballero T, Rafael; Terra A, Rodrigo; Araneda A, Max; Atria A, Arturo; Rau M, Carlos; Pérez B, Sebastián",Partograma en mujeres multíparas con manejo médico del trabajo de parto,2007,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75262007000300005,10.4067/S0717-75262007000300005
