,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Aguila , A; Munoz , MA; Sepulveda , V",Implementation of diagnosis related groups methodology in a university hospital,2019,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872019001201518,10.4067/S0034-98872019001201518
1,"Aguila, A; Bertoglia, MP",Predatory magazines,2018,REVISTA MEDICA DEL URUGUAY,SCIELO-otros paises /ESCI/UCH/VID,,
2,"Domínguez P, M Constanza; Aguila R, Alfredo; Cabrera S, Natalia; Nazar S, Rodolfo; Alzérreca A, Eugenio",Estudio epidemiológico descriptivo de pacientes hospitalizados en el Servicio de ORL del Hospital Clínico de la Universidad de Chile entre los años 2007 y 2014,2016,REVISTA DE OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-48162016000300003,10.4067/S0718-48162016000300003
3,Nazer H Julio; Cifuentes O Lucía; Aguila R Alfredo,Defectos de la pared abdominal: Estudio comparativo entre onfalocele y gastrosquisis,2013,REVISTA CHILENA DE PEDIATRIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0370-41062013000400006,10.4067/S0370-41062013000400006
4,Constanza R.R; Julio N.H; Lucia C.O; Alfredo A.R; Rodrigo G.R.,Cambios en la distribución etaria de las madres en Chile y en el Hospital Clínico de la Universidad de Chile y su influencia en la morbimortalidad neonatal,2012,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75262012000300003,10.4067/S0717-75262012000300003
5,"Nazer H, Julio; Cifuentes O, Lucía; Ramírez R, Constanza; Seymour M, Camila; Aguila R, Alfredo; Ureta L, Pilar; Moya C, Loreto",Restricción del crecimiento intrauterino como factor de riesgo para malformaciones congénitas,2009,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75262009000600008,10.4067/S0717-75262009000600008
6,"Nazer, J ; Cifuentes, L ; Millan, F ; Vacarisas, A ; Sch, S ; Alfredo, R",Paternal age as a risk factor for congenital malformations,2008,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872008000200009,10.4067/S0034-98872008000200009
7,"Nazer, J ; Cifuentes, L ; Aguila, A ; Ureta, P ; Bello, MP ; Correa, F ; Melibosky, F",The association between maternal age and congenital malformations,2007,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872007001100014,10.4067/S0034-98872007001100014
8,"Nazer, J ; Cifuentes, L ; Aguila, A ; Juarez, ME ; Cid, MP ; Godoy, ML ; Garcia, K ; Melibosky, F",Effects of folic acid fortification in the rates of malformations at birth in Chile,2007,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872007000200008,10.4067/S0034-98872007000200008
9,"Nazer H, Julio; Cifuentes O, Lucía; Águila R, Alfredo; Piedad Bello P, María; Correa C, Francisca; Melibosky R, Francisco",Prevalencia de defectos de la pared abdominal al nacer: Estudio ECLAMC,2006,REVISTA CHILENA DE PEDIATRIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0370-41062006000500005,10.4067/S0370-41062006000500005
10,"Nazer, J ; Aguila, A ; Cifuentes, L",Increasing rates of Down syndrome among newborns in Chile from 1972 to 2005,2006,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872006001200009,10.4067/S0034-98872006001200009
11,"Nazer, J; Aguila, A; Cifuentes, L",The frequency of twin pregnancies increased in a Chilean hospital associated with periconceptional flour folic acid supplementation,2006,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872006000100006,10.4067/S0034-98872006000100006
12,"Aguila, A; Valenzuela, P",Experience with electronic files in a university neonatology unit,2005,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872005000200014,10.4067/S0034-98872005000200014
13,"Ordonez, MP;Nazer, J;Aguila, A;Cifuentes, L",Association between congenital malformations and chronic diseases of the mother,2003,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872003000400008,10.4067/S0034-98872003000400008
14,"Becerra, M;Cifuentes, J;Saldias, MI;Galvez, MC;Fernandez, P;Aguila, A",Continuous gastric drip versus intravenous fluids in low birthweight infants,2002,ACTA PAEDIATRICA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/080352502317371670,10.1080/080352502317371670
15,"Aguila, A; Nazer, J; Cifuentes, L; Mella, P; de la Barra, P; Gutierrez, D","Prevalence of congenital malformations at birth and associated factors in Easter Island, Chile",2000,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872000000200005,10.4067/S0034-98872000000200005
