,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Valdes, E; Sepulveda-Martinez, A; Candia, P; Abusada, N; Orellana, R; Manukian, B; Cuellar, E",Metformin as a prophylactic treatment of gestational diabetes in pregnant patients with pregestational insulin resistance: A randomized study,2018,JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/jog.13477,10.1111/jog.13477
1,"Quinteros, R ; Fica, A ; Abusada, N ; Munoz, L ; Novoa, C ; Gallardo, C",Amphotericin B deoxycholate prescription and adverse events in a Chilean university hospital,2010,REVISTA CHILENA DE INFECTOLOGIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-10182010000100004,10.4067/S0716-10182010000100004
2,"Fica, AE;Abusada, NJ",Seizures associated with ertapenem use in patients with CNS disorders and renal insufficiency,2008,SCANDINAVIAN JOURNAL OF INFECTIOUS DISEASES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/00365540802375570,10.1080/00365540802375570
3,"Drs. Claudia Astudillo A(1), Jorge Díaz J(1), Claudio Silva F-A(1), Verónica Catalán(2), Patricio Agurto U (1).",Caso radiológico,2005,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/UCH/VID,,
4,"Gompertz M., Morales C., Aldana H., Castillo J., Berger Z.",Cystic lesions in autoimmune pancreatitis,2015,Case Reports in Gastroenterology,SCOPUS/UCH/VID,http://dx.doi.org/10.1159/000441998,10.1159/000441998
5,"PAULA CSENDES G.1, ALVARO SALAS Z.1, DAVID HERQUIÑIGO R.1, ALVARO SANHUEZA S.1,HERNÁN ALDANA V.1",Semiología del intestino en Tomografía Computada: del blanco al negro,2008,REVISTA CHILENA DE CIRUGIA,SCIELO-Chile/SCOPUS/UCH/VID,,
6,Fernandez A M; Aldana V H; Larach S J; Larach K A.,Utilidad de la resonancia magnética con endocoil en la etapificacion y planeamiento del tratamiento del cancer rectal,2007,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-93082007000200003,10.4067/S0717-93082007000200003
7,"Drs. Paula Csendes G(1), Alvaro Sanhueza S(1), Hernán Aldana V(1), Claudia Hernandez M(2), Erika Morales(2).",Caracterización de apéndice normal en tomografía computada helicoidal sin contraste: resultados preliminares,2007,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,,
8,Fernandez A M; Aldana V H.,Colonoscopia virtual,2006,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,,
9,"Perez, CA;Rabanales, R;Rojas-Alcayaga, G;Larrondo, M;Escobar, AF;Lopez, MN;Salazar-Onfray, F;Alfaro, JI;Gonzalez, FE",Dendritic cell chimerism in oral mucosa of transplanted patients affected by graft-versus-host disease,2016,JOURNAL OF ORAL PATHOLOGY & MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/jop.12338,10.1111/jop.12338
10,"Catalan, D;Aravena, O;Zuniga, R;Silva, N;Escobar, A;Sabugo, F;Wurmann, P;Soto, L;Gonzalez, R;Alfaro, J;Larrondo, M;Cuchacovich, M;Aguillon, JC",Weak CD4+ T-cell responses to citrullinated vimentin in rheumatoid arthritis patients carrying HLA-DR9 alleles,2012,RHEUMATOLOGY INTERNATIONAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00296-011-2039-z,10.1007/s00296-011-2039-z
11,"Urzua, CA;Vasquez, DH;Huidobro, A;Hernandez, H;Alfaro, J",Randomized Double-Blind Clinical Trial of Autologous Serum Versus Artificial Tears in Dry Eye Syndrome,2012,CURRENT EYE RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3109/02713683.2012.674609,10.3109/02713683.2012.674609
12,"Perez, C;Rabanales, R;Larrondo, M;Alfaro, J",Frequency of minor histocompatibility antigens among Chilean blood donors,2012,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872012000500001,10.4067/S0034-98872012000500001
13,"Aravena, O; Pesce, B; Soto, L; Orrego, N; Sabugo, F; Wurmann, P; Molina, MC; Alfaro, J; Cuchacovich, M; Aguillon, JC; Catalan, D",Anti-TNF therapy in patients with rheumatoid arthritis decreases Th1 and Th17 cell populations and expands IFN-gamma-producing NK cell and regulatory T cell subsets,2011,IMMUNOBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.imbio.2011.07.006,10.1016/j.imbio.2011.07.006
14,"Escobar, A; Lopez, M; Serrano, A; Ramirez, M; Perez, C; Aguirre, A; Gonzalez, R; Alfaro, J; Larrondo, M; Fodor, M; Ferrada, C; Salazar-Onfray, F",Dendritic cell immunizations alone or combined with low doses of interleukin-2 induce specific immune responses in melanoma patients,2005,CLINICAL AND EXPERIMENTAL IMMUNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/1365-2249.2005.02938.x,10.1111/1365-2249.2005.02938.x
15,"Flores, C; Conte, G; Fardella, P; Araos, D; Alfaro, J; Aravena, P; Gonzalez, N; Larrondo, M",Autologous transplant (AT) with peripheral-blood stem-cell rescue for multiple myeloma. A clinical experience,2005,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872005000800004,10.4067/S0034-98872005000800004
16,"Olivares C., Roberto; Alfaro L., Jorge; Díaz J., M. Cristina; Thompson M., Luis M.",Fusariosis diseminada por Fusarium oxysporumen un paciente adulto con leucemia mieloide aguda y neutropenia severa febril,2005,REVISTA CHILENA DE INFECTOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0716-10182005000600009,10.4067/S0716-10182005000600009
17,"Lopez, M;Escobar, A;Alfaro, J;Fodor, M;Larrondo, M;Ferrada, C;Salazar-Onfray, F",Advances in cellular immunotherapy for malignant melanoma,2004,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872004000900014,10.4067/S0034-98872004000900014
18,"Alfaro, J; Espinoza, A; Manriquez, M; Moyano, L; Gonzalez, N; Larrondo, M; Figueroa, G",Intravascular lymphoma treated with anti CD20 monoclonal antibodies. Report of one case,2004,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872004001100010,10.4067/S0034-98872004001100010
19,"Poniachik, J;Quera, R;Saenz, R;Alfaro, J;Smok, G",Endoscopic coagulation of gastric vascular antral ectasia with argon plasma,2001,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872001000500011,10.4067/S0034-98872001000500011
20,"Alfaro, J; Von Muhlenbrock, R; Burgos, N; Valdes, E; Gana, C; Conte, G; Araos, D; Plate, L",Acute intoxication with methotrexate used as an abortive. Report of two cases,2000,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872000000300010,10.4067/S0034-98872000000300010
21,"Poblete-Moya S., Torres-Torres F., López-Pizarro A., Rivera-Carrillo M., Taub-Estrada T., Díaz-Cisternas M.L., Arancibia-Hernández P.",Imaging of breast pathology during pregnancy and lactation,2022,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.24875/RECHOG.22000069,10.24875/RECHOG.22000069
22,"Arancibia Hernández P.L., Taub Estrada T., López Pizarro A., Díaz Cisternas M.L., Sáez Tapia C.",Breast calcifications: Description and classification according to BI-RADS 5th edition,2016,REVISTA CHILENA DE RADIOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.1016/j.rchira.2016.06.004,10.1016/j.rchira.2016.06.004
23,"Ramírez Pizarro, Tamara; López Pizarro, Alejandra; Arancibia Hernández, Patricia; Sáez Tapia, Carla; Díaz Cisterna, María; Taub Estrada, Teresa; Moyano Schlegel, Leonor",Mastitis granulomatosa idiopática: 10 años de experiencia en el Centro de Imagenología del Hospital Clínico de la Universidad de Chile,2015,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75262015000200003,10.4067/S0717-75262015000200003
24,Arancibia Hernández Patricia; Taub Estrada Teresa; De Grazia Kunstmann José; Díaz Cisternas M Lorena; López Pizarro Alejandra; Sáez Tapia Carla; Cermenati Bahrs Tomás,Microcalcificaciones mamarias: revisión de los descriptores y categorías BI-RADS,2013,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-75262013000500010,10.4067/S0717-75262013000500010
25,"Diaz, ML; Arancibia, P; Moyano, L; Burgos, N",Breast fibromatosis. Report of one case,2009,REVISTA CHILENA DE CIRUGIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-40262009000400012,10.4067/S0718-40262009000400012
26,"González M, Paulina; Arancibia H, Patricia; Laupheimer G, Silvia; López P, Alejandra; Droguett I, Elisa; Miranda V, Edith; Taub E, Teresa; Diaz C, Lorena; Cañipa Z, Elizabeth; Moyano, Leonor",Biopsia estereotaxica mamaria: 2 años de experiencia,2008,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-93082008000300009,10.4067/S0717-93082008000300009
27,"González M, Paulina; Zapata M, V; Arancibia H, Patricia; Laupheimer G, Silvia; Zelaya A, Alex; Droguaett I, Eisa; Galleguillos, Cecilia; López, Aalejandra; Ortega T, Dulia; Neira V, Paulina; Taub E, Teresa",Programa de mejoramiento continuo en mamografía,2007,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,,
28,"González M, Paulina; Horvath P, Eleonora; Arancibia H, Patricia; Galleguillos P, María; Jacard C, Marcela; López P, Alejandra; Neira V, Paulina; Ortega T, Dulia; Pinochet T, Miguel; Taub E, Teresa; Uchida S, Marcela; Wenzel K, Heriberto",Resonancia magnética mamaria: indicaciones poco habituales,2005,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-93082005000400003,10.4067/S0717-93082005000400003
29,"Miranda G, Gonzalo; Díaz P, Juan Carlos; Arancibia H, Patricia; Díaz G, Carolina; Vidal F, Alvaro","Tromboembolismo pulmonar: venografia por tomografía computada versus ecografía doppler, para detección de trombosis venosa profunda de extremidades inferiores",2005,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-93082005000100003,10.4067/S0717-93082005000100003
30,"Miranda G, Gonzalo; Díaz P, Juan Carlos; Arancibia H, Patricia; Antolini T, Monica; Díaz G, Carolina; Vidal F, Alvaro",Manifestaciones radiográficas de la tuberculosis pulmonar,2004,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-93082004000400006 ,10.4067/S0717-93082004000400006 
31,"Ricci A, Paolo; Perucca P, Ernesto; Cuellar J, Eduardo; Leiva R, Juan; Blanch E, Jaime; Alvarez C, Daniella; Aceituno B, Romina; Arancibia H, Patricia; Castillo A, Jorge",Embarazo abdominal complicado del primer trimestre,2003,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0717-75262003000300008,10.4067/S0717-75262003000300008
32,"Figueroa-Giralt M., Araya F., Torrealba A., Weisz J., Lanzarini E., Musleh M., Molina J.C., Korn O., Braghetto I., Csendes A.",TOMOGRAPHIC SARCOPENIA PREDICTS ANASTOMOTIC LEAKS AND LONG-TERM SURVIVAL IN GASTRIC CANCER PATIENTS OPERATED WITH CURATIVE INTENT,2023,ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.1590/0102-672020230002e1723,10.1590/0102-672020230002e1723
33,"Toledo, PF; Cardenas, G; Berger, Z; Simian, D; Araya, F",Neostigmine® Improves Pancreatic Duct Visualization in Magnetic Resonance Cholangiopancreatography and Could Be a Cheap Alternative for Secretin,2022,TURKISH JOURNAL OF GASTROENTEROLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.5152/tjg.2022.21864,10.5152/tjg.2022.21864
34,"De Grazia Kunstmann, José; Godoy Zamorano, Marcelo; Cermenati Bahrs, Tomás; Araya Campos, Francisca; Cortés Arriagada, Claudio",Caso radiológico para diagnóstico,2012,REVISTA CHILENA DE RADIOLOGIA,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0717-93082012000300002,10.4067/S0717-93082012000300002
35,"Barberan, M; Campusano, C; Salman, P; Trejo, P; Silva-Figueroa, A; Rivera, S; Florenzano, P; Velasco, S; Illanes, F; Trincado, P; Canessa, J; Solar, A; Moreno, M; Eugenin, D; Jimenez, B; Arroyo, P",An update on parathyroid carcinoma,2021,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872021000300399,10.4067/s0034-98872021000300399
36,"Zafereo, M; McIver, B; Vargas-Salas, S; Dominguez, JM; Steward, DL; Holsinger, FC; Kandil, E; Williams, M; Cruz, F; Loyola, S; Solar, A; Roa, JC; Leon, A; Droppelman, N; Lobos, M; Arias, T; Kong, CTS; Busaidy, N; Grubbs, EG; Graham, P; Stewart, J; Tang, AL; Wang, J; Orloff, L; Henriquez, M; Lagos, M; Osorio, M; Schachter, D; Franco, C; Medina, F; Wohllk, N; Diaz, RE; Veliz, J; Horvath, E; Tala, H; Pineda, P; Arroyo, P; Vasquez, F; Traipe, E; Marin, L; Miranda, G; Bruce, E; Bracamonte, M; Mena, N; Gonzalez, HE","A Thyroid Genetic Classifier Correctly Predicts Benign Nodules with Indeterminate Cytology: Two Independent, Multicenter, Prospective Validation Trials",2020,THYROID,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1089/thy.2019.0490,10.1089/thy.2019.0490
37,"Albala, C; Lera, L; Marquez, C; Angel, B; Saguez, R; Arroyo, P",FALLS PREDICT OSTEOSARCOPENIA IN CHILEAN OLDER PEOPLE,2019,OSTEOPOROSIS INTERNATIONAL,ISI/UCH/VID,,
