,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1231595,Hacia la construcción de indicadores para la evaluación de habilidades para la docencia del siglo XXI,01/08/2022,01/08/2022,"P. Cabello / M. López, F. Saadati",Departamento de Administración y Finanzas,FONDECYT,Regular
1,11220514,Change on Teachers¿ Pedagogical Competencies and Maintaining the Change: A Study of Chilean Professional Development Programs in Mathematics,01/03/2022,01/03/2025,F. Saadati,Proyecto Investigación,FONDECYT,Iniciación en Investigación
2,1211505,Factores críticos para la integración efectiva de tecnologías digitales en la educación superior técnica en Chile,01/08/2020,01/08/2020,"P. Cabello / F. Saadati, P. Felmer",Proyecto Investigación,FONDECYT,Regular
3,ID20I10326,Una estrategia para el mejoramiento de los aprendizajes en la escuela del siglo XXI,01/04/2020,01/04/2020,"P. Felmer / F. Saadati, P. Cabello",Departamento de Ingeniería Matemática,FONDEF,IDEA
4,11200045,Generative Change on Teachers Pedagogical Competencies and Its Sustainability: A Study of Chilean Professional Development Programs in Mathematics,01/05/2020,01/05/2020,F. Saadati,Proyecto Investigación,FONDECYT,Iniciación en Investigación
5,11191110,Generative Change on Teachers¿ Pedagogical Competencies and Its Sustainability: A Study of Chilean Professional Development Programs in Mathematics,01/04/2019,01/04/2019,F. Saadati,Proyecto Investigación,FONDECYT,Iniciación en Investigación
6,3170673,"The Impact of ""Activating problem-solving in the classroom"" (ARPA), Program on students¿ problem solving skills, behavior, and attitude toward mathematics, an exploratory investigation in O¿Higgins Region, Chile",01/04/2017,01/04/2020,F. Saadati / P. Felmer,Programa de Investigación en Educación,FONDECYT,Postdoctorado
7,3240036,Estrategias formativas y factores que determinan la integración de las competencias digitales en la formación continua de los profesores del sistema escolar,01/06/2023,01/06/2023,B. Ávalos,Gabinete de Dirección,FONDECYT,Postdoctorado
8,COVID0720,"""COVID19: Nuevos contextos, nuevas demandas y experiencia docente""",01/06/2020,01/06/2021,B. Ávalos,Proyecto Investigación,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
9,AKA-EDU/ 11,Egaging learning practices in STEM: Research collaboration Whit Finland and Chile,01/12/2015,01/12/2018,B. Ávalos,Programa de Investigación en Educación,Cooperación Internacional: Proyectos bilaterales,Proyectos ERNC CONICYT/AKA-Finlandia
10,1150596,Aprendizaje profesional docente colaborativo en contextos escolares. Oportunidades y Limitaciones,01/03/2015,01/03/2017,B. Ávalos,Programa de Investigación en Educación,FONDECYT,Regular
11,3140507,La habilidad para explicar en profesores: Un estudio desde su desarrollo en la formación inicial docente hasta su efectividad en el aprendizaje escolar de ciencias y matemáticas,01/11/2013,01/11/2013,B. Ávalos,Programa de Investigación en Educación,FONDECYT,Postdoctorado
12,FB0003,Centro de Investigación Avanzada en Educación,01/04/2014,01/04/2024,"J. Valenzuela / M. Pardo, J. Sánchez, A. Mizala, C. Bellei, P. Felmer, R. Araya, C. Sotomayor, B. Ávalos, J. Soto, R. Correa, C. Coloma, A. Slachevsky, P. Dartnell, S. Martínez",Programa de Investigación en Educación,Programa Financiamiento Basal,Basal
13,1120740,El tránsito de la formación inicial al ejercicio docente: la interacción entre capacidades y contextos,01/03/2012,01/03/2015,B. Ávalos / J. Valenzuela,Programa de Investigación en Educación,FONDECYT,Regular
14,3120179,Oportunidades para el desarrollo de competencias para la Alfabetización Científica: una mirada desde la formación inicial de profesores de ciencias y su desempeño docente,01/10/2011,01/09/2014,B. Ávalos,Programa de Investigación en Educación,FONDECYT,Postdoctorado
15,3110091,Oportunidades para la alfabetización científica: una mirada desde el curriculum chileno y la formación y seguimiento de profesores de ciencia.,01/03/2011,01/03/2011,B. Ávalos,Programa de Investigación en Educación,FONDECYT,Postdoctorado
16,1090582,Análisis de la calidad de la enseñanza impartida por docentes generalistas y especialistas en 7° y 8° año básico.,01/03/2009,01/03/2009,B. Ávalos,Programa de Investigación en Educación,FONDECYT,Regular
17,INMCS-05,"La profesión docente en Chile: Políticas, Prácticas y Proyecciones",01/04/2008,01/04/2011,"B. Ávalos / C. Sotomayor, J. Valenzuela, C. Bellei",Programa de Investigación en Educación,Iniciativa científica Milenio,Nucleo Investigación Cs. Sociales
