,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Alvarado C., Saadati F., Millán E.A.",Developing student writing. The potential of a collaborative problem-solving methodology,2023,RIE-REVISTA DE INVESTIGACION EDUCATIVA,SCOPUS/UCH/VID,http://dx.doi.org/10.6018/rie.517231,10.6018/rie.517231
1,"Etchepare G.C., Sagredo A.V., Saadati F.","The Complex Interplay of Attributional Style, Self-Regulation, and Resilience in Relation to Mathematics Achievement",2023,REVISTA COMPLUTENSE DE EDUCACION,SCOPUS/UCH/VID,http://dx.doi.org/10.5209/rced.76753,10.5209/rced.76753
2,"Saadati, F; Chandia, E; Cerda, G; Felmer, P","Self-efficacy, practices, and their relationships; the impact of a professional development program for mathematics teachers",2023,JOURNAL OF MATHEMATICS TEACHER EDUCATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10857-021-09523-2,10.1007/s10857-021-09523-2
3,"Saadati, F; Celis, S",Student Motivation in Learning Mathematics in Technical and Vocational Higher Education: Development of an Instrument,2023,INTERNATIONAL JOURNAL OF EDUCATION IN MATHEMATICS SCIENCE AND TECHNOLOGY ,ESCI/SCOPUS/UCH/VID,http://dx.doi.org/10.46328/ijemst.2194,10.46328/ijemst.2194
4,"Saadati, F; Millan, EA; Fuenzalida, N","The meal is served, but who are we serving it to? Challenges in a Maths professional development program during COVID-19 and the strategies developed to address them",2022,PROFESSIONAL DEVELOPMENT IN EDUCATION,/UCH/VID,http://dx.doi.org/10.1080/19415257.2022.2125550,10.1080/19415257.2022.2125550
5,"Cabello, Patricio; Saadati, Farzaneh; Barahona, Pía; Celis, Javier; Felmer, Patricio",The role of experiences and motivation to learn during the implementation of distance learning in the covid-19 health emergency among higher vocational education institutions,2022,CALIDAD EN LA EDUCACION,SCIELO-Chile/UCH/VID,,
6,"Rezapour M., Dehzangi A., Saadati F.",Students¿ negative emotions and their rational and irrational behaviors during COVID-19 outbreak,2022,PLOS ONE,SCOPUS/UCH/VID,http://dx.doi.org/10.1371/journal.pone.0264985,10.1371/journal.pone.0264985
7,"Saadati F., Giaconi V., Chandia E., Fuenzalida N., Donoso M.R.",Beliefs and Practices About Remote Teaching Processes During the Pandemic: A Study with Chilean Mathematics Teachers,2021,EURASIA JOURNAL OF MATHEMATICS SCIENCE AND TECHNOLOGY EDUCATION,SCOPUS/UCH/VID,http://dx.doi.org/10.29333/ejmste/11201,10.29333/ejmste/11201
8,"Saadati, F; Felmer, P",Assessing impact of a Teacher professional development program on student problem-solving performance,2021,ZDM-MATHEMATICS EDUCATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11858-020-01214-1,10.1007/s11858-020-01214-1
9,"Saadati, F; Cerda, G; Giaconi, V; Reyes, C; Felmer, P",Modeling Chilean Mathematics Teachers¿ Instructional Beliefs on Problem Solving Practices,2019,INTERNATIONAL JOURNAL OF SCIENCE AND MATHEMATICS EDUCATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10763-018-9897-8,10.1007/s10763-018-9897-8
10,"Giaconi, V; Perdomo-Diaz, J; Cerda, G; Saadati, F","Teaching practices, self-efficacy and value with regard to problem solving in mathematics: Design and validation of a questionnaire",2018,ENSENANZA DE LAS CIENCIAS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5565/rev/ensciencias.2351,10.5565/rev/ensciencias.2351
11,"Dehzangi, A; Ghaffari, AR; Kakooei, S; Ghasemi, M; Saadati, F; Soleimani, H",Investigation of charged particles radiation moving in a homogeneous dispersive medium,2017,INTERNATIONAL JOURNAL OF ENGINEERING,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5829/idosi.ije.2017.30.05b.07,10.5829/idosi.ije.2017.30.05b.07
12,"Avalos-Bevan, B; Flores, MA",School-based teacher collaboration in Chile and Portugal,2022,COMPARE-A JOURNAL OF COMPARATIVE AND INTERNATIONAL EDUCATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/03057925.2020.1854085,10.1080/03057925.2020.1854085
13,"Avalos, B; Flores, MA; Araneda, S",Battling to keep education going: Chilean and Portuguese teacher experiences in COVID-19 Times,2022,TEACHERS AND TEACHING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/13540602.2021.2012758,10.1080/13540602.2021.2012758
14,"López V., Manghi D., Melo-Letelie G., Godoy-Echibur G., Otarola F., Aranda I., Araneda S., López-Conch R., Avalos B.",Heterogeneous teaching experiences during the COVID-19 pandemic: A mixed-methods intersectional analysis,2021,PSICOPERSPECTIVAS,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.5027/psicoperspectivas-vol20-issue3-fulltext-2434,10.5027/psicoperspectivas-vol20-issue3-fulltext-2434
15,"Lavonen, J; Avalos, B; Upadyaya, K; Araneda, S; Juuti, K; Cumsille, P; Inkinen, J; Salmela-Aro, K",Upper secondary students' situational interest in physics learning in Finland and Chile,2021,INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/09500693.2021.1978011,10.1080/09500693.2021.1978011
16,"Upadyaya, K; Cumsille, P; Avalos, B; Araneda, S; Lavonen, J; Salmela-Aro, K",Patterns of situational engagement and task values in science lessons,2021,JOURNAL OF EDUCATIONAL RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/00220671.2021.1955651,10.1080/00220671.2021.1955651
17,"Salmela-Aro, K; Upadyaya, K; Cumsille, P; Lavonen, J; Avalos, B; Eccles, J",Momentarytask-valuesand expectations predict engagement in science among Finnish and Chilean secondary school students,2021,INTERNATIONAL JOURNAL OF PSYCHOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/ijop.12719,10.1002/ijop.12719
18,Avalos-Bevan B.,Teacher evaluation in Chile: highlights and complexities in 13 years of experience,2018,TEACHERS AND TEACHING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/13540602.2017.1388228,10.1080/13540602.2017.1388228
19,"Avalos-Bevan, B; Bascope, M","Teacher Informal Collaboration for Professional Improvement: Beliefs, Contexts, and Experience",2017,EDUCATION RESEARCH INTERNATIONAL,ESCI/UCH/VID,http://dx.doi.org/10.1155/2017/1357180,10.1155/2017/1357180
20,"Avalos, B; Valenzuela, JP",Education for all and attrition/retention of new teachers: A trajectory study in Chile,2016,INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ijedudev.2016.03.012,10.1016/j.ijedudev.2016.03.012
21,Avalos B.,Learning from research on beginning teachers,2016,International Handbook of Teacher Education: Volume 1,SCOPUS/UCH/VID,http://dx.doi.org/10.1007/978-981-10-0366-0_13,10.1007/978-981-10-0366-0_13
22,"Avalos Davidson, Beatrice",La formación inicial docente en Chile: Tensiones entre políticas de apoyo y control,2014,ESTUDIOS PEDAGOGICOS (VALDIVIA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-07052014000200002,10.4067/S0718-07052014000200002
23,"Avalos, B; Bascope, M",Future teacher trajectory research: Its contribution to teacher education and policy,2014,EDUCATION AS CHANGE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1080/16823206.2013.877353,10.1080/16823206.2013.877353
24,"Avalos Davidson, Beatrice; Barrett, Angeline",Teacher professionalism and social justice,2013,"Education Quality and Social Justice in the Global South: Challanges for Policy, Practice and Research",SCOPUS/UCH/VID,http://dx.doi.org/10.4324/9780203817650,10.4324/9780203817650
25,"Avalos Davidson, Beatrice",Teacher professional development in teaching and teacher education from 2000-2010,2013,Advances in Research on Teaching,SCOPUS/UCH/VID,,
26,Núñez Rojas Mauricio Alejandro; Arévalo Vera Ana Rosa; Ávalos Davidson Beatrice,Profesionalización docente: ¿Es posible un camino de convergencia para expertos y novatos?,2012,REVISTA ELECTRONICA DE INVESTIGACION EDUCATIVA,SCOPUS/SCIELO-otros paises /UCH/VID,,
27,"Avalos, B",Teacher professional development in Teaching and Teacher Education over ten years,2011,TEACHING AND TEACHER EDUCATION,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.tate.2010.08.007,10.1016/j.tate.2010.08.007
28,"Avalos, B.; Cavada, P.; Pardo, M.; Sotomayor, C.",La profesión docente: temas y discusiones en la literatura internacional,2010,ESTUDIOS PEDAGOGICOS (VALDIVIA),SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-07052010000100013,10.4067/S0718-07052010000100013
29,"Avalos, B; Tellez, F; Navarro, S",Learning about the effectiveness of teacher education: A Chilean study,2010,PERSPECTIVES IN EDUCATION,ISI/SCOPUS/UCH/VID,,
30,Avalos B; Assael J.,Moving from resistance to agreement: The case of the Chilean teacher performance evaluation,2006,INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ijer.2007.02.004,10.1016/j.ijer.2007.02.004
