,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1231595,Hacia la construcción de indicadores para la evaluación de habilidades para la docencia del siglo XXI,01/08/2022,01/08/2022,"P. Cabello / M. López, F. Saadati",Departamento de Administración y Finanzas,FONDECYT,Regular
1,3230015,Informando programas de acceso especial a la educación superior: Análisis longitudinal de experiencias académicas y representaciones identitarias-discursivas de estudiantes PACE-UCH,01/03/2023,01/03/2026,P. Cabello,Proyecto Investigación,FONDECYT,Postdoctorado
2,1211553,Prácticas pedagógicas de docentes destacados para mediar el aprendizaje de estudiantes en contexto digital: Estudio de casos,01/03/2021,01/03/2024,P. Cabello,Universidad Católica de Chile,FONDECYT,Regular
3,ID21I10069,Construcción de un modelo para el mejoramiento de aprendizajes y el desarrollo de habilidades en la escuela del siglo XXI,01/09/2021,01/09/2023,"P. Felmer / P. Cabello, M. López, A. Valdivia",Proyecto Investigación,FONDEF,IDEA
4,1211505,Factores críticos para la integración efectiva de tecnologías digitales en la educación superior técnica en Chile,01/08/2020,01/08/2020,"P. Cabello / F. Saadati, P. Felmer",Proyecto Investigación,FONDECYT,Regular
5,ID20I10326,Una estrategia para el mejoramiento de los aprendizajes en la escuela del siglo XXI,01/04/2020,01/04/2020,"P. Felmer / F. Saadati, P. Cabello",Departamento de Ingeniería Matemática,FONDEF,IDEA
6,CNED-2020,Motivación para el aprendizaje y experiencias de estudiantes en la implementación de formación a distancia durante la emergencia sanitaria de COVID 19 en la Educación Superior Técnico Profesional,01/05/2021,01/03/2022,P. Cabello,Departamento de Administración y Finanzas,Consejo Nacional de Educación,Proyectos de investigación CNED
7,1180580,"Estudio sobre oportunidades, riesgos, habilidades, mediaciones y resultados tangibles del uso de tecnologías digitales en la infancia: el modelo Kids Online y su implementación inclusiva en Chile y América Latina",01/07/2017,01/07/2017,P. Cabello / A. Valdivia,Universidad Academica de Humanismo Cristiano,FONDECYT,Regular
8,IT18I0117,"""Renata"" como herramienta de cambio en la cultura matemática de la comunidad escolar",01/10/2018,01/10/2018,P. Felmer / P. Cabello,Programa de Investigación en Educación,FONDEF,IDEA
9,1240244,Decodificación y comprensión lectora en escolares con TDL de 4° básico,01/07/2023,01/07/2023,"C. Coloma / E. Guerra, A. Helo, D. Rojas",Departamento de Fonoaudiología,FONDECYT,Regular
10,1231623,Dificultades de escritura en la Educación Básica,01/08/2022,01/08/2022,"C. Sotomayor / C. Coloma, D. Rojas",Proyecto Investigación,FONDECYT,Regular
11,IT23I0003,"Estandarización de ITeRDEA: Instrumento informatizado para la Identificación Temprana y el Seguimiento del Riesgo de presentar Dificultades Específicas del Aprendizaje, a partir de predictores cognitivos, en escolares de primero a sexto básico",01/04/2023,01/04/2023,"P. Dartnell / P. Rodríguez, C. Coloma, A. Helo",Departamento de Ingeniería Matemática,FONDEF,IDEA
12,1230134,Decodificación y comprensión lectora de escolares con TEL de 4° básico,01/07/2022,01/07/2022,"C. Coloma / C. Sotomayor, E. Guerra, A. Helo",Departamento de Fonoaudiología,FONDECYT,Regular
13,1221256,Problemas específicos de escritura y perfiles de escritores con dificultad en la educación básica,01/09/2021,01/09/2021,C. Sotomayor / C. Coloma,Proyecto Investigación,FONDECYT,Regular
14,1200411,Efectos de la enseñanza de la gramática y la estructura textual en la escritura de textos expositivos en la Educación Básica,01/08/2019,01/08/2019,C. Sotomayor / C. Coloma,Proyecto Investigación,FONDECYT,Regular
15,3200208,Integración audiovisual durante el aprendizaje temprano de palabras en infantes pre-verbales con o sin riesgo de Trastorno Específico del Lenguaje: una explicación mediante el correlato neural,01/01/2020,01/01/2020,C. Coloma,Departamento de Fonoaudiología,FONDECYT,Postdoctorado
16,1170705,"Intervención en conciencia fonológica, léxico y gramática para apoyar la comprensión lectora de niños con riesgo lector",01/04/2017,01/04/2021,C. Coloma / M. Silva,Escuela de Fonoaudiología,FONDECYT,Regular
17,REDI170285,Habilidades de lenguaje y atención visual en niños con trastorno específico del lenguaje (TEL),01/11/2017,01/11/2019,A. Helo / C. Coloma,Departamento de Fonoaudiología,Cooperación Internacional: Multilateral y vinculación,Apoyo A La Formación De Redes Internacionales_Inicial
18,1160471,Efectos de la enseñanza explícita y contextualizada de la gramática y el léxico en la calidad de la escritura de estudiantes de 6° básico,01/04/2016,01/04/2019,C. Sotomayor / C. Coloma,Programa de Investigación en Educación,FONDECYT,Regular
19,1130201,"Impacto de la conciencia fonológica, discurso narrativo, léxico y sintaxis compleja en el desempeño lector de niños con trastorno específico del lenguaje en 1° y 2° básico",01/03/2013,01/03/2016,C. Coloma / C. Sotomayor,Escuela de Fonoaudiología,FONDECYT,Regular
20,FB0003,Centro de Investigación Avanzada en Educación,01/04/2014,01/04/2024,"J. Valenzuela / M. Pardo, J. Sánchez, A. Mizala, C. Bellei, P. Felmer, R. Araya, C. Sotomayor, B. Ávalos, J. Soto, R. Correa, C. Coloma, A. Slachevsky, P. Dartnell, S. Martínez",Programa de Investigación en Educación,Programa Financiamiento Basal,Basal
21,1090556,"Producción escrita: Procesos, productos y experiencias didácticas de escolares de la Región Metropolitana.",01/03/2009,01/03/2009,C. Coloma,UDP. Universidad Diego Portales,FONDECYT,Regular
22,SOC 09/22-2,Impacto del TEL en el desempeño lector en niños de una población infantil de alta consanguinidad,01/10/2009,01/10/2009,"P. Villanueva / C. Coloma, M. Fernández, M. Martínez",Escuela de Fonoaudiología,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
23,SOC 09/03-2,"Desempeño lingüístico, lector, cognitivo y auditivo en alumnos de 1° Básico, con problemas de lenguaje que asisten a escuelas con proyectos de integración",01/10/2009,01/10/2011,"C. Coloma / M. Pavez, M. Maggiolo, C. Peñaloza",Escuela de Fonoaudiología,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
24,1080527,Proceso y producto en la escritura expositiva de escolares de la región metropolitana,01/03/2008,01/03/2008,C. Coloma,Escuela de Fonoaudiología,FONDECYT,Regular
25,SOC06/17,"El desarrollo fonológico en niños de 3 a 6 años, incidencia de la edad, del nivel socioeconómico y del género
",01/07/2006,01/07/2008,"M. Pavez / M. Maggiolo, C. Coloma, C. Peñaloza",Escuela de Fonoaudiología,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
26,1940267,Estudio del discurso oral en adolescentes de primero y tercero medio y su relación con el rendimiento escolar,01/03/1994,01/03/1997,"M. Pavez / L. Romero, C. Coloma",Departamento de Fonoaudiología,FONDECYT,Regular
