,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,IT23I0003,"Estandarización de ITeRDEA: Instrumento informatizado para la Identificación Temprana y el Seguimiento del Riesgo de presentar Dificultades Específicas del Aprendizaje, a partir de predictores cognitivos, en escolares de primero a sexto básico",01/04/2023,01/04/2023,"P. Dartnell / P. Rodríguez, C. Coloma, A. Helo",Departamento de Ingeniería Matemática,FONDEF,IDEA
1,3220044,Controlar para recordar mejor: Mecanismos que subyacen a la mejora de la memoria a corto plazo y de trabajo durante el control de la aparición de la información,01/04/2022,01/04/2025,P. Dartnell,Proyecto Investigación,FONDECYT,Postdoctorado
2,ID21I10343,Desarrollo y Validación de un Sistema Automatizado de Revisión de Ítems,01/09/2021,01/09/2023,P. Dartnell / P. Rodríguez,Proyecto Investigación,FONDEF,IDEA
3,1191918,"Validity evidence, reliability evidence, and constraints of a test for inferring school children¿s strategies for comparing fractions",01/08/2018,01/08/2018,P. Dartnell,Otras Instituciones,FONDECYT,Regular
4,3190273,Cómo la resolución de preguntas de selección múltiple se ve afectada por la posición de las alternativas: estudio de los sesgos de exploración visual y de los sesgos de decisión,01/03/2019,01/03/2022,P. Dartnell,Gabinete de Dirección,FONDECYT,Postdoctorado
5,ID18I10002,Instrumento informatizado para el tamizaje de Trastornos Específicos del Aprendizaje a través de la evaluación de capacidades cognitivas básicas en niños de Educación General Básica,01/08/2018,01/08/2020,"P. Dartnell / A. Helo, M. Pardo",Programa de Investigación en Educación,FONDEF,IDEA
6,REDES180010,Identification and intervention of specific learning disabilities in Chilean and Uruguayan School age Children,01/10/2018,01/10/2020,P. Dartnell,Programa de Investigación en Educación,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
7,ID17I10079,Instrumento informatizado para el tamizaje de Trastornos Específicos del Aprendizaje a través de la evaluación de capacidades neurocognitivas básicas en niños de Educación General Básica,01/05/2017,01/05/2017,P. Dartnell,Programa de Investigación en Educación,FONDEF,IDEA Bietapa
8,1160188,Cognitive biases and strategies underlying school mathematics: the case of fraction comparison,01/04/2016,01/04/2019,P. Dartnell,Departamento de Educación,FONDECYT,Regular
9,ID16I10119,Metodologías innovadoras para la formación inicial de profesores de educación básica en matemáticas: modelo basado en prácticas efectivas de aula y tecnologías de la información,01/11/2016,01/11/2018,"S. Martínez / F. Guíñez, R. Asun, P. Dartnell",Departamento de Ingeniería Matemática,FONDEF,IDEA Bietapa
10,FB0003,Centro de Investigación Avanzada en Educación,01/04/2014,01/04/2024,"J. Valenzuela / M. Pardo, J. Sánchez, A. Mizala, C. Bellei, P. Felmer, R. Araya, C. Sotomayor, B. Ávalos, J. Soto, R. Correa, C. Coloma, A. Slachevsky, P. Dartnell, S. Martínez",Programa de Investigación en Educación,Programa Financiamiento Basal,Basal
11,D11I1009,"Sistema de Auto Soporte para el Mejoramiento de las Prácticas Docentes
",01/11/2012,01/11/2015,P. Dartnell,Programa de Investigación en Educación,FONDEF,Investigación y Desarrollo (I+D)
