,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Lions, S; Dartnell, P; Toledo, G; Godoy, MI; Cordova, N; Jimenez, D; Lemarie, J",Position of Correct Option and Distractors Impacts Responses to Multiple-Choice Items: Evidence From a National Test,2022,EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,/UCH/VID,http://dx.doi.org/10.1177/00131644221132335,10.1177/00131644221132335
1,"Lions, S; Monsalve, C; Dartnell, P; Blanco, MP; Ortega, G; Lemarie, J",Does the Response Options Placement Provide Clues to the Correct Answers in Multiple-choice Tests? A Systematic Review,2022,APPLIED MEASUREMENT IN EDUCATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/08957347.2022.2067539,10.1080/08957347.2022.2067539
2,"Lions, S; Monsalve, C; Dartnell, P; Godoy, MI; Cordova, N; Jimenez, D; Blanco, MP; Ortega, G; Lemarie, J",The Position of Distractors in Multiple-Choice Test Items: The Strongest Precede the Weakest,2021,FRONTIERS IN EDUCATION,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.3389/feduc.2021.731763,10.3389/feduc.2021.731763
3,"Castro Cañizares D., Dartnell P., Pérez N.E.",Exploring basic numerical capacities in children with difficulties in simple arithmetical achievement,2021,Suma Psicologica,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.14349/sumapsi.2021.v28.n1.1,10.14349/sumapsi.2021.v28.n1.1
4,"Morales, N; Dartnell, P; Gomez, DM",A Study on Congruency Effects and Numerical Distance in Fraction Comparison by Expert Undergraduate Students,2020,FRONTIERS IN PSYCHOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpsyg.2020.01190,10.3389/fpsyg.2020.01190
5,"Gomez, DM; Dartnell, P",Middle Schoolers' Biases and Strategies in a Fraction Comparison Task,2019,INTERNATIONAL JOURNAL OF SCIENCE AND MATHEMATICS EDUCATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10763-018-9913-z,10.1007/s10763-018-9913-z
6,"Navarrete, JA;Gomez, DM;Dartnell, P",Promoting preschoolers' numerical knowledge through spatial analogies: Numbers¿ spatial alignment influences its learning,2018,CONTEMPORARY EDUCATIONAL PSYCHOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.cedpsych.2018.06.006,10.1016/j.cedpsych.2018.06.006
7,"Castro, Danilka; Amor, Valeska; Gómez, David Maximiliano; Dartnell, Pablo",Contribución de los Componentes de la Memoria de Trabajo a la Eficiencia en Aritmética Básica Durante la Edad Escolar,2017,Psykhe,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.7764/psykhe.26.2.1141,10.7764/psykhe.26.2.1141
8,"Navarrete, JA; Dartnell, P",Towards a category theory approach to analogy: Analyzing re-representation and acquisition of numerical knowledge,2017,PLOS COMPUTATIONAL BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1371/journal.pcbi.1005683,10.1371/journal.pcbi.1005683
9,"Gomez, DM; Jimenez, A; Bobadilla, R; Reyes, C; Dartnell, P","The effect of inhibitory control on general mathematics achievement and fraction comparison in middle school children (vol 47,pg 801, 2015)",2017,ZDM-MATHEMATICS EDUCATION,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s11858-017-0845-9,10.1007/s11858-017-0845-9
10,"Gomez, DM; Jimenez, A; Bobadilla, R; Reyes, C; Dartnell, P",The effect of inhibitory control on general mathematics achievement and fraction comparison in middle school children,2015,ZDM-MATHEMATICS EDUCATION,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s11858-015-0685-4,10.1007/s11858-015-0685-4
11,"Barraza, P; Gomez, DM; Oyarzun, F; Dartnell, P",Long-distance neural synchrony correlates with processing strategies to compare fractions,2014,NEUROSCIENCE LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.neulet.2014.03.021,10.1016/j.neulet.2014.03.021
12,"Araya, R; Jimenez, A; Bahamondez, M; Calfucura, P; Dartnell, P; Soto-Andrade, J",Teaching modeling skills using a massively multiplayer online mathematics game,2014,WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11280-012-0173-5,10.1007/s11280-012-0173-5
13,Plana F;Araya M;Dartnell P;Soto-Andrade J;Luci G;Araya R;Salinas E,Estimation of teacher practices based on text transcripts of teacher speech using a support vector machine algorithm,2012,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/j.1467-8535.2011.01249.x,10.1111/j.1467-8535.2011.01249.x
14,Gomez DM;Dartnell P,Simple Monte Carlo integration with respect to Bernoulli convolutions,2012,APPLICATIONS OF MATHEMATICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10492-012-0037-4,10.1007/s10492-012-0037-4
