,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,3240202,Innovación en las prácticas pedagógicas a través de la integración de tecnologías educativas en establecimientos chilenos de bajo nivel socioeconómico,01/06/2023,01/06/2023,R. Araya,Gabinete de Dirección,FONDECYT,Postdoctorado
1,1231939,Metaphorization and enaction in an experimental epistemology of mathematics,01/08/2022,01/08/2022,"J. Soto / R. Pomareda, L. Cubillos, M. Yáñez, R. Araya, V. Muñoz, L. Jiménez",Departamento de Matemáticas,FONDECYT,Regular
2,3210072,Procesos de aprendizaje remoto en contextos de crisis: desafíos y fortalezas del trabajo pedagógico en entornos virtuales,01/08/2020,01/08/2020,R. Araya,Proyecto Investigación,FONDECYT,Postdoctorado
3,IT21I0040,Inteligencia Artificial para el Escalamiento en Educación,01/11/2021,01/11/2021,R. Araya / J. Soto,Proyecto Investigación,FONDEF,IDEA
4,1201974,An enactivist metaphorical approach to problem posing and solving,01/07/2019,01/07/2019,"J. Soto / L. Jiménez, M. Yáñez, R. Araya, R. Pomareda, L. Cubillos",Departamento de Matemáticas,FONDECYT,Regular
5,COVID0547,En casa APPrendo,01/06/2020,01/06/2020,R. Araya,Proyecto Investigación,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
6,ID20I10026,"Mejorando el aprendizaje de matemática a través de ConectaIdeas, un enfoque integral basado en
tecnología",01/05/2020,01/05/2020,R. Araya / J. Soto,Proyecto Investigación,FONDEF,IDEA
7,3180590,Lesson Study en Chile: valoraciones y apreciaciones de observadores de clases públicas STEM,01/03/2018,01/03/2020,R. Araya,Programa de Investigación en Educación,FONDECYT,Postdoctorado
8,3170700,Análisis comparativo de enseñanza y aprendizaje en clases STEM usando automatic speech recognition y observación de clases: Clases de Chile y Finlandia,01/08/2016,01/08/2016,R. Araya,Programa de Investigación en Educación,FONDECYT,Postdoctorado
9,3170062,Understanding and incorporating aspects of body language in our professional teaching practice,01/04/2017,01/04/2020,R. Araya,Programa de Investigación en Educación,FONDECYT,Postdoctorado
10, IDRC 108369-001,Evaluando el impacto de herramientas digitales para enseñar matemáticas y ciencias en Chile,01/01/2017,01/05/2019,R. Araya,Programa de Investigación en Educación,International Development Research Center,IDRC Projects
11,ID15I 10017,Clases públicas STEM integradas,01/11/2015,01/11/2017,R. Araya,Programa de Investigación en Educación,FONDEF,IDEA Bietapa
12,AKA-EDU/ 01,Learning environments for STEM,01/12/2015,01/12/2018,"R. Araya / R. Gormaz, J. Soto",Programa de Investigación en Educación,Cooperación Internacional: Proyectos bilaterales,Proyectos ERNC CONICYT/AKA-Finlandia
13,FB0003,Centro de Investigación Avanzada en Educación,01/04/2014,01/04/2024,"J. Valenzuela / M. Pardo, J. Sánchez, A. Mizala, C. Bellei, P. Felmer, R. Araya, C. Sotomayor, B. Ávalos, J. Soto, R. Correa, C. Coloma, A. Slachevsky, P. Dartnell, S. Martínez",Programa de Investigación en Educación,Programa Financiamiento Basal,Basal
14,AIC-15,Apoyo a practicas docentes con telepresencia ,01/12/2011,01/12/2011,R. Araya,Programa de Investigación en Educación,Programa de Investigación Asociativa,Apoyo Infraestructura Cientifica de Centros
15,TE10I001,Torneos Nacionales de Juegos Masivos Online de Ciencias ,01/12/2010,01/12/2013,R. Araya / P. Dartnell,Programa de Investigación en Educación,FONDEF,"Tecnología de Información y Comunicación para la educación, TIC-EDU"
16,1090662,Estudio de la relación del desarrollo del lenguaje y del pensamiento simbólico en niños con y sin riesgo cognitivo.,01/03/2009,01/03/2011,R. Araya,PUC. Escuela de Psicología,FONDECYT,Regular
17,FR2007-272,Impacto de las metáforas en el aprendizaje de matemáticas escolares,01/03/2007,01/03/2007,R. Araya,Departamento de Matemáticas,FONDECYT,Regular
18,1070812,"Procesos de aprendizaje: Modelamiento, simulación y experimentación en torno a competencia de estrategias",01/03/2007,01/03/2007,P. Dartnell / R. Araya,Programa de Investigación en Educación,FONDECYT,Regular
19,D06I1023,Estrategias y herramientas para la enseñanza de las matemática basadas en metáforas,01/12/2006,01/12/2009,R. Araya / P. Dartnell,Gabinete Vicerrectoría de Asuntos Académicos,FONDEF,Investigación y Desarrollo (I+D)
20,01,Unidad de Prueba y validación masiva de plataforma de generación de banco de e-ítems inteligentes para Educación Básica,01/12/2006,01/12/2006,P. Dartnell / R. Araya,Programa de Investigación en Educación,FONDEF,"Tecnología de Información y Comunicación para la educación, TIC-EDU"
