,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1240605,Interaction between excess body weight and chronotype modulating human metabolic health: key role for a chronobiology-based nutrition behavior intervention,01/08/2023,01/08/2023,"M. Cifuentes / C. Corvalán, N. Tobar, R. Chamorro",Dirección,FONDECYT,Regular
1,1240788,Long-term consumption of ultra-processed foods (UPF) and low consumption of dietary fibers promotes a pro-inflammatory gut microbiome in children: a high throughput in vitro study,01/07/2023,01/07/2023,"P. Navarrete / M. Gotteland, C. Corvalán",Dirección,FONDECYT,Regular
2,1240833,Priorization of healthy food environment policies to promote healthier food consumption in Chile: a participatory mixed-method approach,01/07/2023,01/07/2023,"M. Garmendia / A. Eguiguren, C. Corvalán, S. Mondschein",Dirección,FONDECYT,Regular
3,SA23I0030,Déficit de micronutrientes en gestantes beneficiarias del Servicio de Salud Metropolitano Suroriente de Santiago: respuesta temprana en tiempos de crisis alimentaria,01/05/2023,01/05/2023,"M. Garmendia / C. Corvalán, M. Mujica, F. Pizarro, M. Arredondo",Dirección,CONICYT/MINSAL,FONIS-Proyectos I&D
4,3230125,"Association between sucralose intake and metabolic outcomes in Chilean infants, preschoolers, and adolescents",01/03/2023,01/03/2025,C. Corvalán,Dirección,FONDECYT,Postdoctorado
5,1230813,Consumption of Ultra-Processed foods and breast density: differences during the life-course,01/03/2023,01/03/2027,"A. Pereira / C. Corvalán, M. Garmendia, M. Cifuentes",Dirección,FONDECYT,Regular
6,1221664,"Impact of early initiation of ultra processed food consumption on diet, adiposity and metabolic health at 3-Years of age",01/04/2022,01/04/2026,"M. Reyes / S. Weisstaub, C. Corvalán",Dirección,FONDECYT,Regular
7,IM21_11549_en,Millennium Institute for Future Healthy Nutrition,01/03/2023,01/03/2023,"C. Corvalán / M. Cifuentes, L. Meisel, M. Reyes, M. Garmendia, R. Pulgar, P. Navarrete, A. Maass",Departamento de Nutrición,Iniciativa Científica Milenio,Institutos Milenios en Ciencias Exactas y Naturales
8,1211477,"Healthy vs Unhealthy obesity in young male adults: early predictors, mechanistic insights and effects of Time-Restricted Eating",01/03/2021,01/03/2024,"M. Cifuentes / M. Reyes, C. Corvalán",Dirección,FONDECYT,Regular
9,3210464,Associations between maternal B-12 concentration and disturbances of maternal glucose metabolism and neonatal adiposity in the COVID-19 era,01/03/2021,01/03/2024,M. Mujica / C. Corvalán,Dirección,FONDECYT,Postdoctorado
10,NIH012020,Cross-Border Approaches to Applying Novel Methods for Child Obesity Research,01/03/2020,01/03/2022,C. Corvalán / A. Pereira,Dirección,Otros Internacionales,Proyectos Internacionales
11,COVID0591,"Efectos de la pandemia COVID-19 en alimentación y salud mental en etapas críticas de la vida: Cohortes ciapec-inta de embarazadas, preescolares y adolescentes del área sur-oriente de Santiago",01/06/2020,01/06/2021,"C. Corvalán / M. Mericq, M. Reyes, A. Pereira, M. Garmendia",Dirección,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
12,1201633,The Chilean Front-of-Package Labeling and Marketing Regulation: impact on Children¿s Diet and Adiposity,01/03/2020,01/03/2024,"C. Corvalán / M. Garmendia, M. Reyes",Dirección,FONDECYT,Regular
13,3201002,Effects of Maternal obesity and depressive symptoms during pregnancy on child BMI and behavioural outcomes at school entry: triangulating evidence from two longitudinal studies and national administrative records from Chile,01/01/2020,01/01/2020,C. Corvalán,Dirección,FONDECYT,Postdoctorado
14,FAO1901,A Study on the Impact of the Chilean Food Labelling Law on the Private Sector and Responsible Investments in Agriculture Unit (FAO),01/10/2019,01/10/2020,C. Corvalán / M. Reyes,Dirección,FAO,CARIS
15,2017/24744-0,What do we know and what we should know? An analysis of the food industry corporate political activity in three Southamerican countries,01/09/2019,01/09/2020,"M. Reyes, C. Corvalán",Otras Instituciones,Otros Internacionales,Proyectos Internacionales
16,IDCR_109035,"Towards a community of practice: A way to improve research, advocacy and policy in healthy food systems in Latin America and the Caribbean",01/08/2019,01/08/2022,C. Corvalán,Dirección,International Development Research Center,IDRC Projects
17,SA19I0128,"Consumo de edulcorantes no calóricos en lactantes, preescolares y adolescentes de ingreso medio-bajo después de la implementación de la Ley 20.606 sobre composición nutricional de los alimentos y su publicidad: descripción y recomendaciones",01/10/2019,01/10/2021,"M. Reyes / C. Corvalán, M. Garmendia",Dirección,CONICYT/MINSAL,FONIS-Proyectos I&D
18,1190346,"Premature adrenarche , unanswered questions",01/04/2019,01/04/2023,"M. Mericq / A. Pereira, F. Rodríguez, G. Iñíguez, C. Corvalán",Instituto de Investigaciones Materno - Infantil,FONDECYT,Regular
