,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Carpentier, FRD; Stoltze, FM; Reyes, M; Taillie, LS; Corvalan, C; Correa, T","Restricting child-directed ads is effective, but adding a time-based ban is better: evaluating a multi-phase regulation to protect children from unhealthy food marketing on television",2023,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,ISI/UCH/VID,http://dx.doi.org/10.1186/s12966-023-01454-w,10.1186/s12966-023-01454-w
1,"Gomes, FD; Corvalan, C; Deliza, R; Barquera, S",Editorial: Strengthening food labeling policies in Brazil,2023,FRONTIERS IN NUTRITION,ISI/UCH/VID,http://dx.doi.org/10.3389/fnut.2023.1196243,10.3389/fnut.2023.1196243
2,"Fretes, G; Corvalan, C; Reyes, M; Taillie, LS; Economos, CD; Wilson, NLW; Cash, SB","Changes in children's and adolescents' dietary intake after the implementation of Chile's law of food labeling, advertising and sales in schools: a longitudinal study",2023,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,ISI/UCH/VID,http://dx.doi.org/10.1186/s12966-023-01445-x,10.1186/s12966-023-01445-x
3,"Paraje, G; de Oca, DM; Corvalan, C; Popkin, B",Socioeconomic Patterns in Budget Share Allocations of Regulated Foods and Beverages in Chile: A Longitudinal Analysis,2023,NUTRIENTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/nu15030679,10.3390/nu15030679
4,"Rebolledo N., Bercholz M., Adair L., Corvalán C., Ng S.W., Taillie L.S.","Sweetener Purchases in Chile before and after Implementing a Policy for Food Labeling, Marketing, and Sales in Schools",2023,CURRENT DEVELOPMENTS IN NUTRITION,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.cdnut.2022.100016,10.1016/j.cdnut.2022.100016
5,"Ekwuocha, I; Pereira, A; Corvalan, C; Michels, KB; Gaskins, AJ",Dietary Iron Intake in Relation to Age at Menarche: A Prospective Cohort Study in Chilean Girls,2023,JOURNAL OF NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.tjnut.2022.10.002,10.1016/j.tjnut.2022.10.002
6,"Martinez-Arroyo, A; Cantor, E; Fisberg, RM; Corvalan, C",Lower adherence to a prudent dietary pattern is associated with earlier age at menarche in adolescents from the Growth and Obesity Chilean Cohort Study,2023,FRONTIERS IN PUBLIC HEALTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpubh.2022.995593,10.3389/fpubh.2022.995593
7,"Hargous, CV; Strugnell, C; Allender, S; Orellana, L; Corvalan, C; Bell, C","Double- and triple-duty actions in childhood for addressing the global syndemic of obesity, undernutrition, and climate change: A scoping review",2023,OBESITY REVIEWS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/obr.13555,10.1111/obr.13555
8,"Ricardo, CZ; Duran, AC; Grilo, MF; Rebolledo, N; Diaz-Torrente, X; Reyes, M; Corvalan, C",Impact of the use of food ingredients and additives on the estimation of ultra-processed foods and beverages,2023,FRONTIERS IN NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnut.2022.1046463,10.3389/fnut.2022.1046463
9,"Perez-Escamilla, R; Corvalan, C; Osendarp, S; Martinez, JBG; Osendarp, S; Ahmed, S; Chaudhary, A",Healthy and sustainable diets,2022,MED,/UCH/VID,http://dx.doi.org/10.1016/j.medj.2022.10.007,10.1016/j.medj.2022.10.007
10,"Pereira A., Reyes M., Corvalán C., Espejo J.P., Mericq V., Cifuentes M.",Assessment of a consensus definition of obesity and metabolic health phenotypes in children at different pubertal stages,2022,SCIENTIFIC REPORTS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1038/s41598-022-25771-5,10.1038/s41598-022-25771-5
11,"Steele, EM; Ponce, JAM; Cediel, G; Louzada, MLC; Khandpur, N; Machado, P; Moubarac, JC; Rauber, F; Corvalan, C; Levy, RB; Monteiro, CA",Potential reductions in ultra-processed food consumption substantially improve population cardiometabolic-related dietary,2022,NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.numecd.2022.08.018,10.1016/j.numecd.2022.08.018
12,"Rebolledo, N; Bercholz, M; Corvalan, C; Ng, SW; Taillie, LS",Did the sweetness of beverages change with the Chilean Food Labeling and Marketing Law? A before and after study,2022,FRONTIERS IN NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnut.2022.1043665,10.3389/fnut.2022.1043665
13,"Sparling, T; Deeney, M; Cheng, B; Han, XR; Lier, C; Lin, ZZ; Offner, C; Santoso, M; Pfeiffer, E; Emerson, J; Amadi, F; Mitu, K; Corvalan, C; Verdeli, H; Araya, R; Kadiyala, S",Systematic evidence and gap map of research linking food security and nutrition to mental health,2022,NATURE COMMUNICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41467-022-32116-3,10.1038/s41467-022-32116-3
14,"Mujica-Coopman, MF; Corvalan, C; Flores, M; Garmendia, ML",The Chilean Maternal-Infant Cohort Study-II in the COVID-19 Era: A Study Protocol,2022,FRONTIERS IN PUBLIC HEALTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpubh.2022.904668,10.3389/fpubh.2022.904668
15,"Hock, Karen; Barquera, Simon; Corvalan, Camila; Goodman, Samantha; Sacks, Gary; Vanderlee, Lana; White, Christine M.; White, Martin; Hammond, David",Awareness of and Participation in School Food Programs Among Youth From Six Countries,2022,JOURNAL OF NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/jn/nxac052,10.1093/jn/nxac052
16,"Lesser C., Mericq V., Reyes M., Garmendia M.L., Shepherd J.A., Michels K.B., Corvalán C., Pereira A.",Habitual Phytoestrogen Intake Is Associated with Breast Composition in Girls at 2 Years after Menarche Onset,2022,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1158/1055-9965.EPI-22-0016,10.1158/1055-9965.EPI-22-0016
17,"Rebolledo, N; Reyes, M; Popkin, BM; Adair, L; Avery, CL; Corvalan, C; Ng, SW; Taillie, LS",Changes in nonnutritive sweetener intake in a cohort of preschoolers after the implementation of Chile's Law of Food Labelling and Advertising,2022,PEDIATRIC OBESITY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/ijpo.12895,10.1111/ijpo.12895
18,"Gonzalez, CG; Corvalan, C; Reyes, M",Sweetness of Chilean Infants' Diets: Methodology and Description,2022,NUTRIENTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/nu14071447,10.3390/nu14071447
