,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,3240643,Trayectorias de composición corporal y su relación con expectativa de vida saludable en personas mayores chilenas,01/06/2023,01/06/2023,C. Márquez / C. Albala,Dirección,FONDECYT,Postdoctorado
1,1242020,Back to childhood: synthetic human milk oligosaccharides (HMOs) as a new nutritional strategy to improve the health of pre-frail elder,01/08/2023,01/08/2023,"M. Gotteland / P. Navarrete, S. Lopez, L. Duarte, C. Márquez, F. Magne, C. Albala, F. Salech",Departamento de Nutrición,FONDECYT,Regular
2,SA23I0162,Estudio de la salud de población adulta mayor privada de libertad en Chile,01/05/2023,01/05/2023,M. Sandoval / C. Albala,Departamento de Nutrición Humana y Clínica,CONICYT/MINSAL,FONIS-Proyectos I&D
3,SA22I0037,Estudio de la salud de población adulta mayor privada de libertaden Chile,01/06/2022,01/06/2022,M. Sandoval / C. Albala,Dirección,CONICYT/MINSAL,FONIS-Proyectos I&D
4,SA21I0017,Estudio de la salud de población adulta mayor privada de libertad en Chile,01/05/2021,01/05/2021,M. Sandoval / C. Albala,Departamento de Nutrición Humana y Clínica,CONICYT/MINSAL,FONIS-Proyectos I&D
5,ACT210006,Research ring on obesity-induced accelerated aging (ObAGE),01/10/2021,01/10/2024,"M. Correa / C. González, R. Burrows, F. Salech, G. Sanhueza, C. Albala",Dirección,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
6,MAPFRE_2101,"Envejecimiento acelerado inducido por obesidad: la brecha entre edad cronológica y edad biológica en una cohorte histórica de adultos jóvenes se asocia a la exposición a obesidad en etapas clave del desarrollo
",01/01/2022,01/01/2023,"M. Correa / R. Burrows, F. Salech, G. Sanhueza, C. González, C. Albala",Dirección,Otros Internacionales,Proyectos Internacionales
7,SA20I0088,"Efecto de la ingesta diaria de una crema de legumbres con bioaccesibilidad controlada de nutrientes y adecuada aceptabilidad sensorial sobre la inflamación, parámetros metabólicos, masa, fuerza y función muscular en adultos mayores",01/11/2020,01/11/2022,F. Pérez / C. Albala,Dirección,CONICYT/MINSAL,FONIS-Proyectos I&D
8,IM19IMMET,Instituto Milenio de Medicina Traslacional,01/11/2019,01/11/2019,"M. Behrens / M. López, C. Albala, A. Paula Lima, M. Maliqueo",Instituto de Ciencias Biomédicas,Iniciativa científica Milenio,Institutos Milenios
9,IT15I10053,"Diseño y validación de una herramienta tecnológica para la pesquisa de sarcopedia en adultos mayores (AM), para su uso en el nivel primario de atención de salud",01/03/2016,01/03/2018,"B. Angel, C. Albala",Dirección,FONDEF,IDEA
10,1150962,Effect the Sarcopenia and Sarcopenic Obesity on Healthy Life Expectancy in Chilean Older People: 5 Years Follow-Up of the ALEXANDROS Cohorts,01/03/2015,01/03/2015,C. Albala,Epidemiología,FONDECYT,Regular
11,FONDAP2013-04,Interdisciplinary Center for Aging Research (ICAR),01/12/2014,01/12/2014,"E. Jaimovich / G. Fasce, A. Slachevsky, O. Arteaga, M. Rojas, M. Pizzi, M. Behrens, D. Bunout, P. Fuentes, M. Núñez, M. Hidalgo, C. Albala, A. Paula Lima, M. Bustamante, B. Angel, B. Espinosa, M. Casas, A. Fuentes, P. Osorio, S. Buvinic",Instituto de Ciencias Biomédicas,FONDAP,Programa FONDAP
12,79140003,"Prevalencia, mortalidad y carga financiera de las enfermedades cardiovasculares en Chile: Estimaciones y proyecciones para el período 2010-2045",01/12/2014,01/12/2017,M. Correa / C. Albala,Dirección,Programa de Capital Humano Avanzado,Inserción de Capital Humano en la Academia
13,114-123,"Vitamin d deficiency in emerging adulthood is associated with obesity and cardiometabolic and bone risk: a cohort study
",01/03/2014,01/03/2014,"R. Burrows / B. Angel, C. Albala",Dirección,FONDECYT,Regular
14,PIA-ANSOC14-005,Hacia el desarrollo de políticas públicas inclusivas basadas en el desarrollo de ciudades amigables con las personas mayores en situación vulnerable,01/08/2014,01/08/2014,"C. Albala, M. Pizzi",Universidad Católica de Chile,Programa de Investigación Asociativa,Concurso Anillos en Ciencias Sociales
15,FONDAP-01,Centro interdisciplinario de Investigación en Envejecimiento,01/03/2014,01/03/2014,"E. Jaimovich / P. Osorio, M. Pizzi, D. Bunout, M. Núñez, M. Hidalgo, M. Bustamante, S. Buvinic, B. Espinosa, M. Casas, C. Albala, B. Angel, A. Paula Lima, G. Fasce, A. Slachevsky, O. Arteaga, M. Rojas, M. Behrens, P. Fuentes",Programa de Biología Celular y Molecular,FONDAP,Programa FONDAP
16,1130947,"Disentangling the complex relationship between obesity and dementia
",01/03/2013,01/03/2017,C. Albala,Dirección,FONDECYT,Regular
17,3130720,"Nuevo criterio para diagnosticar Síndrome Metabólico en escolares y adolescentes chilenos, según contenido de grasa corporal total como riesgo biológico",01/10/2012,01/10/2012,C. Albala,Epidemiología,FONDECYT,Postdoctorado
18,3100114,"Perfil inflamatorio en la diabetes tipo 2 y su interracion con polimorfismos del receptor de vitamina D, posible modulador de la vitamina D",01/10/2009,01/09/2011,B. Angel / C. Albala,Dirección,FONDECYT,Postdoctorado
19,1080589,Expectativa de vida saludable y su relación con obesidad en adultos mayores chilenos,01/03/2008,01/03/2012,C. Albala,Dirección,FONDECYT,Regular
20,1070592,Impacto funcional de la deficiencia subclínica de vitamina b12 sobre las esferas cognitiva y de neuroconducción en adultos mayores: evaluación controlada de un programa de suplementación,01/03/2007,01/03/2010,"R. Uauy / C. Albala, M. Lavados",Dirección,FONDECYT,Regular
21,P1,Domeyko Salud: Envejecimiento,01/11/2007,01/11/2010,"D. Bunout / P. Osorio, I. Morales, M. Jirón, C. Albala, I. Espinoza, M. Pizzi",Dirección,Fondo Central de Investigación,Programa Domeyko
22,SA06I10441,"Validación poblacional del instrumento de evaluación de funcionalidad del adulto Mayor (EFAM), en uso en la atención primaria de salud y evaluación de su impacto como programa de screening de riesgo de pérdida de funcionalidad del adulto mayor",01/12/2006,01/12/2006,C. Albala,Dirección,CONICYT/MINSAL,FONIS-Proyectos I&D
23,1061096,Variación genética en los receptores 3 y 4 de melanocortina: Asociación con la obesidad de niños y adolescentes en un estudio intrafamiliar,01/03/2006,01/03/2009,"C. Albala, R. Burrows, F. Pérez, S. Weisstaub",Dirección,FONDECYT,Regular
24,SA06I10562,Sindrome Metabólico X en preescolares: Prevalencia e indicadores antropométricos más sensibles para su pesquisa. Bases para un estudio costo utilidad de la prevención temprana de las enfermedades crónicas del adulto,01/12/2006,01/12/2006,"R. Burrows / C. Albala, S. Weisstaub",Dirección,CONICYT/MINSAL,FONIS-Proyectos I&D
25,1051006,Efecto del micropolimorfismo de la Heme Oxigenasa 1 en la asosciación entre depósitos de hierro y diabetes mellitus tipo 2,01/03/2005,01/03/2008,M. Arredondo / C. Albala,Dirección,FONDECYT,Regular
26,WT1,"Cost-effectiveness Evaluation of a Nutrition supplementation and EXercise programme for older people in Santiago, Chile CENEX",01/12/2005,01/12/2009,R. Uauy / C. Albala,Dirección,Wellcome Trust,Egrants
27,SA04I2091,"Indicadores Antropométricos, composición corporal y limitaciones funcionales en ancianos. Determinación y validación de puntos de corte",01/12/2004,01/12/2005,"C. Albala / M. Méndez, F. Pérez",Dirección,CONICYT/MINSAL,FONIS-Proyectos I&D
28,FO-PRE-026,Prevención de Diabetes tipo 2 en población de alto riesgo a través de una intervención alimentario-conductual en centros de atención primaria,01/12/2004,01/12/2005,"C. Albala, M. Méndez",Departamento de Nutrición Pública,CONICYT/MINSAL,FONIS-Proyectos I&D
29,1040877,El papel de la angiotensina II generada por el tejido adiposo humano en el control de la formación de nuevos adipocitos,01/03/2004,01/03/2007,C. Albala,Dirección,FONDECYT,Regular
30,SOC-20/04,Actitudes y creencias respecto a la obesidad en adolescentes de ambos sexos y docentes de liceos de N.S.E medio de la Región Metropolitana,01/03/2004,01/03/2004,C. Albala,Departamento de Nutrición Pública,Fondo Central de Investigación,"CS. SOCIALES, HUMANIDADES Y EDUCACION"
31,1030680,Interacción entre polimorfismo del receptor de vitamina D (VDR) y marcadores inmunogenéticos HLA-DQB1* en la diabetes tipo 1: Posible rol modulador de la vitamina D,01/03/2003,01/03/2006,"F. Pérez / D. García, C. Albala",Dirección,FONDECYT,Regular
32,1020703,Asociación del polimorfismo de Ala54thr de la proteína ligante de ácidos grasos (FABP2) con Insulino Resistencia: Posible efecto mediador de TNFc,01/03/2002,01/03/2005,"C. Albala / F. Pérez, C. Liberman",Dirección,FONDECYT,Regular
33,TNAC-03-02/01,"Polimorfismos del receptor beta 2 adrenérgico: diversidad genética y asociación con obesidad e hipertensión en la población general de Santiago, Aymará de la I región y Mapuche de la IX región",01/12/2001,01/12/2001,"C. Albala, F. Pérez",Epidemiología,Fondo Central de Investigación,CONCURSO EN TEMAS NACIONALES
34,ETNIAS-01,Epidemiología molecular de la obesidad en población mapuche de Chile. Influencia del polimorfismo TNF-2 sobre los niveles de leptina y TNF-alfa,01/03/2000,01/03/2000,F. Pérez / C. Albala,Departamento de Nutrición Pública,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN ETNIAS INDIGENAS
35,1000944,"Interacción entre factores nutricionales, genéticos e inmunológicos en la patogenesis de la diabetes tipo 1 en Chile: diseño de casos y padres como controles",01/03/2000,01/03/2003,F. Pérez / C. Albala,Dirección,FONDECYT,Regular
36,SALUD-19,"Tendencias y caracterización de consumidores, mayores de 15 años, de productos para bajar de peso en la Región Metropolitana",01/10/2000,01/10/2001,"M. Jirón, C. Albala",Departamento de Ciencias y Tecnología Farmacéutica,Fondo Central de Investigación,CONCURSO EXTRAORDINARIO EN SALUD
37,E012-97/2,Un conjunto de programas informáticos interactivos para el aprendizaje de bioestadística y epidemiología molecular,01/03/1997,01/03/1997,C. Albala,Epidemiología,Fondo Central de Investigación,EDUCACION
38,1970204,Interacción entre marcadores inmunogéneticos e infecciones virales en el desarrollo de diabetes mellitus insulino-dependiente en un diseño de casos y padres como controles,01/03/1997,01/03/2000,C. Albala,Dirección,FONDECYT,Regular
39,1960994,Acción estrogénica versus antiestrogénica de los fitoestrógenos: una alternativa para la terapia de sustitución hormonal en la prevención de enfermedades cardiovasculares en la mujer postmenopaúsica,01/03/1996,01/03/1999,"L. Valladares / A. Ronco, C. Albala",Dirección,FONDECYT,Regular
40,95CH/302/003,"Los niveles de Cobre, cinc y hierro en pacientes ancianos con enfermedades crónicas",01/12/1995,01/12/1997,C. Albala / F. Vio,Dirección,Centro de Investigaciones Minero Metalúrgicas,CIMM
41,1940327,Obesidad: factor protector de la osteoporosis postmenopáusica,01/03/1994,01/03/1996,C. Albala,Dirección,FONDECYT,Regular
42,94CH/302/001,El cobre y las enfermedades cardiovasculares,01/12/1994,01/12/1996,C. Albala / F. Vio,Dirección,Centro de Investigaciones Minero Metalúrgicas,CIMM
43,1920676,Transición epidemiológica: situación de Chile en el contexto americano,01/03/1992,01/03/1993,C. Albala / F. Vio,Dirección,FONDECYT,Regular
44,1911046,Método de dilución isotópica con deuterio en la validación de antropometría en ancianos,01/03/1991,01/03/1992,C. Albala / F. Vio,Dirección,FONDECYT,Regular
45,1240272,Role of vitamin d supplementation to improve the cognitive functions: effect of dna methylation in promoter regions of genes involved in cognitive performance of children during school years,01/07/2023,01/07/2023,"F. Pérez / M. Arredondo, S. Reyes, C. Algarin",Dirección,FONDECYT,Regular
46,1231625,Understanding the neurobiological determinants of nutrition-related decisions in overweight caregiver-child dyads,01/08/2022,01/08/2022,"S. Reyes / P. Peirano, C. Algarin",Departamento de Nutrición Humana y Clínica,FONDECYT,Regular
