,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,11241420,"Impact of bacteriophage resistance in fitness of Xanthomonas arboricola pv juglandis strains non-susceptible to conventional pesticides (copper and antibiotics), walnut trees isolated",01/05/2023,01/05/2023,G. Higuera,Dirección,FONDECYT,Iniciación en Investigación
1,ID23I10273,Detección en campo y control biológico del Xanthomonas arboricola pv corylina en avellano europeo (Corylus avellana L.) en Chile,01/05/2023,01/05/2025,N. Fiore / G. Higuera,Departamento de Sanidad Vegetal,FONDEF,IDEA
2,ID21I10188,Mejoramiento de las bases para el control de Piscirickettsia salmonis en el cultivo de salmones mediante un formulado basado en bacteriófagos,01/04/2021,01/04/2021,"J. Romero / G. Higuera, R. Opazo",Dirección,FONDEF,IDEA
3,ID21I10070,Detección en campo y control biológico de Xanthomonas arboricola pv. corylina en avellano europeo (Corylus avellana L.) en Chile,01/04/2021,01/04/2021,"N. Fiore / G. Higuera, A. Zamorano",Departamento de Sanidad Vegetal,FONDEF,IDEA
4,11200958,"Impact of bacteriophage resistance in fitness of Xanthomonas arboricola pv juglandis strains non-susceptible to conventional pesticides (copper and antibiotics), walnut trees isolated",01/05/2020,01/05/2020,G. Higuera,Alimentos y Biotecnología,FONDECYT,Iniciación en Investigación
5,3200928,Caracterización de la estructura del terroir microbiano asociado a cultivar País y su contribución al perfil aromático del vino,01/03/2020,01/03/2023,G. Higuera,Dirección,FONDECYT,Postdoctorado
6,ID20I10113,Mejoramiento de las bases para el control de Piscirickettsia salmonis en el cultivo de salmones mediante un formulado basado en bacteriófagos,01/05/2020,01/05/2020,"J. Romero / G. Higuera, R. Opazo",Dirección,FONDEF,IDEA
7,1200523,"Endolysins: new tools to control vibrio in marine fish larvae, their effects on microbiota and fish larvae survival",01/03/2020,01/03/2023,J. Romero / G. Higuera,Dirección,FONDECYT,Regular
8,UI-038/19,Desarrollo de formulados en base a bacteriófagos y sus endolisinas para su aplicación en inocuidad alimentaria y la agroindustria,01/10/2019,01/10/2021,G. Higuera,Alimentos y Biotecnología,Fondo Central de Investigación,U-INICIA
9,UI_2018_28,¿Bacteriófagos y sus enzimas como una alternativa bactericida contra Pseudomonas syringae pv syringae¿,01/07/2018,01/07/2018,G. Higuera,Dirección,Fondo Central de Investigación,U-INICIA
10,IT17I0023,Escalamiento y validación de una nueva formulación biocontroladora en base a bacteriófagos para el control de Peste Negra del Nogal,01/12/2017,01/12/2019,J. Romero / G. Higuera,Dirección,FONDEF,IDEA
11,PAI79170055,Biología de los bacteriófagos y sus potenciales aplicaciones biotecnológicas: integración de conocimientos básicos y aplicados para mejoramiento de la educación en biotecnología de alimentos,01/10/2017,01/10/2020,J. Romero / G. Higuera,Dirección,Programa de Capital Humano Avanzado,Inserción de Capital Humano en la Academia
12,3170806,Endolisinas como una alternativa bactericida contra Pseudomonas syringae pv syringae,01/04/2017,01/04/2020,G. Higuera / N. Fiore,Departamento de Sanidad Vegetal,FONDECYT,Postdoctorado
13,ID16I10291,Desarrollo de una nueva estrategia de prevención y control de mortalidades causadas por vibrosis en hatcheries de moluscos basada en el uso de bacteriófagos,01/11/2016,01/11/2018,"J. Romero, G. Higuera",Escuela de Medicina,FONDEF,IDEA Bietapa
14,ID16I10173,Formulación bioantagonista para la prevención y control de Cáncer Bacterial en cerezo,01/09/2016,01/09/2016,J. Romero / G. Higuera,Dirección,FONDEF,IDEA Bietapa
15,14IDL2-29770,Desarrollo de un nuevo bactericida biológico para el control de Cáncer Bacterial (Pseudomonas syringae pv. syringae) en carozos,01/09/2015,01/09/2017,J. Romero / G. Higuera,Dirección,INNOVA,Proyecto de I+D Aplicada
16,1240430,Unveiling Host-Microbe Interactions: Exploring the Interface Between Microbiome and miRNAome in Yellowtail Larvae Cultivated in Northern Chile,01/07/2023,01/07/2023,"J. Romero / A. Villasante, J. López",Dirección,FONDECYT,Regular
17,UI-014/23,Desarrollo de un recubrimiento comestible antioxidante y antimicrobiano mediante la combinación de las técnicas de encapsulación en liposomas y electrohilado,01/07/2023,01/07/2023,J. López,Alimentos y Biotecnología,Fondo Central de Investigación,U-INICIA
18,85220046,Mejoramiento de la docencia e investigación en tecnología de alimentos,01/10/2022,01/10/2025,J. López / J. Romero,Dirección,Programa de Capital Humano Avanzado,Subvención a la Instalación en la Academia
19,3220441,Desarrollo de alimentos funcionales mediante la adición de nanovehículos que encapsulen proantocianidinas de semillas de uva: evaluación in vitro e in vivo del potencial antioxidante en modelos relevantes,01/04/2022,01/04/2025,J. López / F. Oyarzún,Departamento de Ciencias y Tecnología Farmacéutica,FONDECYT,Postdoctorado
20,1241381,"Bringing Lluteño, a maize landrace from northern Chile with high salt and boron tolerance, out of the dark: genome sequencing and identification of traits of agronomic importance",01/08/2023,01/08/2023,I. Pacheco,,FONDECYT,Regular
