,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Zamorano, A; Zuniga, T; Cordova, P; Higuera, G; Bertaccini, A; Fiore, N",Pantoea agglomerans-Induced Dieback in Pistachio in Chile,2022,HORTICULTURAE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/horticulturae8111052,10.3390/horticulturae8111052
1,"Cordova, P; Rivera-Gonzalez, JP; Rojas-Martinez, V; Villarreal, P; Zamorano, A; Fiore, N; San Martin, D; Vera, F; Galvez, E; Romero, J; Barrueto, J; Ilabaca-Diaz, C; Higuera, G",Antimicrobial Multiresistant Phenotypes of Genetically Diverse Pseudomonas spp. Isolates Associated with Tomato Plants in Chilean Orchards,2022,HORTICULTURAE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/horticulturae8080750,10.3390/horticulturae8080750
2,"Garcia, R; Latz, S; Romero, J; Higuera, G; Garcia, K; Bastias, R",Bacteriophage Production Models: An Overview,2019,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmicb.2019.01187,10.3389/fmicb.2019.01187
3,"Plaza, N; Castillo, D; Perez-Reytor, D; Higuera, G; Garcia, K; Bastias, R",Bacteriophages in the control of pathogenic vibrios,2018,ELECTRONIC JOURNAL OF BIOTECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ejbt.2017.10.012,10.1016/j.ejbt.2017.10.012
4,"Higuera, G; Gonzalez-Escalona, N; Veliz, C; Vera, F; Romero, J",Draft genome sequences of four Xanthomonas arboricola pv. juglandis strains associated with walnut blight in Chile,2015,MICROBIOLOGY RESOURCE ANNOUNCEMENTS,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1128/genomeA.01160-15,10.1128/genomeA.01160-15
5,"Yanez, R;Bastias, R;Higuera, G;Salgado, O;Katharios, P;Romero, J;Espejo, R;Garcia, K",Amplification of tlh gene in other Vibrionaceae specie by specie-specific multiplex PCR of Vibrio parahaemolyticus,2015,ELECTRONIC JOURNAL OF BIOTECHNOLOGY,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ejbt.2015.09.007,10.1016/j.ejbt.2015.09.007
6,"Garcia, K; Ramirez-Araya, S; Diaz, A; Reyes-Cerpa, S; Espejo, RT; Higuera, G; Romero, J",Inactivated E. coli transformed with plasmids that produce dsRNA against infectious salmon anemia virus hemagglutinin show antiviral activity when added to infected ASK cells,2015,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmicb.2015.00300,10.3389/fmicb.2015.00300
7,"Romero J., Higuera G., Gajardo F., Castillo D., Middleboe M., García K., Ramírez C., Espejo R.T.",Complete genome sequence of Vibrio anguillarum phage CHOED successfully used for phage therapy in aquaculture,2014,Genome Announcements,SCOPUS/UCH/VID,http://dx.doi.org/10.1128/genomeA.00091-14,10.1128/genomeA.00091-14
8,"Díaz, Álvaro; García Jara, Katherine; Navarrete, Andrea; Higuera Guajardo, Gastón; Romero Ormazábal, Jaime",Virtual screening of gene expression regulatory sites in non-coding regions of the infectious salmon anemia virus,2014,BMC RESEARCH NOTES,SCOPUS/UCH/VID,,
9,"Mellado, A; Garcia, K; Uribe, P; Bastias, R; Espejo, RT; Higuera, G; Torres, R",Rise and fall of pandemic Vibrio parahaemolyticus serotype O3:K6 in southern Chile,2013,ENVIRONMENTAL MICROBIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1111/j.1462-2920.2012.02883.x,10.1111/j.1462-2920.2012.02883.x
