,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Mandakovic, D; Aguado-Norese, C; Garcia-Jimenez, B; Hodar, C; Maldonado, JE; Gaete, A; Latorre, M; Wilkinson, MD; Gutierrez, RA; Cavieres, LA; Medina, J; Cambiazo, V; Gonzalez, M",Testing the stress gradient hypothesis in soil bacterial communities associated with vegetation belts in the Andean Atacama Desert,2023,Environmental Microbiome,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s40793-023-00486-w,10.1186/s40793-023-00486-w
1,"Maracaja-Coutinho, V; Di Genova, A; Siegel, A; Latorre, M",Editorial: Applications of biological networks in biomedicine,2023,FRONTIERS IN MOLECULAR BIOSCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmolb.2022.1005183,10.3389/fmolb.2022.1005183
2,"Guajardo-Correa, E; Silva-Aguero, JF; Calle, X; Chiong, M; Henriquez, M; Garcia-Rivas, G; Latorre, M; Parra, V",Estrogen signaling as a bridge between the nucleus and mitochondria in cardiovascular diseases,2022,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fcell.2022.968373,10.3389/fcell.2022.968373
3,"Vasquez, L; Parra, A; Quesille-Villalobos, AM; Galvez, G; Navarrete, P; Latorre, M; Toro, M; Gonzalez, M; Reyes-Jara, A",Cobalamin cbiP mutant shows decreased tolerance to low temperature and copper stress in Listeria monocytogenes,2022,BIOLOGICAL RESEARCH,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.1186/s40659-022-00376-4,10.1186/s40659-022-00376-4
4,"Galvez, G; Ortega, J; Fredericksen, F; Aliaga-Tobar, V; Parra, V; Reyes-Jara, A; Pizarro, L; Latorre, M",Co-occurrence Interaction Networks of Extremophile Species Living in a Copper Mining Tailing,2022,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmicb.2021.791127,10.3389/fmicb.2021.791127
5,"DebRoy, S; Aliaga-Tobar, V; Galvez, G; Arora, S; Liang, XW; Horstmann, N; Maracaja-Coutinho, V; Latorre, M; Hook, M; Flores, AR; Shelburne, SA",Genome-wide analysis of in vivo CcpA binding with and without its key co-factor HPr in the major human pathogen group A Streptococcus,2021,MOLECULAR MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/mmi.14667,10.1111/mmi.14667
6,"Cortes, MP; Acuna, V; Travisany, D; Siegel, A; Maass, A; Latorre, M",Integration of Biological Networks forAcidithiobacillus thiooxidansDescribes a Modular Gene Regulatory Organization of Bioleaching Pathways,2020,FRONTIERS IN MOLECULAR BIOSCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmolb.2019.00155,10.3389/fmolb.2019.00155
7,"Mandakovic, D; Cintolesi, A; Maldonado, J; Mendoza, SN; Aite, M; Gaete, A; Saitua, F; Allende, M; Cambiazo, V; Siegel, A; Maass, A; Gonzalez, M; Latorre, M",Genome-scale metabolic models of Microbacterium species isolated from a high altitude desert environment,2020,SCIENTIFIC REPORTS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1038/s41598-020-62130-8,10.1038/s41598-020-62130-8
8,"Travisany, D; Goles, E; Latorre, M; Cortes, MP; Maass, A",Generation and robustness of Boolean networks to model Clostridium difficile infection,2020,NATURAL COMPUTING,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s11047-019-09730-0,10.1007/s11047-019-09730-0
9,"Khan, A; Davlieva, M; Panesso, D; Rincon, S; Miller, WR; Diaz, L; Reyes, J; Cruz, MR; Pemberton, O; Nguyen, AH; Siegel, SD; Planet, PJ; Narechania, A; Latorre, M; Rios, R; Singh, KV; Hung, TT; Garsin, DA; Tran, TT; Shamoo, Y; Arias, CA",Antimicrobial sensing coupled with cell membrane remodeling mediates antibiotic resistance and virulence in Enterococcus faecalis,2019,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1073/pnas.1916037116,10.1073/pnas.1916037116
10,"Quesille-Villalobos, AM; Parra, A; Maze, F; Navarrete, P; Gonzalez, M; Latorre, M; Toro, M; Reyes-Jara, A",The Combined Effect of Cold and Copper Stresses on the Proliferation and Transcriptional Response of Listeria monocytogenes,2019,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmicb.2019.00612,10.3389/fmicb.2019.00612
11,"Latorre, M; Burkhead, JL; Hodar, C; Arredondo, M; Gonzalez, M; Araya, M",Chronic copper treatment prevents the liver critical balance transcription response induced by acetaminophen,2019,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.jtemb.2019.02.007,10.1016/j.jtemb.2019.02.007
12,"del Pozo, T; Miranda, S; Latorre, M; Olivares, F; Pavez, L; Gutierrez, R; Maldonado, J; Hinrichsen, P; Defilippi, BG; Orellana, A; Gonzalez, M",Comparative Transcriptome Profiling in a Segregating Peach Population with Contrasting Juiciness Phenotypes,2019,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1021/acs.jafc.8b05177,10.1021/acs.jafc.8b05177
13,"Latorre M., Troncoso R., Uauy R.",Biological aspects of copper,2018,Clinical and Translational Perspectives on WILSON DISEASE,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/B978-0-12-810532-0.00004-5,10.1016/B978-0-12-810532-0.00004-5
14,"Meacham, KA; Cortes, MP; Wiggins, EM; Maass, A; Latorre, M; Ralle, M; Burkhead, JL",Altered zinc balance in the Atp7b-/- mouse reveals a mechanism of copper toxicity in Wilson disease,2018,METALLOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1039/c8mt00199e,10.1039/c8mt00199e
15,"Latorre, M; Quenti, D; Travisany, D; Singh, KV; Murray, BE; Maass, A; Cambiazo, V",The Role of Fur in the Transcriptional and Iron Homeostatic Response of Enterococcus faecalis,2018,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmicb.2018.01580,10.3389/fmicb.2018.01580
16,"Hart, A; Cortes, MP; Latorre, M; Martinez, S",Codon usage bias reveals genomic adaptations to environmental conditions in an acidophilic consortium,2018,PLOS ONE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1371/journal.pone.0195869,10.1371/journal.pone.0195869
17,"Aite, M; Chevallier, M; Frioux, C; Trottier, C; Got, J; Cortes, MP; Mendoza, SN; Carrier, G; Dameron, O; Guillaudeux, N; Latorre, M; Loira, N; Markov, GV; Maass, A; Siegel, A","Traceability, reproducibility and wiki-exploration for ¿à-la-carte¿ reconstructions of genome-scale metabolic models",2018,PLOS COMPUTATIONAL BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1371/journal.pcbi.1006146,10.1371/journal.pcbi.1006146
18,"Mandakovic, D; Rojas, C; Maldonado, J; Latorre, M; Travisany, D; Delage, E; Bihouee, A; Jean, G; Diaz, FP; Fernandez-Gomez, B; Cabrera, P; Gaete, A; Latorre, C; Gutierrez, RA; Maass, A; Cambiazo, V; Navarrete, SA; Eveillard, D; Gonzalez, M",Structure and co-occurrence patterns in microbial communities under acute environmental stress reveal ecological factors fostering resilience,2018,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41598-018-23931-0,10.1038/s41598-018-23931-0
19,"Figueroa, M; Fernandez, V; Arenas-Salinas, M; Ahumada, D; Munoz-Villagran, C; Cornejo, F; Vargas, E; Latorre, M; Morales, E; Vasquez, C; Arenas, F",Synthesis and Antibacterial Activity of Metal(loid) Nanostructures by Environmental Multi-Metal(loid) Resistant Bacteria and Metal(loid)-Reducing Flavoproteins,2018,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmicb.2018.00959,10.3389/fmicb.2018.00959
20,"Acuna, M; Castro-Fernandez, V; Latorre, M; Castro, J; Schuchman, EH; Guixe, V; Gonzalez, M; Zanlungo, S",Structural and functional analysis of the ASM p.Ala359Asp mutant that causes acid sphingomyelinase deficiency,2016,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.bbrc.2016.09.096,10.1016/j.bbrc.2016.09.096
21,"DebRoy, S; Saldana, M; Travisany, D; Montano, A; Galloway-Pena, J; Horstmann, N; Yao, H; Gonzalez, M; Maass, A; Latorre, M; Shelburne, SA",A Multi-Serotype Approach Clarifies the Catabolite Control Protein A Regulon in the Major Human Pathogen Group A Streptococcus,2016,SCIENTIFIC REPORTS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/srep32442,10.1038/srep32442
22,"Latorre, M; Cortes, MP; Travisany, D; Di Genova, A; Budinich, M; Reyes-Jara, A; Hodar, C; Gonzalez, M; Parada, P; Bobadilla-Fazzini, RA; Cambiazo, V; Maass, A",The bioleaching potential of a bacterial consortium,2016,BIORESOURCE TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.biortech.2016.07.012,10.1016/j.biortech.2016.07.012
23,"del Pozo, T; Gutierrez-Garcia, R; Latorre, M; Gonzalez, M; Suazo, M",Identification of reference genes for quantitative real-time PCR studies in human cell lines under copper and zinc exposure,2016,BIOMETALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10534-016-9965-x,10.1007/s10534-016-9965-x
24,"Bordron, P;Latorre, M;Cortes, MP;Gonzalez, M;Thiele, S;Siegel, A;Maass, A;Eveillard, D",Putative bacterial interactions from metagenomic knowledge with an integrative systems ecology approach,2016,MICROBIOLOGYOPEN,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/mbo3.315,10.1002/mbo3.315
25,"Cordero, N; Maza, F; Navea-Perez, H; Aravena, A; Marquez-Fontt, B; Navarrete, P; Figueroa, G; Gonzalez, M; Latorre, M; Reyes-Jara, A",Different Transcriptional Responses from Slow and Fast Growth Rate Strains of Listeria monocytogenes Adapted to Low Temperature,2016,FRONTIERS IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fmich.2016.00229,10.3389/fmich.2016.00229
26,"Latorre, M; Ehrenfeld, N; Cortes, MP; Travisany, D; Budinich, M; Aravena, A; Gonzalez, M; Bobadilla-Fazzini, RA; Parada, P; Maass, A",Global transcriptional responses of Acidithiobacillus ferrooxidans Wenelen under different sulfide minerals,2016,BIORESOURCE TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.biortech.2015.09.110,10.1016/j.biortech.2015.09.110
27,"Latorre, M;Quesille-Villalobos, AM;Maza, F;Parra, A;Reyes-Jara, A",Synergistic effect of copper and low temperature over Listeria monocytogenes,2015,BIOMETALS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s10534-015-9891-3,10.1007/s10534-015-9891-3
28,"Mandakovic, D; Cabrera, P; Pulgar, R; Maldonado, J; Aravena, P; Latorre, M; Cambiazo, V; Gonzalez, M","Complete genome sequence of Microbacterium sp CGR1, bacterium tolerant to wide abiotic conditions isolated from the Atacama Desert",2015,JOURNAL OF BIOTECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jbiotec.2015.10.020,10.1016/j.jbiotec.2015.10.020
29,"Tallino, S; Duffy, M; Ralle, M; Cortes, MP; Latorre, M; Burkhead, JL","Nutrigenomics analysis reveals that copper deficiency and dietary sucrose up-regulate inflammation, fibrosis and lipogenic pathways in a mature rat model of nonalcoholic fatty liver disease",2015,JOURNAL OF NUTRITIONAL BIOCHEMISTRY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jnutbio.2015.04.009,10.1016/j.jnutbio.2015.04.009
30,"Latorre, M; Low, M; Garate, E; Reyes-Jara, A; Murray, BE; Cambiazo, V; Gonzalez, M",Interplay between copper and zinc homeostasis through the transcriptional regulator Zur in Enterococcus faecalis,2015,METALLOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1039/c5mt00043b,10.1039/c5mt00043b
31,"Quiroz, N; Rivas, N; del Pozo, T; Burkhead, J; Suazo, M; Gonzalez, M; Latorre, M",Transcriptional activation of glutathione pathways and role of glucose homeostasis during copper imbalance,2015,BIOMETALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10534-015-9834-z,10.1007/s10534-015-9834-z
32,"Travisany, D; Cortes, MP; Latorre, M; Di Genova, A; Budinich, M; Bobadilla-Fazzini, RA; Parada, P; Gonzalez, M; Maass, A",A new genome of Acidithiobacillus thiooxidans provides insights into adaptation to a bioleaching environment,2014,RESEARCH IN MICROBIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.resmic.2014.08.004,10.1016/j.resmic.2014.08.004
33,"Latorre, M;Galloway-Pena, J;Roh, JH;Budinich, M;Reyes-Jara, A;Murray, BE;Maass, A;Gonzalez, M",Enterococcus faecalis reconfigures its transcriptional regulatory network activation at different copper levels,2014,METALLOMICS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1039/c3mt00288h,10.1039/c3mt00288h
34,"Lopez, G; Latorre, M; Reyes-Jara, A; Cambiazo, V; Gonzalez, M",Transcriptomic response of Enterococcus faecalis to iron excess,2012,BIOMETALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10534-012-9539-5,10.1007/s10534-012-9539-5
35,"Galloway-Pena, J;Roh, JH;Latorre, M;Qin, X;Murray, BE",Genomic and SNP Analyses Demonstrate a Distant Separation of the Hospital and Community-Associated Clades of Enterococcus faecium,2012,PLOS ONE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1371/journal.pone.0030187,10.1371/journal.pone.0030187
