,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Algarin, C; Reyes, S; Lozoff, B; Peirano, P",Chronotype and resting-state connectivity networks in Chilean young adults,2022,JOURNAL OF SLEEP RESEARCH,ISI/UCH/VID,http://dx.doi.org/10.1111/jsr.13740,10.1111/jsr.13740
1,"Reyes, S; Algarin, C; Lozoff, B; Peirano, P","Nighttime sleep, chronotype and behavioral characteristics in chilean young adults",2022,JOURNAL OF SLEEP RESEARCH,ISI/UCH/VID,http://dx.doi.org/10.1111/jsr.13740,10.1111/jsr.13740
2,"Cecilia, A; Patricio, P; Donna, C; Rakibul, H; Sussanne, R; Betsy, L; Bharat, B",Cognitive control inhibition networks in adulthood are impaired by early iron deficiency in infancy,2022,NEUROIMAGE-CLINICAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.nicl.2022.103089,10.1016/j.nicl.2022.103089
3,"Reyes, S; Rimkus, CD; Lozoff, B; Algarin, C; Peirano, P",Nighttime Sleep Characteristics and White Matter Integrity in Young Adults,2022,NATURE AND SCIENCE OF SLEEP,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.2147/NSS.S360311,10.2147/NSS.S360311
4,"Algarin, C; Reyes, S; Lozoff, B; Peirano, P",PROSPECTIVE ASSOCIATION BETWEEN SLEEP-WAKE PATTERNS IN ADOLESCENCE AND BEHAVIOR CHARACTERISTICS IN YOUNG ADULTHOOD,2022,SLEEP MEDICINE,ISI/UCH/VID,http://dx.doi.org/10.1016/j.sleep.2022.05.245,10.1016/j.sleep.2022.05.245
5,"Reyes, S; Algarin, C; Lozoff, B; Peirano, P",SLEEP AND MENTAL HEALTH IN CHILEAN YOUNG ADULTS,2022,SLEEP MEDICINE,ISI/UCH/VID,http://dx.doi.org/10.1016/j.sleep.2022.05.251,10.1016/j.sleep.2022.05.251
6,"Colombo, J; Carlson, SE; Algarin, C; Reyes, S; Chichlowski, M; Harris, CL; Wampler, JL; Peirano, P; Berseth, CL",Developmental effects on sleep-wake patterns in infants receiving a cow's milk-based infant formula with an added prebiotic blend: a Randomized Controlled Trial,2021,PEDIATRIC RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41390-020-1044-x,10.1038/s41390-020-1044-x
7,"Reyes, S; Peirano, P; Lozoff, B; Algarin, C",Prediction of white matter integrity pattern in overweight and obese adults,2020,PROCEEDINGS OF THE NUTRITION SOCIETY,ISI/UCH/VID,http://dx.doi.org/10.1017/S0029665120001378,10.1017/S0029665120001378
8,"Reyes, S; Rimkus, CD; Lozoff, B; Biswal, BB; Peirano, P; Algarin, C",Assessing cognitive control and the reward system in overweight young adults using sensitivity to incentives and white matter integrity,2020,PLOS ONE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1371/journal.pone.0233915,10.1371/journal.pone.0233915
9,"Reyes, S; Algarin, C; Lozoff, B; Peirano, P",SLEEP-WAKE PATTERNS AND WHITE MATTER INTEGRITY INFLUENCE COGNITIVE CONTROL IN YOUNG ADULTS,2019,SLEEP MEDICINE,ISI/UCH/VID,http://dx.doi.org/10.1016/j.sleep.2019.11.830,10.1016/j.sleep.2019.11.830
10,"Reyes, S; Algarin, C; Lozoff, B; Peigneux, P; Peirano, P",Sleep and motor sequence learning consolidation in former iron deficient anemic adolescents,2019,SLEEP MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.sleep.2019.05.023,10.1016/j.sleep.2019.05.023
11,"Delker, EM; East, P; Wing, D; Burrows, R; Reyes, S; Peirano, P; Algarin, C; Gahagan, S",Youth Characteristics Related to Participation in Accelerometer-Measured Physical Activity,2019,CIRCULATION,ISI/UCH/VID,http://dx.doi.org/10.1161/circ.139.suppl_1.P323,10.1161/circ.139.suppl_1.P323
12,"Reyes, S; Algarin, C; Lozoff, B; Gahagan, S; Biswal, BB; Peirano, P",Variability in habitual nighttime sleep predicts white matter integrity of neural impulsivity network,2018,JOURNAL OF SLEEP RESEARCH,ISI/UCH/VID,,
13,"Algarin, C; Reyes, S; Burrows, R; Lozoff, B; Peirano, P; Gahagan, S",Sleep/wake cycle patterns in adolescence relate to alterations in cardiovascular and metabolic health in early adulthood,2018,JOURNAL OF SLEEP RESEARCH,ISI/UCH/VID,,
14,"Reyes, S; Algarin, C; Lozoff, B; Gahagan, S; Peirano, P",WAKE-UP TIME IN ADOLESCENCE RELATES TO OVERWEIGHT RISK IN EARLY ADULTHOOD,2017,SLEEP MEDICINE,ISI/UCH/VID,http://dx.doi.org/10.1016/j.sleep.2017.11.749,10.1016/j.sleep.2017.11.749
15,"Algarin, C; Limon, XS; Reyes, S; Rojas, O; Lozoff, B; Gahagan, S; Peirano, P",COGNITIVE EXECUTIVE FUNCTIONS AND SLEEP-WAKE CYCLE (SWC) PATTERNS IN SAMPLE OF CHILEAN ADOLESCENTS,2017,SLEEP MEDICINE,ISI/UCH/VID,http://dx.doi.org/10.1016/j.sleep.2017.11.021,10.1016/j.sleep.2017.11.021
16,"Algarin, C; Karunakaran, KD; Reyes, S; Morales, C; Lozoff, B; Peirano, P; Biswal, B",Differences on Brain Connectivity in Adulthood Are Present in Subjects with Iron Deficiency Anemia in Infancy,2017,FRONTIERS IN AGING NEUROSCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnagi.2017.00054,10.3389/fnagi.2017.00054
17,"Reyes, S; Peirano, P; Peigneux, P; Lozoff, B; Algarin, C",Inhibitory control in otherwise healthy overweight 10-year-old children,2015,INTERNATIONAL JOURNAL OF OBESITY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1038/ijo.2015.49,10.1038/ijo.2015.49
18,"Reyes, S; Peirano, P; Luna, B; Lozoff, B; Algarin, C",Potential effects of reward and loss avoidance in overweight adolescents,2015,PEDIATRIC RESEARCH,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1038/pr.2015.82,10.1038/pr.2015.82
19,"Morales Carrasco, Cristian; Held Barrandeguy, Claudio; Estevez Valencia, Pablo; Pérez Flores, Claudio; Reyes García, Sussanne; Peirano Campos, Patricio; Algarin Crespo, Cecilia",Single trial P300 detection in children using expert knowledge and SOM,2014,"2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC 2014",SCOPUS/UCH/VID,http://dx.doi.org/10.1109/EMBC.2014.6944451,10.1109/EMBC.2014.6944451
20,"Orellana López, Gabriel; Held Barrandeguy, Claudio; Estévez Valencia, Pablo; Pérez Flores, Claudi; Reyes García, Sussanne; Algarin Crespo, Cecilia; Peirano Campos, Patricio",A balanced sleep/wakefulness classification method based on actigraphic data in adolescents,2014,"2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC 2014",SCOPUS/UCH/VID,http://dx.doi.org/10.1109/EMBC.2014.6944547,10.1109/EMBC.2014.6944547
21,"Duran, S; Ulloa, A; Reyes, S",Nutrient intake of Chilean older people according to body mass index,2014,REVISTA MEDICA DE CHILE,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872014001200013,10.4067/S0034-98872014001200013
