,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1241629,Preoperative Nicotinamide supplementation prevents cognitive impairment by reducing neuroinflammation and metabolic failure after surgery in older adults,01/08/2023,01/08/2023,"F. Salech / M. Behrens, R. Bravo, R. Díaz, G. Barrientos",Departamento de Neurociencias,FONDECYT,Regular
1,1240587,Mitochondrial OGG1 as a protector against paracrine senescence mediated by mitochondria-derived extracellular vesicles,01/07/2023,01/07/2023,"R. Bravo / J. Riquelme, V. Parra",Dirección,FONDECYT,Regular
2,1231156,Unraveling the synergy of polyphenolic fractions from Berberis microphylla (Calafate) over non-shivering thermogenesis in an in vivo model of obesity,01/08/2022,01/08/2022,"D. García / R. Bravo, F. Pérez, M. Cifuentes, M. Rincón",Departamento de Nutrición,FONDECYT,Regular
3,1220652,Study of the synergy of polyphenolic fractions from Berberis microphylla regarding thermogenesis induction in an in vivo model of obesity,01/08/2021,01/08/2021,"D. García / F. Pérez, M. Rincón, R. Bravo, M. Cifuentes",Departamento de Nutrición,FONDECYT,Regular
4,1220470,"Blind Spot: Overlooked Fractions, Transformations, and Functions of Phenolic Compounds from Selected Plant Food Processing By-Products",01/04/2022,01/04/2026,"A. Costa de Camargo / H. Speisky, R. Bravo",Dirección,FONDECYT,Regular
5,1211244,Study of the synergistic effect of the main polyphenolic fractions found in Calafate (Berberis microphylla) regarding thermogenesis induction in mice with high fat diet-induced obesity,01/08/2020,01/08/2020,"D. García / F. Pérez, R. Bravo, M. Rincón",Departamento de Nutrición,FONDECYT,Regular
6,1200959,The search of molecules with adipose tissue thermogenic-inducing capabilities within the Chilean native specie Berberis microphylla,01/08/2019,01/08/2019,"D. García / R. Bravo, M. Rincón, F. Pérez, A. Bustamante",Departamento de Nutrición,FONDECYT,Regular
7,11201267,Mitochondrial DNA leakage at endoplasmic reticulum-mitochondria contacts as determinant of cell senescence,01/10/2020,01/10/2023,R. Bravo,Departamento de Nutrición Pública,FONDECYT,Iniciación en Investigación
8,UI-006/19,Comunicación retículo endoplásmico-mitocondria en el envejecimiento a nivel hepático,01/10/2019,01/10/2021,R. Bravo,Departamento de Nutrición Pública,Fondo Central de Investigación,U-INICIA
9,U-REDES-G_2018-43,"Centro de innovación en sistemas de detección temprana y biocontrol de enfermedades bacterianas en frutales y hortalizas: ""URED para el estudio de la prevalencia y caracterización de Pseudomonas syringae pv syringae en huertos de cerezos y desarrollo de un biocontrolador basado en bacteriófagos""",01/10/2018,01/10/2020,R. Bravo,Dirección,Fondo Central de Investigación,Programa U-Redes: Línea 1 Incentivo a la Generación de Red
10,PAI77170004,Asociación entre el metabolismo energético celular y la calidad del envejecimiento en adultos mayores,01/10/2017,01/10/2020,M. Cifuentes / R. Bravo,Dirección,Programa de Capital Humano Avanzado,Inserción de Capital Humano en la Academia
11,3160226,Receptor sensor de calcio y sus efectos sobre inflamación y adipogénesis en preadipocitos viscerales: papel de la mitocondria,01/11/2015,01/11/2018,R. Bravo / M. Cifuentes,Nutrición Básica,FONDECYT,Postdoctorado
