,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Briones-Suarez, L; Cifuentes, M; Bravo-Sagua, R",Secretory Factors from Calcium-Sensing Receptor-Activated SW872 Pre-Adipocytes Induce Cellular Senescence and A Mitochondrial Fragmentation-Mediated Inflammatory Response in HepG2 Cells,2023,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms24065217,10.3390/ijms24065217
1,"Pino-Seguel, P; Moya, O; Borquez, JC; de la Fuente, F; Diaz-Castro, F; Donoso-Barraza, C; Llanos, M; Troncoso, R; Bravo-Sagua, R",Sucralose consumption ameliorates high-fat diet-induced glucose intolerance and liver weight gain in mice,2022,FRONTIERS IN NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnut.2022.979624,10.3389/fnut.2022.979624
2,"Morgado-Caceres, P; Liabeuf, G; Calle, X; Briones, L; Riquelme, JA; Bravo-Sagua, R; Parra, V",The aging of ER-mitochondria communication: A journey from undifferentiated to aged cells,2022,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fcell.2022.946678,10.3389/fcell.2022.946678
3,"Sepulveda-Quinenao, C; Rodriguez, JM; Diaz-Castro, F; del Campo, A; Bravo-Sagua, R; Troncoso, R",Glucocorticoid Receptor beta Overexpression Has Agonist-Independent Insulin-Mimetic Effects on HepG2 Glucose Metabolism,2022,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms23105582,10.3390/ijms23105582
4,"Rincón-Cervera M., Bravo-Sagua R., Manólio Soares Freitas R.A., López-Arana S., de Camargo A.C.","Monounsaturated and polyunsaturated fatty acids: structure, food sources, biological functions, and their preventive role against noncommunicable diseases",2021,Bioactive Food Components Activity in Mechanistic Approach,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/B978-0-12-823569-0.00005-9,10.1016/B978-0-12-823569-0.00005-9
5,"Klionsky, DJ; Abdel-Aziz, AK; Abdelfatah, S; Abdellatif, M; Abdoli, A; Abel, S; Abeliovich, H; Abildgaard, MH; Abudu, YP; Acevedo-Arozena, A; Adamopoulos, IE; Adeli, K; Adolph, TE; Adornetto, A; Aflaki, E; Agam, G; Agarwal, A; Aggarwal, BB; Agnello, M; Agostinis, P; Agrewala, JN; Agrotis, A; Aguilar, PV; Ahmad, ST; Ahmed, ZM; Ahumada-Castro, U; Aits, S; Aizawa, S; Akkoc, Y; Akoumianaki, T; Akpinar, HA; Al-Abd, AM; Al-Akra, L; Al-Gharaibeh, A; Alaoui-Jamali, MA; Alberti, S; Alcocer-Gomez, E; Alessandri, C; Ali, M; Al-Bari, MAA; Aliwaini, S; Alizadeh, J; Almacellas, E; Almasan, A; Alonso, A; Alonso, GD; Altan-Bonnet, N; Altieri, DC; Alves, S; da Costa, CA; Alzaharna, MM; Amadio, M; Amantini, C; Amaral, C; Ambrosio, S; Amer, AO; Ammanathan, V; An, ZY; Andersen, SU; Andrabi, SA; Andrade-Silva, M; Andres, AM; Angelini, S; Ann, D; Anozie, UC; Ansari, MY; Antas, P; Antebi, A; Anton, Z; Anwar, T; Apetoh, L; Apostolova, N; Araki, T; Araki, Y; Arasaki, K; Araujo, WL; Araya, J; Arden, C; Arevalo, MA; Arguelles, S; Arias, E; Arikkath, J; Arimoto, H; Ariosa, AR; Armstrong-James, D; Arnaune-Pelloquin, L; Aroca, A; Arroyo, DS; Arsov, I; Artero, R; Asaro, DML; Aschner, M; Ashrafizadeh, M; Ashur-Fabian, O; Atanasov, AG; Au, AK; Auberger, P; Auner, HW; Aurelian, L; Autelli, R; Avagliano, L; Avalos, Y; Aveic, S; Aveleira, CA; AvinWittenberg, T; Aydin, Y; Ayton, S; Ayyadevara, S; Azzopardi, M; Baba, M; Backer, JM; Backues, SK; Bae, DH; Bae, ON; Bae, SH; Baehrecke, EH; Baek, A; Baek, SH; Baek, SH; Bagetta, G; Bagniewska-Zadworna, A; Bai, H; Bai, J; Bai, XY; Bai, YD; Bairagi, N; Baksi, S; Balbi, T; Baldari, CT; Balduini, W; Ballabio, A; Ballester, M; Balazadeh, S; Balzan, R; Bandopadhyay, R; Banerjee, S; Banerjee, S; Bao, Y; Baptista, MS; Baracca, A; Barbati, C; Bargiela, A; Barila, D; Barlow, PG; Barmada, SJ; Barreiro, E; Barreto, GE; Bartek, J; Bartel, B; Bartolome, A; Barve, GR; Basagoudanavar, SH; Bassham, DC; Jr, RCB; Basu, A; Batoko, H; Batten, I; Baulieu, EE; Baumgarner, BL; Bayry, J; Beale, R; Beau, I; Beaumatin, F; Bechara, LRG; Beck, GR; Beers, MF; Begun, J; Behrends, C; Behrens, GMN; Bei, R; Bejarano, E; Bel, S; Behl, C; Belaid, A; Belgareh-Touze, N; Bellarosa, C; Belleudi, F; Perez, MB; Bello-Morales, R; Beltran, JSD; Beltran, S; Benbrook, DM; Bendorius, M; Benitez, BA; Benito-Cuesta, I; Bensalem, J; Berchtold, MW; Berezowska, S; Bergamaschi, D; Bergami, M; Bergmann, A; Berliocchi, L; Berlioz-Torrent, C; Bernard, A; Berthoux, L; Besirli, CG; Besteiro, S; Betin, VM; Beyaert, R; Bezbradica, JS; Bhaskar, K; Bhatia-Kissova, I; Bhattacharya, R; Bhattacharya, S; Bhattacharyya, S; Bhuiyan, MS; Bhutia, SK; Bi, LR; Bi, XL; Biden, TJ; Bijian, K; Billes, VA; Binart, N; Bincoletto, C; Birgisdottir, AB; Bjorkoy, G; Blanco, G; Blas-Garcia, A; Blasiak, J; Blomgran, R; Blomgren, K; Blum, JS; Boada-Romero, E; Boban, M; BoeszeBattaglia, K; Boeuf, P; Boland, B; Bomont, P; Bonaldo, P; Bonam, SR; Bonfili, L; Bonifacino, JS; Boone, BA; Bootman, MD; Bordi, M; Borner, C; Bornhauser, BC; Borthakur, G; Bosch, J; Bose, S; Botana, LM; Botas, J; Boulanger, CM; Boulton, ME; Bourdenx, M; Bourgeois, B; Bourke, NM; Bousquet, G; Boya, P; Bozhkov, PV; Bozi, LHM; Bozkurt, TO; Brackney, DE; Brandts, CH; Braun, RJ; Braus, GH; Bravo-Sagua, R; Bravo-San Pedro, JM; Brest, P; Bringer, MA; Briones-Herrera, A; Broaddus, VC; Brodersen, P; Alvarez, EMC; Brodsky, JL; Brody, SL; Bronson, PG; Bronstein, JM; Brown, CN; Brown, RE; Brum, PC; Brumell, JH; Brunetti-Pierri, N; Bruno, D; Bryson-Richardson, RJ; Bucci, C; Buchrieser, C; Bueno, M; Buitrago-Molina, LE; Buraschi, S; Buch, S; Buchan, JR; Buckingham, EM; Budak, H; Budini, M; Bultynck, G; Burada, F; Burgoyne, JR; Buron, MI; Bustos, V; Buttner, S; Butturini, E; Byrd, A; et al",Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition),2021,AUTOPHAGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/15548627.2020.1797280,10.1080/15548627.2020.1797280
6,"Eynaudi, A; Diaz-Castro, F; Borquez, JC; Bravo-Sagua, R; Parra, V; Troncoso, R",Differential Effects of Oleic and Palmitic Acids on Lipid Droplet-Mitochondria Interaction in the Hepatic Cell Line HepG2,2021,FRONTIERS IN NUTRITION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fnut.2021.775382,10.3389/fnut.2021.775382
7,"Diaz-Vesga, MC; Zuniga-Cuevas, U; Ramirez-Reyes, A; Herrera-Zelada, N; Palomo, I; Bravo-Sagua, R; Riquelme, JA",Potential Therapies to Protect the Aging Heart Against Ischemia/Reperfusion Injury,2021,FRONTIERS IN CARDIOVASCULAR MEDICINE,ISI/UCH/VID,http://dx.doi.org/10.3389/fcvm.2021.770421,10.3389/fcvm.2021.770421
8,"Bhardwaj, G; Penniman, CM; Jena, J; Beltran, PAS; Foster, C; Poro, K; Junck, TL; Hinton, AO; Souvenir, R; Fuqua, JD; Morales, PE; Bravo-Sagua, R; Sivitz, WI; Lira, VA; Abel, ED; O'Neill, BT",Insulin and IGF-1 receptors regulate complex I-dependent mitochondrial bioenergetics and supercomplexes via FoxOs in muscle,2021,JOURNAL OF CLINICAL INVESTIGATION,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1172/JCI146415,10.1172/JCI146415
9,"Lopez-Crisosto, C; Diaz-Vegas, A; Castro, PF; Rothermel, BA; Bravo-Sagua, R; Lavandero, S",Endoplasmic reticulum-mitochondria coupling increases during doxycycline-induced mitochondrial stress in HeLa cells,2021,CELL DEATH & DISEASE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1038/s41419-021-03945-9,10.1038/s41419-021-03945-9
