,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Barahona, M; Guzman, MA; Bustos, F; Rojas, G; Ramirez, M; Palma, D; Guzman, M; Barahona, MA; Zelaya, A",Concordance in Radiological Parameters of Different Knee Views After Total Knee Arthroplasty,2023,CUREUS JOURNAL OF MEDICAL SCIENCE,/UCH/VID,http://dx.doi.org/10.7759/cureus.38129,10.7759/cureus.38129
1,"Barra, BJ; Barahona, M; Varela, LF; Calvo, P; Bastidas, A; Carreno, J; Pintor, L","A Cross-Sectional, Retrospective, and Comparative Study between Delirium and Non-Delirium Psychiatric Disorders in a Psychogeriatric Inpatient Population Referred to Consultation-Liaison Psychiatry Unit",2023,MEDICINA-LITHUANIA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/medicina59040693,10.3390/medicina59040693
2,"Hinzpeter J., Barahona M., Aliste J., Barrientos C., Zamorano A., Palet M., Catalan J., Campo M.D., Lagos N.","Gonyautoxins 2/3 Local Periarticular Injection for Pain Management after Total Knee Arthroplasty: A Double-Blind, Randomized Study",2023,JOURNAL OF KNEE SURGERY,SCOPUS/UCH/VID,http://dx.doi.org/10.1055/s-0041-1735312,10.1055/s-0041-1735312
3,"Barahona, M; Carcamo, M; Barahona, M; Barrientos, C; Infante, C; Martinez, A",Access to knee arthroplasty among National Health Fund beneficiaries in Chile between 2004 and 2021,2023,MEDWAVE,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5867/medwave.2023.01.2668,10.5867/medwave.2023.01.2668
4,"Barahona, M; Carcamo, M; Barahona, M; Barrientos, C; Infante, C; Martinez, A",Efficiency estimation on the use of elective surgical theaters in the Chilean public health system from 2018 to 2021,2023,MEDWAVE,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5867/medwave.2023.03.2667,10.5867/medwave.2023.03.2667
5,"Barrientos-Mendoza, C; Branes, J; Wulf, R; Kremer, A; Barahona, M; Leon, S",The role of anterior supra-acetabular external fixator as definitive treatment for anterior ring fixation in unstable pelvic fractures,2022,EUROPEAN JOURNAL OF TRAUMA AND EMERGENCY SURGERY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s00068-021-01711-2,10.1007/s00068-021-01711-2
6,"Barahona, M; Martinez, A; Barahona, M; Ramirez, M; Barrientos, C; Infante, C","Impact of COVID-19 outbreak in knee arthroplasty in Chile: a cross-sectional, national registry-based analysis",2022,MEDWAVE,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5867/medwave.2022.04.002511,10.5867/medwave.2022.04.002511
7,"Barahona, M; Infante, CA; Palet, MJ; Barahona, MA; Barrientos, C; Martinez, A",Impact of the COVID-19 Outbreak on Orthopedic Surgery: A Nationwide Analysis of the First Pandemic Year,2021,CUREUS JOURNAL OF MEDICAL SCIENCE,ESCI/UCH/VID,http://dx.doi.org/10.7759/cureus.17252,10.7759/cureus.17252
8,"Cofre-Bolados, C; Barahona, M; Campos-Yanine, F; Ferrada-Fuentes, C; Montejo-Soler, R; Stuardo, JV; Rosemblat, M; Di Santo, M",PROTOCOL FOR MOTOR DEFICIT ORIENTED TO PREVENTION OF INJURIES IN TRAINING FOOTBALL: MOTOR TRAFFIC LIGHT UMEDEP-USACH,2021,JOURNAL OF SPORT AND HEALTH RESEARCH,SCOPUS/ESCI/UCH/VID,,
9,"Negrin, R; Ferrer, G; Iniguez, M; Duboy, J; Saavedra, M; Larrain, NR; Jabes, N; Barahona, M",Robotic-assisted surgery in medial unicompartmental knee arthroplasty: does it improve the precision of the surgery and its clinical outcomes? Systematic review,2021,JOURNAL OF ROBOTIC SURGERY,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1007/s11701-020-01162-8,10.1007/s11701-020-01162-8
