,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Valdes, E; Sepulveda-Martinez, A; Candia, P; Abusada, N; Orellana, R; Manukian, B; Cuellar, E",Metformin as a prophylactic treatment of gestational diabetes in pregnant patients with pregestational insulin resistance: A randomized study,2018,JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/jog.13477,10.1111/jog.13477
1,"Quinteros, R ; Fica, A ; Abusada, N ; Munoz, L ; Novoa, C ; Gallardo, C",Amphotericin B deoxycholate prescription and adverse events in a Chilean university hospital,2010,REVISTA CHILENA DE INFECTOLOGIA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-10182010000100004,10.4067/S0716-10182010000100004
2,"Fica, AE;Abusada, NJ",Seizures associated with ertapenem use in patients with CNS disorders and renal insufficiency,2008,SCANDINAVIAN JOURNAL OF INFECTIOUS DISEASES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1080/00365540802375570,10.1080/00365540802375570
3,"Rojas, Verónica; Romero, Carlos; Tobar, Daniel; Alvarez, Evelyn; Aranda, Rolando; Bugedo, Guillermo; Cariqueo, Marcial; Sepúlveda, M. Idalia; Sánchez, Juan Eduardo; Tobar, Eduardo","Prácticas nacionales de analgesia, sedación y delirium en las Unidades de Cuidados Intensivos de adultos en Chile",2021,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872021000600864,10.4067/s0034-98872021000600864
4,"Escobar, L; Gonzalez, C; Amador, R; Amador, J; Cariqueo, M; Rosales, R; Alvarez, F; Gomez, V; Cabello, A; Morales, J; Lara, B; Lagos, X; Arias, M; Hernandez, R; Carrasco, JP; Munoz, D; Sanchez, I; Yzoard, M; Flores, I; Torres, S; Salazar, N; Severino, N; Alvarez, O",Consensus about the duties of pharmacists in intensive care units in Chile,2018,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872018001201452,10.4067/s0034-98872018001201452
5,"Leguina-Ruzzi A., Cariqueo M., Gálvez R.",Three years after the REDOXS study: What we have learned in the use of glutamine in ICU patients?,2017,Critical Care and Shock,SCOPUS/UCH/VID,,
6,"Manriquez, V; Naser, M; Castro, D; Castro, A; Medina, L; Fasce, G",Transcutaneous Posterior Tibial Nerve Stimulation in Older Adults with Overactive Bladder,2022,INTERNATIONAL UROGYNECOLOGY JOURNAL,ISI/UCH/VID,,
7,"Manriquez, V; Naser, M; Castro, D; Castro, A; Troncoso, P","Transcutaneous Posterior Tibial Nerve Stimulation to Treat Primary Dysmenorrhea in Adolescents. Prospective, Randomized, Placebo, Controlled Trial",2022,INTERNATIONAL UROGYNECOLOGY JOURNAL,ISI/UCH/VID,,
8,"Bustos, R; Cortes, A; McNab, ME; Fuentes, E; Castro, A; Wortsman, X",Color Doppler ultrasonographic evaluation of management of papulopustular rosacea,2021,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jaad.2020.06.068,10.1016/j.jaad.2020.06.068
9,"Catalán V.V., González J.C.V., Lara A.C.",Risk of misuse of prescribed opioids in patients with chronic noncancer pain in a workers compensation system hospital in Chile,2021,Revista de la Sociedad Española del Dolor,SCIELO-otros paises /SCOPUS/UCH/VID,http://dx.doi.org/10.20986/resed.2021.3845/2020,10.20986/resed.2021.3845/2020
10,"McNab, M; Garcia, C; Tabak, D; Aranibar, L; Castro, A; Wortsman, X",Subclinical Ultrasound Characteristics of Infantile Hemangiomas That May Potentially Affect Involution,2021,JOURNAL OF ULTRASOUND IN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/jum.15489,10.1002/jum.15489
11,"Vargas, D; Goecke, A; Gatica, H; Lara, AC; Wurmann, P",Variables associated with mortality in 103 patients with anti-neutrophil cytoplasmic antibodies associated vasculitis,2020,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872020000600755,10.4067/S0034-98872020000600755
12,"Wortsman X., Calderon P., Castro A.","Seventy-MHz Ultrasound Detection of Early Signs Linked to the Severity, Patterns of Keratin Fragmentation, and Mechanisms of Generation of Collections and Tunnels in Hidradenitis Suppurativa",2020,JOURNAL OF ULTRASOUND IN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/jum.15164,10.1002/jum.15164
13,"Massardo T., Araya A.V., Prat H., Alarcón L., Berrocal I., Pino A., Cordero F., Jaimovich R., Fernández R., Herrera E., Carmona J., Castro A.","Factors associated with silent myocardial ischemia, autonomic or peripheral neuropathies, and survival in diabetes mellitus type 2 patients without cardiovascular symptoms",2020,INTERNATIONAL JOURNAL OF DIABETES IN DEVELOPING COUNTRIES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s13410-019-00758-7,10.1007/s13410-019-00758-7
14,"Contreras, AMCT; Dubo, CL; Suazo, SP; Rossi, HG; Cordero, PC; Lara, AC; Siraqyan, FS; Kiblisky, PW; Perez, FB; Carrasco, JC; Gutierrez, SS; Sariego, AG",PREVALENCE OF ANXIETY/DEPRESSION IN PATIENTS WITH RHEUMATOID ARTHRITIS AT THE UNIVERSITY OF CHILE'S CLINICAL HOSPITAL AND THEIR ASSOCIATIONS WITH DIFFERENT DISEASE ACTIVITY INDICES AND QUALITY OF LIFE,2019,JCR-JOURNAL OF CLINICAL RHEUMATOLOGY,ISI/UCH/VID,,
15,"Wortsman, X; Carreno, L; Ferreira-Wortsman, C; Poniachik, R; Pizarro, K; Morales, C; Calderon, P; Castro, A","Ultrasound Characteristics of the Hair Follicles and Tracts, Sebaceous Glands, Montgomery Glands, Apocrine Glands, and Arrector Pili Muscles",2019,JOURNAL OF ULTRASOUND IN MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/jum.14888,10.1002/jum.14888
16,"Chassin-Troubert, AM; Lillo, C; Prieto, S; Castro, A; Gatica, H; Carrasco, P; Bozan, F; Sabugo, F; Wurman, P; Cruz, J; Saavedra, S; Goecke, A",PREVALENCE OF ANXIETY/DEPRESSION IN PATIENTS WITH RHEUMATOID ARTHRITIS AT THE UNIVERSITY OF CHILE'S CLINICAL HOSPITAL AND THEIR ASSOCIATIONS WITH DISSEASE ACTIVITY INDEXES AND QUALITY OF LIFE,2019,ANNALS OF THE RHEUMATIC DISEASES,ISI/UCH/VID,http://dx.doi.org/10.1136/annrheumdis-2019-eular.8003,10.1136/annrheumdis-2019-eular.8003
17,"Urtubia-Manríquez V., Vélez-González J.C., Castro-Lara A., Castillo-Cuadros J.",Vitamin D levels in patients with traumatic spinal cord injury in Chile,2018,Rehabilitacion,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.rh.2017.09.003,10.1016/j.rh.2017.09.003
18,"Rojas, G; Guajardo, V; Martinez, P; Castro, A; Fritsch, R; Moessner, M; Bauer, S",A Remote Collaborative Care Program for Patients with Depression Living in Rural Areas: Open-Label Trial,2018,JOURNAL OF MEDICAL INTERNET RESEARCH,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.2196/jmir.8803,10.2196/jmir.8803
19,"Hofmann U., Natalia; Paolinelli G., Carlo; Castro L.., Ariel",Referral to rehabilitation services of patients discharged from a general hospital with a potentially disabling condition,2017,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/s0034-98872017001201541,10.4067/s0034-98872017001201541
20,"Valdés P., Fernanda; Manríquez G., Valentín; Naser N., Michel; Valdevenito S., Juan Pablo; Castro, Ariel; Guzmán R., Rodrigo",¿Existen diferencias entre la vía transobturadora y retropúbica en la resolución de la incontinencia de orina de esfuerzo?,2017,REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0717-75262017000500559,10.4067/s0717-75262017000500559
21,"Wortsman, X; Castro, A; Morales, C; Franco, C; Figueroa, A",Sonographic Comparison of Morphologic Characteristics Between Pilonidal Cysts and Hidradenitis Suppurativa,2017,JOURNAL OF ULTRASOUND IN MEDICINE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1002/jum.14282,10.1002/jum.14282
22,"Martinez, P; Castro, A; Alonso, D; Vohringer, PA; Rojas, G",Effectiveness of the management of major depressive episodes/disorder in adults with comorbid chronic physical diseases: A protocol for a systematic review and meta-analysis,2017,BMJ OPEN,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1136/bmjopen-2016-011249,10.1136/bmjopen-2016-011249
23,"Martinez, P; Rojas, G; Fritsch, R; Martinez, V; Vohringer, PA; Castro, A","Comorbidity in people with depression seeking help at primary health care centers in Santiago, Chile",2017,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0034-98872017000100004,10.4067/S0034-98872017000100004
24,"Wortsman, X; Castro, A; Figueroa, A",Color Doppler ultrasound assessment of morphology and types of fistulous tracts in hidradenitis suppurativa (HS),2016,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jaad.2016.05.009,10.1016/j.jaad.2016.05.009
25,"Vohringer, PA; Castro, A; Martinez, P; Tala, A; Medina, S; Rojas, G",Healthcare team training programs aimed at improving depression management in primary care: A systematic review,2016,JOURNAL OF AFFECTIVE DISORDERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jad.2016.04.029,10.1016/j.jad.2016.04.029
26,"Manriquez, V; Guzman, R; Naser, M; Aguilera, A; Narvaez, S; Castro, A; Swift, S; Digesu, GA",Transcutaneous posterior tibial nerve stimulation versus extended release oxybutynin in overactive bladder patients. A prospective randomized trial,2016,EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.ejogrb.2015.09.020,10.1016/j.ejogrb.2015.09.020
27,"Mendoza, L; Falcon, F; Horta, P; Castro, A; Espinoza, J; Balmaceda, N; Aguilera, M",Evaluation Of The Spanish Version Of The COPD Assessment Test In Chilean Patients With Chronic Obstructive Pulmonary Disease,2015,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,ISI/UCH/VID,,
28,"Gonzalez, J; Prat, H; Swett, E; Berrocal, I; Fernandez, R; Zhindon, JP; Castro, A; Massardo, T",Follow-up of patients with good exercise capacity in stress test with myocardial single-photon emission computed tomography (SPECT),2015,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872015001100008,10.4067/S0034-98872015001100008
29,"Rojas, G; Martinez, P; Vohringer, PA; Martinez, V; Castro-Lara, A; Fritsch, R","Comprehensive technology-assisted training and supervision program to enhance depression management in primary care in Santiago, Chile: study protocol for a cluster randomized controlled trial",2015,TRIALS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s13063-015-0845-4,10.1186/s13063-015-0845-4
30,"Wortsman, X; Vergara, P; Castro, A; Saavedra, D; Bobadilla, F; Sazunic, I; Zemelman, V; Wortsman, J",Ultrasound as predictor of histologic subtypes linked to recurrence in basal cell carcinoma of the skin,2015,JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1111/jdv.12660,10.1111/jdv.12660
31,"Mendoza, L; Horta, P; Espinoza, J; Aguilera, M; Balmaceda, N; Castro, A; Ruiz, M; Diaz, O; Hopkinson, NS",Pedometers to enhance physical activity in COPD: a randomised controlled trial,2015,EUROPEAN RESPIRATORY JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1183/09031936.00084514,10.1183/09031936.00084514
32,"Horta, G; Lopez, M; Dotte, A; Cordero, J; Chesta, C; Castro, A; Palavecino, P; Poniachik, J","Benign focal liver lesions detected by computed tomography. Review of 1,184 examinations",2015,REVISTA MEDICA DE CHILE,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872015000200007,10.4067/S0034-98872015000200007
33,"Rojas, G;Castro, A;Guajardo, V;Alvarado, R;Isamit, C;Fritsch, R",Assessment of a distant collaborative program for the treatment of depression in primary care,2014,REVISTA MEDICA DE CHILE,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0034-98872014000900008,10.4067/S0034-98872014000900008
34,Castro Lara Ariel; Sotomayor Nieto Julia; Sepúlveda Vargas Yasna; Mena Velasquez Sandra,Experiencia de un sistema de reporte de errores de medicación en un hospital docente,2014,Enfermeria Global,SCIELO-otros paises /SCOPUS/UCH/VID,,
35,"Munoz, LU;Calderon, PH;Castro, AL;Zemelman, VD",Psychocutaneous disease: knowledge and clinical attitudes of Chilean dermatologists,2014,INTERNATIONAL JOURNAL OF DERMATOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/ijd.12175,10.1111/ijd.12175
36,"Fuentes, ME; Montt, D; Montane, I; Koppmann, A; Feeder, S; Castro, A; Marin, L; Gabler, G; Pizarro, C",Influence of Obesogenic Behaviors in the Outcome of Bariatric Surgery,2014,BIOLOGICAL PSYCHIATRY,ISI/UCH/VID,,
37,"Mendoza, L;Aguilera, M;Espinoza, J;Balmaceda, N;Horta, P;Castro, A;Jover, E;Barcos, P;Diaz, O;Czischke, K;Schonffeldt, P;Agar, V;Hopkinson, NS",Effects of program of physical activity enhancement using pedometers in COPD patients,2013,EUROPEAN RESPIRATORY JOURNAL,ISI/UCH/VID,,
38,"Madrid Silva, Ana; Defilippi Caffri, Carlos; Landskron Ramos, Glauben; Olguín Herrera, Fernando; Reyes Ponce, Ana; Castro Lara, Ariel; Larraín Corp, Sebastián; Martínez Roje, Nicolás; Cortés Espinoza, J",The prevalence of irritable bowel symptoms in a population of shopping mall visitors in Santiago de Chile,2013,Revista de Gastroenterologia de Mexico,SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.rgmx.2013.07.004,10.1016/j.rgmx.2013.07.004
39,"Armijo, Julio; Méndez, Emmanuel; Morales, Ricardo; Schilling, Sara; Castro Lara, Ariel; Alvarado Muñoz, Rubén; Rojas Castillo, Graciela",Efficacy of community treatments for schizophrenia and other psychotic disorders: A literature review,2013,FRONTIERS IN PSYCHIATRY,SCOPUS/UCH/VID,,
