,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Varela, NM; Guevara-Ramirez, P; Acevedo, C; Zambrano, T; Armendariz-Castillo, I; Guerrero, S; Quinones, LA; Lopez-Cortes, A","A New Insight for the Identification of Oncogenic Variants in Breast and Prostate Cancers in Diverse Human Populations, With a Focus on Latinos",2021,FRONTIERS IN PHARMACOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fphar.2021.630658,10.3389/fphar.2021.630658
1,"Roco, A; Lavanderos, A; Cayun, JP; Acevedo, C; Celedon, C; Rubilar, JC; Sandoval, C; Cerpa, L; Garcia-Martin, E; Agundez, JA; Esguevillas, G; Amo, G; Canepa, A; Cerda, B; Pena, K; Caceres, DD; Varela, NM; Quinones, LA","The role of phase I and II genetic polymorphisms, smoking, alcohol and cancer family history, in the risk of developing testicular cancer",2019,PHARMACOGENETICS AND GENOMICS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1097/FPC.0000000000000379,10.1097/FPC.0000000000000379
2,"Lavanderos, MA; Cayun, JP; Roco, A; Sandoval, C; Cerpa, L; Rubilar, JC; Cerro, R; Molina-Mellico, S; Celedon, C; Cerda, B; Garcia-Martin, E; Agundez, JAG; Acevedo, C; Pena, K; Caceres, DD; Varela, NM; Quinones, LA",Association Study Among Candidate Genetic Polymorphisms and Chemotherapy-Related Severe Toxicity in Testicular Cancer Patients,2019,FRONTIERS IN PHARMACOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fphar.2019.00206,10.3389/fphar.2019.00206
3,"Roco, A; Cerda, B; Cayun, JP; Lavanderos, A; Rubilar, JC; Cerro, R; Acevedo, C; Caceres, D; Varela, N; Quinones, LA","Pharmacogenetics, tobacco, alcohol and its effect on the risk development cancer",2018,REVISTA CHILENA DE PEDIATRIA,SCOPUS/SCIELO-Chile/ESCI/UCH/VID,http://dx.doi.org/10.4067/S0370-41062018005000709,10.4067/S0370-41062018005000709
4,"Ossandon, E; Sepulveda, F; Acevedo, C",Impact of secondary prophylaxis in the management of patients with high recurrence risk of urolithiasis,2016,REVISTA MEDICA DE CHILE,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872016000600004,10.4067/S0034-98872016000600004
5,"Roco, A; Quinones, LA; Sepulveda, P; Donoso, H; Lapostol, C; Alarcon, R; Torres, ME; Veliz, PC; Acuna, G; Wilke, O; Acevedo, C",Prevalence of seven cardiovascular-related genetic polymorphisms in a Chilean mestizo healthy population,2015,ACTA CARDIOLOGICA,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.2143/AC.70.5.3110513,10.2143/AC.70.5.3110513
6,"Valdevenito, JP;Acevedo, C;Vega, A;Diaz, JP","RELATIONSHIP OF XIPHO-PUBIC DISTANCE, WEIGHT, HEIGHT AND BODY MASS INDEX TO BASELINE INTRAVESICAL AND ABDOMINAL PRESSURES IN THE SITTING POSITION",2014,NEUROUROLOGY AND URODYNAMICS,ISI/UCH/VID,,
7,"Acevedo, CA;Quinones, LA;Catalan, J;Caceres, DD;Fulla, JA;Roco, AM","Impact of CYP1A1, GSTM1, and GSTT1 polymorphisms in overall and specific prostate cancer survival",2014,UROLOGIC ONCOLOGY-SEMINARS AND ORIGINAL INVESTIGATIONS,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.urolonc.2013.05.010,10.1016/j.urolonc.2013.05.010
8,"Sanchez, C;Mercado, A;Contreras, HR;Mendoza, P;Cabezas, J;Acevedo, C;Huidobro, C;Castellon, EA",Chemotherapy Sensitivity Recovery of Prostate Cancer Cells by Functional Inhibition and Knock Down of Multidrug Resistance Proteins,2011,PROSTATE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/pros.21398,10.1002/pros.21398
9,"Ossandon, E ; Recabal, P ; Acevedo, C ; Flores, JM ; Marchant, F",The Lithotripsy Table Height: a Novel Predictor of Outcome in Shockwave Lithotripsy,2011,INTERNATIONAL BRAZ J UROL,ISI/SCIELO-otros paises /SCOPUS/UCH/VID,http://dx.doi.org/10.1590/S1677-55382011000300009,10.1590/S1677-55382011000300009
10," Clementi, M ; Sanchez, C ; Benitez, DA ; Contreras, HR ; Huidobro, C ; Cabezas, J ; Acevedo, C ; Castellon, EA ",Gonadotropin Releasing Hormone Analogs Induce Apoptosis by Extrinsic Pathway Involving p53 Phosphorylation in Primary Cell Cultures of Human Prostatic Adenocarcinomas,2009,PROSTATE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/pros.20954,10.1002/pros.20954
11," Huidobro, C ; Larson, B ; Mynderse, S ; Myers, JJ ; Busel, D ; Acevedo, C ; Larson, TR ; Mynderse, LA ",Characterizing Prostiva (TM) RF Treatments of the Prostate for BPH with Gadolinium-Enhanced MRI,2009,SCIENTIFIC WORLD JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1100/tsw.2009.4,10.1100/tsw.2009.4
12," Mendoza, P ; Sanchez, C ; Contreras, HR ; Vergara, J ; Acevedo, C ; Cabezas, J ; Huidobro, C ; Noe, G ; Castellon, EA ",Evaluation of MENT on primary cell cultures from benign prostatic hyperplasia and prostate carcinoma,2009,INTERNATIONAL JOURNAL OF ANDROLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1111/j.1365-2605.2008.00906.x,10.1111/j.1365-2605.2008.00906.x
13,"Valdevenito, JP ; Gallegos, I ; Fernandez, C ; Acevedo, C ; Palma, R",Correlation between primary tumor pathologic features and presence of clinical metastasis at diagnosis of testicular seminoma,2007,UROLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.urology.2007.05.020,10.1016/j.urology.2007.05.020
14," Larson, BT ; Netto, N ; Huidobro, C ; de Lima, ML ; Matheus, W ; Acevedo, C ; Larson, TR ",Intraprostatic injection of alcohol gel for the treatment of benign prostatic hyperplasia: Preliminary clinical results,2006,SCIENTIFIC WORLD JOURNAL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1100/tsw.2007.385,10.1100/tsw.2007.385
15,"Vitagliono, G ; Castillo, O ; Kerkebe, M ; Cabello, R ; Acevedo, C ; Pinto, I ; Diaz, M",Laparoscopic radical nephrectomy: A comparison between hand-assisted and pure laparoscopic surgery.,2006,JOURNAL OF ENDOUROLOGY,ISI/UCH/VID,,
16,"Larson, BT ; Robertson, DW ; Huidobro, C ; Acevedo, C ; Busel, D ; Collins, J ; Larson, TR",Interstitial temperature mapping during Prolieve transurethral microwave treatment: Imaging reveals thermotherapy temperatures resulting in tissue necrosis and patent prostatic urethra,2006,UROLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.urology.2006.09.006,10.1016/j.urology.2006.09.006
17,"Quinones, LA; Irarrazabal, CE; Rojas, CR; Orellana, CE; Acevedo, C; Huidobro, C; Varela, NE; Caceres, DD","Joint effect among p53, CYP1A1, GSTM1 polymorphism combinations and smoking on prostate cancer risk: an exploratory genotype-environment interaction study",2006,ASIAN JOURNAL OF ANDROLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1111/j.1745-7262.2006.00135.x,10.1111/j.1745-7262.2006.00135.x
18,"Larson, B; Huidobro, C; Acevedo, C; Busel, D; Mynderses, L; Collins, J; Larson, T",In vivo temperature mapping of prostate during treatment with TherMatrx TMx-2000 device: Heat field and MRI determinations of necrotic lesions,2005,JOURNAL OF ENDOUROLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1089/end.2005.19.1021,10.1089/end.2005.19.1021
19,"Dante, LC; Iturrieta, J; Acevedo, C; Huidobro, C; Varela, NF; Escala, MZ; Quinones, LS","Gene-gene and gene-environment interactions as modifier factors of prostatic cancer risk: ""A case-only"" design study",2005,EPIDEMIOLOGY,ISI/UCH/VID,http://dx.doi.org/10.1097/00001648-200509000-00079,10.1097/00001648-200509000-00079
20,"Caceres, DD; Iturrieta, J; Acevedo, C; Huidobro, C; Varela, N; Quinones, L","Relationship among metabolizing genes, smoking and alcohol used as modifier factors on prostate cancer risk: Exploring some gene-gene and gene-environment interactions",2005,EUROPEAN JOURNAL OF EPIDEMIOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1007/s10654-004-1632-9,10.1007/s10654-004-1632-9
21,"Caceres, D; Iturrieta, J; Acevedo, C; Huidobro, C; Varela, N; Escala, M; Quinones, L",Gene-gene and gene-environment interactions as modifier factors of prostatic cancer risk: (a case-only) design study,2004,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872004000800008,10.4067/S0034-98872004000800008
22,"Acevedo, C;Opazo, JL;Huidobro, C;Cabezas, J;Iturrieta, J;Sepulveda, LQ",Positive correlation between single or combined genotypes of CYP1A1 and GSTM1 in relation to prostate cancer in Chilean people,2003,PROSTATE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1002/pros.10274,10.1002/pros.10274
23,"Quinones, L;Lucas, D;Godoy, J;Caceres, D;Berthou, F;Varela, N;Lee, K;Acevedo, C;Martinez, L;Aguilera, AM;Gil, L","CYP1A1, CYP2E1 and GSTM1 genetic polymorphisms. The effect of single and combined genotypes on lung cancer susceptibility in Chilean people",2001,CANCER LETTERS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/S0304-3835(01)00686-3,10.1016/S0304-3835(01)00686-3
24,"Salvo, M; Gonzalez-Feliu, E; Toro, J; Gallegos, I; Maureira, I; Miranda-Gonzalez, N; Barajas, O; Bustamante, E; Ahumada, M; Colombo, A; Armisen, R; Villaman, C; Ibanez, C; Bravo, ML; Sanhueza, V; Spencer, ML; de Toro, G; Morales, E; Bizama, C; Garcia, P; Carrasco, AM; Gutierrez, L; Bermejo, JL; Verdugo, RA; Marcelain, K",Validation of an NGS Panel Designed for Detection of Actionable Mutations in Tumors Common in Latin America,2021,JOURNAL OF PERSONALIZED MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/jpm11090899,10.3390/jpm11090899
25,"Salinas, C; Barajas, O; Villanueva, L; Vasquez, R; Ahumada, M",Survival impact among occidental patients with metastatic gastric cancer (mGC) treated with ramucirumab as second line treatment (2L): Local experience of a teaching hospital in Chile.,2021,JOURNAL OF CLINICAL ONCOLOGY,ISI/UCH/VID,http://dx.doi.org/10.1200/JCO.2021.39.15_suppl.e16007,10.1200/JCO.2021.39.15_suppl.e16007
26,"Ponce, CB; Scherer, D; Brinster, R; Boekstegers, F; Marcelain, K; Garate-Calderon, V; Muller, B; Toro, G; Retamales, J; Barajas, O; Ahumada, M; Morales, E; Rojas, A; Sanhueza, V; Loader, D; Rivera, MT; Gutierrez, L; Bernal, G; Ortega, A; Montalvo, D; Portino, S; Bertran, ME; Gabler, F; Spencer, L; Olloquequi, J; Fischer, C; Jenab, M; Aleksandrova, K; Katzke, V; Weiderpass, E; Bonet, C; Moradi, T; Fischer, K; Bossers, W; Brenner, H; Hveem, K; Eklund, N; Volker, U; Waldenberger, M; Guajardo, MF; Gonzalez-Jose, R; Bedoya, G; Bortolini, MC; Canizales-Quinteros, S; Gallo, C; Ruiz-Linares, A; Rothhammer, F; Bermejo, JL","Gallstones, Body Mass Index, C-Reactive Protein, and Gallbladder Cancer: Mendelian Randomization Analysis of Chilean and European Genotype Data",2021,HEPATOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1002/hep.31537,10.1002/hep.31537
27,"Gonzalez-Montero, J; Valenzuela, G; Ahumada, M; Barajas, O; Villanueva, L",Management of cancer patients during COVID-19 pandemic at developing countries,2020,WORLD JOURNAL OF CLINICAL CASES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.12998/wjcc.v8.i16.3390,10.12998/wjcc.v8.i16.3390
28,"Villanueva, L; Navarrete, G; Gallegos, I; Castillo, V; Dodds, F; Gonzalez, J; Barajas, O; Vasquez, R; Nunez, B; Ahumada, M",A real-world evidence analysis of periampullary cancers in an academic hospital in Chile,2020,JOURNAL OF CLINICAL ONCOLOGY,ISI/UCH/VID,http://dx.doi.org/10.1200/JCO.2020.38.4_suppl.663,10.1200/JCO.2020.38.4_suppl.663
29,"Boekstegers, F; Marcelain, K; Ponce, CB; Benavides, PFB; Muller, B; de Toro, G; Retamales, J; Barajas, O; Ahumada, M; Morales, E; Rojas, A; Sanhueza, V; Loader, D; Rivera, MT; Gutierrez, L; Bernal, G; Ortega, A; Montalvo, D; Portino, S; Bertran, ME; Gabler, F; Spencer, L; Olloquequi, J; Silos, RG; Fischer, C; Scherer, D; Jenab, M; Aleksandrova, K; Katzke, V; Weiderpass, E; Moradi, T; Fischer, K; Bossers, W; Brenner, H; Hveem, K; Eklund, N; Volker, U; Waldenberger, M; Guajardo, MF; Gonzalez-Jose, R; Bedoya, G; Bortolini, MC; Canizales, S; Gallo, C; Linares, AR; Rothhammer, F; Bermejo, JL",ABCB1/4 gallbladder cancer risk variants identified in India also show strong effects in Chileans,2020,CANCER EPIDEMIOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.canep.2019.101643,10.1016/j.canep.2019.101643
30,"Villanueva, L; Uribe, R; Barajas, O; Nunez, B; Renner, A; Vasquez, R; Aguilera, O; Munoz, R; Ahumada, M",Analysis of prognostic factors for gallbladder cancer (GBC) of patients assisted in an academic hospital in Chile,2018,JOURNAL OF CLINICAL ONCOLOGY,ISI/UCH/VID,http://dx.doi.org/10.1200/JCO.2018.36.15_suppl.e16127,10.1200/JCO.2018.36.15_suppl.e16127
31,"Alvarez, YE; Insignares, CA; Olea, MA; Barajas, O; Calderillo, G; Guaman, JCC; Caponero, R; Salazar, BAC; del Giglio, A; Araya, ARP; Villalobos-Valencia, R; Perez, AY; Delgado, NZ",Cancer pain management: recommendations from a Latin-American experts panel,2017,FUTURE ONCOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.2217/fon-2017-0288,10.2217/fon-2017-0288
32,"Luis, VO; Silvia, CE; Monica, AO; Olga, BB; Rodrigo, VM",Prognosis factors of survival of gallbladder cancer (GC) in Chile. A retrospective analysis of patients assisted in Hospital Clinico Universidad de Chile,2017,ANNALS OF ONCOLOGY,ISI/UCH/VID,,
33,"Painemal, C;Berrios, M;Gallegos, I;Martin, CS;Villanueva, L;Barajas, O;Ahumada, M;Fuentes, R",DETERMINATION OF THE HER2 EXPRESSION IN CHILEAN PATIENTS WITH GASTRIC CANCER,2012,ANNALS OF ONCOLOGY,ISI/UCH/VID,,
34,"Gallardo, J;Rubio, B;Ahumada, M;Barajas, O;Villanueva, L;Diaz, J;De Aretxabala, X;Reyes, J",Therapy for advanced gallbladder cancer: Improving survival,2008,JOURNAL OF CLINICAL ONCOLOGY,ISI/UCH/VID,http://dx.doi.org/10.1200/jco.2008.26.15_suppl.15566,10.1200/jco.2008.26.15_suppl.15566
35,"Gallardo, J ; Rubio, B ; Villanueva, L ; Barajas, O ; Ahumada, M",Chemotherapy in metastatic gallbladder cancer: Improving the results,2007,CANCER INVESTIGATION,ISI/UCH/VID,,
36,"Gallardo, J;Rubio, B;Fodor, M;Ahumada, M",Gemcitabine in gallbladder cancer: clinical benefit assessment,2002,INTERNATIONAL JOURNAL OF CANCER,ISI/UCH/VID,,
37,"Gallardo, J;Arroyo, G;Rubio, B;Fodor, M;Orlandi, L;Yanez, M;Gamargo, C;Ahumada, M;Zarba, J;Berlingeri, G;Kowalyszyn, R",Gemcitabine (GEM) in advanced biliary tract cancer (ABTC). Experience from Chile and Argentina in phase 2 trials,2002,INTERNATIONAL JOURNAL OF CANCER,ISI/UCH/VID,,
38,"Gallardo, JO;Rubio, B;Fodor, M;Orlandi, L;Yanez, M;Gamargo, C;Ahumada, M",A phase II study of gemcitabine in gallbladder carcinoma,2001,ANNALS OF ONCOLOGY,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1023/A:1012543223020,10.1023/A:1012543223020
39,"Gallardo, J; Rubio, B; Ahumada, M; Cortes, C",Use of gemcitabine in gallbladder cancer. Report of four cases,2000,REVISTA MEDICA DE CHILE,SCIELO-Chile/SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.4067/S0034-98872000000900011,10.4067/S0034-98872000000900011
40,"Rivas, SV; Gonzalez, E; Blanco, A; Ibanez, C; Corvalan, A; Garrido, M; Owen, G; Marcelain, K; Armisen, R",Disparities in the access to non-small cell lung cancer ' s target therapies in Chile.,2023,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,ISI/UCH/VID,http://dx.doi.org/10.1158/1538-7755.DISP22-C018,10.1158/1538-7755.DISP22-C018
41,"Rivas, S; Marin, A; Samtani, S; Gonzalez-Feliu, E; Armisen, R","MET Signaling Pathways, Resistance Mechanisms, and Opportunities for Target Therapies",2022,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/ijms232213898,10.3390/ijms232213898
42,"Orostica, KY; Saez-Hidalgo, J; de Santiago, PR; Rivas, S; Contreras, S; Navarro, G; Asenjo, JA; Olivera-Nappa, A; Armisen, R",Total mutational load and clinical features as predictors of the metastatic status in lung adenocarcinoma and squamous cell carcinoma patients,2022,JOURNAL OF TRANSLATIONAL MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/s12967-022-03572-8,10.1186/s12967-022-03572-8
43,"Morales, F; Perez, P; Tapia, JC; Lobos-Gonzalez, L; Herranz, JM; Guevara, F; de Santiago, PR; Palacios, E; Andaur, R; Sagredo, EA; Marcelain, K; Armisen, R",Increase in ADAR1p110 activates the canonical Wnt signaling pathway associated with aggressive phenotype in triple negative breast cancer cells,2022,GENE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.gene.2022.146246,10.1016/j.gene.2022.146246
44,"Retamal, IN; Medel, MM; Caceres, M; Cereceda, K; Villarroel-Espindola, F; Manque, P; Berkovits, A; Rios, JA; Garcia-Bloj, B; Rodriguez, MP; Corvalan, AH; Owen, GI; Armisen, R; Garrido, M; Chaparro, A",An unwelcome guest: P. gingivalis intratumoral infection and immune evasion in gastric cancer,2021,ANNALS OF ONCOLOGY,ISI/UCH/VID,http://dx.doi.org/10.1016/j.annonc.2021.10.191,10.1016/j.annonc.2021.10.191
45,"Salvo, M; Gonzalez-Feliu, E; Toro, J; Gallegos, I; Maureira, I; Miranda-Gonzalez, N; Barajas, O; Bustamante, E; Ahumada, M; Colombo, A; Armisen, R; Villaman, C; Ibanez, C; Bravo, ML; Sanhueza, V; Spencer, ML; de Toro, G; Morales, E; Bizama, C; Garcia, P; Carrasco, AM; Gutierrez, L; Bermejo, JL; Verdugo, RA; Marcelain, K",Validation of an NGS Panel Designed for Detection of Actionable Mutations in Tumors Common in Latin America,2021,JOURNAL OF PERSONALIZED MEDICINE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/jpm11090899,10.3390/jpm11090899
46,"Carvajal, D; Salas, C; Marcelain, K; Perez, F; Rivas, S; Feliu, E; Schalper, K; Armisen, R",NTRK genomic alterations in Latin-American cancer patients.,2021,JOURNAL OF CLINICAL ONCOLOGY,ISI/UCH/VID,http://dx.doi.org/10.1200/JCO.2021.39.15_suppl.e15088,10.1200/JCO.2021.39.15_suppl.e15088
